App,Time Spent (Seconds),Category,Productivity
virtualbox vm,12788,General Software Development,2
6004.mit.edu,15499,Engineering & Technology,1
introml.mit.edu,27839,Presentation,2
google.com,16167,Search,2
jobs.disneycareers.com,132,General Reference & Learning,1
pixar.wd5.myworkdayjobs.com,69,Uncategorized,0
pixar.com,33,General Entertainment,-2
docs.scipy.org,272,Engineering & Technology,1
Safari,136,Browsers,2
idp.mit.edu,198,General Reference & Learning,1
youtube.com,57921,Video,-2
wechat,19383,General Social Networking,-2
eecs.mit.edu,133,General Reference & Learning,1
facebook.com,15045,General Social Networking,-2
messenger.com,26553,General Social Networking,-2
image.baidu.com,4,Search,0
theverge.com,215,Science & Technology,-1
marketwatch.com,11,General Business,2
apple.com,938,Engineering & Technology,-1
Google Earth Pro,968,Search,0
staralliance.com,15,Travel & Outdoors,-2
messages,2172,General Social Networking,-2
Mail,21922,Email,2
united.com,5717,Travel & Outdoors,-2
googletraveladservices.com,25,Uncategorized,0
calendar,4089,Calendars,1
bankofamerica.com,65,General Business,2
keychain access,55,Systems Operations,2
SecurityAgent,34,Systems Operations,0
secure.bankofamerica.com,122,Accounting,2
dropbox.com,172,File Sharing,2
wolframalpha.com,13,Search,1
loginwindow,703,General Utilities,0
thepointsguy.com,451,Travel & Outdoors,-2
9to5mac.com,7111,General News & Opinion,-2
todoist,935,Project Management,2
Preview,28888,General Reference & Learning,2
mystatus.united.com,551,Travel & Outdoors,-2
mileageplusupdates.com,125,Travel & Outdoors,-2
cwsi.net,142,Uncategorized,0
upgradedpoints.com,357,Uncategorized,0
istat menus status,4,General Utilities,1
6004.mit.edu:4443,231,Uncategorized,0
piazza.com,2757,General Reference & Learning,2
texshop,28183,Writing,2
Finder,5457,General Utilities,0
geometriclullaby.bandcamp.com,74,Music,-2
virtualbox,182,Virtualization,0
learning-modules.mit.edu,1848,General Reference & Learning,1
stellar.mit.edu,837,General Reference & Learning,1
Terminal,7688,Systems Operations,2
universalaccessauthwarn,2,General Utilities,1
Keynote,672,Presentation,2
gradescope.com,2142,General Reference & Learning,1
identityserver.campuslabs.com,22,Uncategorized,0
engage.mit.edu,102,Presentation,2
federation.campuslabs.com,1,General Reference & Learning,1
gaoloumi.com,689,Regional,-2
sciencebuddies.org,8,General Reference & Learning,1
en.wikipedia.org,4071,General Reference & Learning,1
sublime text,14977,Editing & IDEs,2
theculturetrip.com,32,Uncategorized,0
drive.google.com,3423,General Business,2
web.groupme.com,81,Instant Message,-1
Google Spreadsheets,8826,General Business,2
System Preferences,450,General Utilities,0
local-ntp,18,General Utilities,1
groupme.com,2,Instant Message,-1
facetime,80,Voice Chat,-2
baidu.com,55,Search,2
vox.com,222,General News & Opinion,-2
smh.com.au,301,General News & Opinion,-2
washingtonpost.com,627,General News & Opinion,-2
thebeijinger.com,2413,General News & Opinion,-2
doublepimpssl.com,6,Uncategorized,0
google chrome,3,Browsers,0
MS Excel,10324,General Business,2
stackoverflow.com,813,General Software Development,2
pyimagesearch.com,43,General Reference & Learning,1
keras.io,81,General Reference & Learning,1
wayf.mit.edu,6,Presentation,2
users,4967,General Software Development,2
Google Forms,8324,General Business,2
Google Documents,11521,Writing,2
photoshop cc,3267,General Design & Composition,2
papersizes.org,59,Uncategorized,0
timeout.com,15,Search,0
musement.com,30,Uncategorized,0
support.google.com,44,General News & Opinion,2
media.timeout.com,23,Search,0
images.musement.com,20,Uncategorized,0
dafont.com,11,Presentation,2
font book,3,Presentation,2
