App,Time Spent (Hours),Category,Productivity
Safari,6571,Browsers,2
Mail,18786,Email,2
loginwindow,820,General Utilities,0
Terminal,12315,Systems Operations,2
Finder,7237,General Utilities,0
Preview,31441,General Reference & Learning,2
microsoft word,9524,Writing,2
font book,12,Presentation,2
Notes,4858,Email,0
calendar,7168,Calendars,1
facetime,356,Voice Chat,-2
sublime text,33817,Editing & IDEs,2
microsoft autoupdate,63,General Utilities,1
MS Excel,1601,General Business,2
istat menus,45,General Utilities,1
istat menus status,39,General Utilities,1
backup and sync from google,182,Uncategorized,0
wechat,16090,General Social Networking,-2
messages,2048,General Social Networking,-2
firehose.guide,841,General Communication & Scheduling,2
microsoft onenote,3162,Intelligence,2
microsoft error reporting,4,Science & Technology,-1
messenger.com,22863,General Social Networking,-2
learning-modules.mit.edu,3115,General Reference & Learning,1
6004.mit.edu,12720,Engineering & Technology,1
google.com,6531,Search,2
9to5mac.com,7606,General News & Opinion,-2
mobility.mit.edu,6,Presentation,2
stellar.mit.edu,723,General Reference & Learning,1
en.wikipedia.org,3078,General Reference & Learning,1
introml.mit.edu,26715,Presentation,2
piazza.com,1505,General Reference & Learning,2
safari-resource:,234,Browsers,0
courses.csail.mit.edu,6,General Reference & Learning,1
eduapps.mit.edu,536,Presentation,2
idp.mit.edu,625,General Reference & Learning,1
creative cloud,14,General Design & Composition,2
registration.mit.edu,4,Presentation,2
nytimes.com,478,General News & Opinion,-2
google.com/calendar,143,Calendars,2
studentschedule.mit.edu,45,Presentation,2
student.mit.edu,1440,General Reference & Learning,1
websis.mit.edu,4,General Reference & Learning,1
foxtrotalpha.jalopnik.com,106,Entertainment,-2
riskmap.mit.edu,51,Presentation,2
mathworld.wolfram.com,159,Search,0
stackoverflow.com,2520,General Software Development,2
clubsports.mit.edu,275,Presentation,2
Dictionary,55,General Reference & Learning,1
apple.com,3760,Engineering & Technology,-1
thebeijinger.com,1603,General News & Opinion,-2
residentadvisor.net,22,General Entertainment,-2
facebook.com,7161,General Social Networking,-2
Google Spreadsheets,1736,General Business,2
beta.apple.com,86,Engineering & Technology,1
imore.com,14,Science & Technology,-1
amazon.com,2506,General Shopping,-1
idmsa.apple.com,23,General Software Development,2
app store,334,General Shopping,-2
installer,233,General Utilities,1
SecurityAgent,64,Systems Operations,0
install macos mojave beta,13,Uncategorized,0
expressvpn,12,General Utilities,1
usernotificationcenter,92,General Utilities,0
media.mit.edu,32,General Reference & Learning,1
macworld.co.uk,79,General Reference & Learning,1
iTunes,226,Music,0
java updater,7,General Utilities,1
youtube.com,43711,Video,-2
system information,3,General Utilities,0
controlpanel,1,General Utilities,1
System Preferences,524,General Utilities,0
storeuid,6,General Utilities,1
ebay.com,90,General Shopping,-2
cs111.wellesley.edu,96,General Reference & Learning,1
forums.autodesk.com,11,Engineering & Technology,1
wayf.mit.edu,14,Presentation,2
gaoloumi.com,1717,Regional,-2
tomsguide.com,32,General News & Opinion,-2
producthunt.com,25,Science & Technology,-1
wellesley.edu,54,General Reference & Learning,1
RescueTime,7,Intelligence,0
Activity Monitor,22,General Utilities,0
tripadvisor.com,224,Travel & Outdoors,-2
bu.edu,53,General Reference & Learning,1
bostonusa.com,43,Uncategorized,0
timeout.com,88,Search,0
messenger,2,General Social Networking,-2
Google Earth Pro,303,Search,0
bestusbpoweredmonitor.com,41,Uncategorized,0
designernews.co,22,General Design & Composition,2
dell.com,34,Employment,2
tomshardware.com,123,Science & Technology,-1
images-na.ssl-images-amazon.com,481,General Shopping,-2
public.oed.com,27,General Reference & Learning,1
com.apple.fontregistryuiagent,11,General Utilities,1
oed.com,20,Search,0
dictionary.com,71,General Business,2
map.baidu.com,453,Maps & Regional,-2
texshop,53709,Writing,2
coreservicesuiagent,13,General Utilities,0
tug.org,213,General Software Development,2
pages.uoregon.edu,4,General Reference & Learning,1
tex.stackexchange.com,130,Engineering & Technology,1
wolframalpha.com,2317,Search,1
BBC,111,International,2
docs.python.org,275,General Software Development,2
Dropbox,29,File Sharing,-2
ist.mit.edu,65,Engineering & Technology,1
listmaker.mit.edu,577,Presentation,2
groups.mit.edu,335,Presentation,2
kb.mit.edu,172,General Reference & Learning,1
redbubble.com,29,General Shopping,-2
sharelatex.com,63,Writing,2
l.messenger.com,43,Instant Message,-1
gradescope.com,2150,General Reference & Learning,1
web.mit.edu,27,General Reference & Learning,2
oidc.mit.edu,57,Presentation,2
6004.mit.edu:4443,525,Uncategorized,0
allaboutcircuits.com,78,General Reference & Learning,1
catalog.mit.edu,527,Presentation,2
courseroad.mit.edu,15,General Reference & Learning,1
eecs.mit.edu,120,General Reference & Learning,1
dusp.mit.edu,36,General Reference & Learning,1
drive.google.com,522,General Business,2
mit.dserec.com,1,Uncategorized,0
medical.mit.edu,27,Presentation,2
cernerhealth.com,13,Health & Medicine,1
candidate.gradleaders.com,395,Uncategorized,0
surveymonkey.com,44,Marketing,2
docs.scipy.org,757,Engineering & Technology,1
tutorialspoint.com,462,General Reference & Learning,1
