App,Time Spent (Seconds),Category,Productivity
youtube.com,37777,Video,-2
netflix.com,23533,Video,-2
Safari,483,Browsers,2
9to5mac.com,2150,General News & Opinion,-2
Google Earth Pro,1393,Search,0
backup and sync from google,1023,Uncategorized,0
Gmail,278,Email,2
google.com,7772,Search,2
bkso.baidu.com,45,Search,0
net.chinabyte.com,13,Science & Technology,-1
iqiyi.com,536,Video,-2
so.mgtv.com,70,Video,-2
baidu.com,297,Search,2
news.baidu.com,58,General News & Opinion,-2
mgtv.com,39,Video,-2
calendar,5587,Calendars,1
app store,94,General Shopping,-2
爱奇艺,85,Video,-2
Finder,9991,General Utilities,0
diskimages ui agent,5,General Utilities,1
itunes.apple.com,36,General Shopping,-2
app.iqiyi.com,4,Video,-2
v.youku.com,1597,Video,-2
list.youku.com,394,General Entertainment,-2
loginwindow,3709,General Utilities,0
facebook.com,7017,General Social Networking,-2
downforacross.com,2483,Games,-2
RescueTime,248,Intelligence,0
safari-resource:,24,Browsers,0
soku.com,77,Video,-2
youku.com,68,General Entertainment,-2
xiami.com,1088,Music,-2
drive.google.com,1664,General Business,2
gaoloumi.com,2080,Regional,-2
rescuetime.com,454,Intelligence,0
map.baidu.com,6374,Maps & Regional,-2
Notes,2069,Writing,2
Mail,10914,Email,2
firehose.guide,3465,General Communication & Scheduling,2
student.mit.edu,596,General Reference & Learning,1
idp.mit.edu,839,General Reference & Learning,1
registration.mit.edu,363,Presentation,2
web.mit.edu,1405,General Reference & Learning,2
websis.mit.edu,20,General Reference & Learning,1
edu-apps.mit.edu,87,General Reference & Learning,1
Google Documents,7754,Writing,2
accounts.google.com,36,General Communication & Scheduling,0
owa.exchange.mit.edu,108,Email,0
iTunes,522,Music,0
studentschedule.mit.edu,108,Presentation,2
messenger.com,19348,General Social Networking,-2
6.148.scripts.mit.edu,10,General Software Development,2
studentformsandpetitions.mit.edu,345,Presentation,2
secure.bankofamerica.com,299,Accounting,2
managerewardsonline.bankofamerica.com,33,Accounting,2
apple.com,104,Engineering & Technology,-1
managerewardsonline.com,8,Uncategorized,0
bankofamerica.com,12,General Business,2
studentlife.mit.edu,580,General Communication & Scheduling,0
wrsystems.com,26,Uncategorized,0
careers.ll.mit.edu,828,General Reference & Learning,1
stellar.mit.edu,3345,General Reference & Learning,1
wayf.mit.edu,40,Presentation,2
