App,Time Spent (Seconds),Category,Productivity
messenger.com,45300,General Social Networking,-2
Google Spreadsheets,6629,General Business,2
Preview,10582,General Reference & Learning,2
Mail,13221,Email,2
messages,3770,General Social Networking,-2
wechat,17478,General Social Networking,-2
youtube.com,31613,Video,-2
cnbc.com,570,Business,-1
google.com/calendar,128,Calendars,2
nytimes.com,959,General News & Opinion,-2
google.com,10836,Search,2
users,968,General Software Development,2
omni.csail.mit.edu,986,General Reference & Learning,1
mit.edu,9193,Presentation,2
web.mit.edu,30845,General Reference & Learning,2
stellar.mit.edu,1823,General Reference & Learning,1
reuters.com,125,General News & Opinion,-2
adminappsts.mit.edu,828,Presentation,2
idp.mit.edu,172,General Reference & Learning,1
en.wikipedia.org,15593,General Reference & Learning,1
thebeijinger.com,906,General News & Opinion,-2
facebook.com,7526,General Social Networking,-2
caesar.csail.mit.edu,3027,General Reference & Learning,1
Finder,8464,General Utilities,0
piazza.com,1123,General Reference & Learning,2
mitpe.mit.edu,17,Presentation,2
calendar,2193,Calendars,1
loginwindow,731,General Utilities,0
clicker.csail.mit.edu,2695,General Reference & Learning,1
eclipse,111773,Editing & IDEs,2
constellation.csail.mit.edu,329,General Reference & Learning,1
yellkey.com,10,Uncategorized,0
6031.mit.edu:444,89,Uncategorized,0
drive.google.com,1721,General Business,2
9to5mac.com,7527,General News & Opinion,-2
commons.wikimedia.org,4,Search,0
create.snapchat.com,168,General Social Networking,-2
accounts.snapchat.com,15,General Social Networking,-2
rescuetime.com,2289,Intelligence,0
washingtonpost.com,37,General News & Opinion,-2
foxbusiness.com,145,General News & Opinion,-2
todoist,732,Project Management,2
Google Documents,44245,Writing,2
amazon.com,322,General Shopping,-1
tools.usps.com,6,General Business,2
fedex.com,5,Employment,2
libraries.mit.edu,22,General Reference & Learning,1
bpl.bibliocommons.com,157,General Reference & Learning,1
lib.mit.edu,23,Presentation,2
bpl.org,12,General Reference & Learning,1
harvardcoopbooks.bncollege.com,40,Uncategorized,0
store.thecoop.com,13,Clothes & Personal,-2
researchgate.net,12,Professional Networking,1
overdrive.com,12,General Entertainment,-2
history,34,Browsers,0
quora.com,96,General Reference & Learning,-1
ynharari.com,28,General Reference & Learning,1
kobo.com,5,General Shopping,-2
harvard.com,2,General Reference & Learning,1
kindle,31868,General Reference & Learning,2
app store,23,General Shopping,-2
problem reporter,6,General News & Opinion,-2
mobility.mit.edu,58,Presentation,2
drawful 2,251,Games,-2
System Preferences,245,General Utilities,0
fibbage xl,38,Uncategorized,0
Steam,26,Games,-2
coreservicesuiagent,19,General Utilities,0
notability,548,Writing,2
login.wellesley.edu,47,General Reference & Learning,1
2fa.wellesley.edu,8,General Reference & Learning,1
tetrisfriends.com,1,Games,-2
didit.csail.mit.edu,1541,General Reference & Learning,1
nh.gov,68,General News & Opinion,-2
forms.nh.gov,368,General News & Opinion,-2
checkout.globalgatewaye4.firstdata.com,86,General Business,2
photos,2350,Photos,0
photoshop cc,3,General Design & Composition,2
Safari,11,Browsers,2
l.messenger.com,159,Instant Message,-1
home.wlu.edu,28,General Reference & Learning,1
tutorialspoint.com,30,General Reference & Learning,1
Google Forms,3512,General Business,2
journaldev.com,67,Engineering & Technology,1
geeksforgeeks.org,154,Operations,2
