DOW,Activity time,Total period,% Period,Period rank
Wed,8:58:16,1526:39:12,0.5876324975181734,34
Tue,8:42:5,1577:34:25,0.551567852530213,34
Mon,8:12:57,1580:19:8,0.5198845240095705,35
Fri,5:54:45,1308:0:44,0.4520217700989882,41
Sun,5:51:18,1280:49:55,0.4571247637440509,43
Thu,5:5:55,1499:44:39,0.3399653903934356,52
Sat,3:31:5,1159:11:9,0.30349366377598835,54
