Year,Activity time,Total period,% Period,Period rank
2017,23:19:16,1525:41:21,1.5285624110488503,19
2016,13:37:43,1764:59:13,0.7721649813903251,24
2018,9:19:12,1646:42:46,0.5659760539768961,32
2019,0:0:10,724:57:22,0.0003831649578786762,1172
