DOW,Activity time,Total period,% Period,Period rank
Mon,139:19:1,1580:19:8,8.815748860813605,1
Wed,138:6:25,1526:39:12,9.046385412390793,1
Tue,134:32:46,1577:34:25,8.528674044968847,1
Sun,128:38:6,1280:49:55,10.043081807722627,1
Thu,126:4:7,1499:44:39,8.406007765398506,1
Fri,100:10:38,1308:0:44,7.658737473571008,2
Sat,91:28:44,1159:11:9,7.891650006266372,2
