Year,Activity time,Total period,% Period,Period rank
2016,219:16:27,1764:59:13,12.423557429524582,1
2014,214:35:54,1791:25:13,11.979228771460509,1
2013,208:32:13,1249:4:26,16.695324936297247,2
2015,118:27:36,1229:28:51,9.63496109807866,1
2017,53:21:14,1525:41:21,3.4970353106364866,6
2019,26:32:13,724:57:22,3.660489792102357,5
2018,17:34:10,1646:42:46,1.0669404331795027,22
