App,Time Spent (Hours),Category,Productivity
applications,750,General Business,2
google.com,5894,Search,2
System Preferences,2385,General Utilities,0
airport utility,12,Science & Technology,-1
loginwindow,2952,General Utilities,0
SecurityAgent,18,Systems Operations,0
edu-apps.mit.edu,249,General Reference & Learning,1
Safari,3509,Browsers,2
idp.mit.edu,670,General Reference & Learning,1
mitpe.mit.edu,111,Presentation,2
RescueTime,52,Intelligence,0
usernotificationcenter,444,General Utilities,0
Mail,22475,Email,2
Finder,5691,General Utilities,0
spotify,6,General Entertainment,-2
google drive,563,General Business,2
adobe desktop service,1,General Utilities,1
creative cloud,171,General Design & Composition,2
apple.com,4607,Engineering & Technology,-1
system information,97,General Utilities,0
dock,1,General Utilities,1
studentschedule.mit.edu,384,Presentation,2
student.mit.edu,275,General Reference & Learning,1
websis.mit.edu,32,General Reference & Learning,1
screensaverengine,283,General Utilities,0
adobe application manager,44,General Utilities,1
photoshop cc,14,General Design & Composition,2
facebook.com,27022,General Social Networking,-2
adobe premiere pro cc 2015,250,Video Editing,2
firehose.guide,1171,General Communication & Scheduling,2
amazon.com,3750,General Shopping,-1
pcmag.com,49,Science & Technology,-1
messages,9432,General Social Networking,-2
rush.mit.edu,679,General Reference & Learning,1
schedule.mit.edu,10,Presentation,2
g-technology.com,225,Operations,2
bhphotovideo.com,42,General Shopping,-2
deerfield.edu,148,General Reference & Learning,1
wechat,44510,General Social Networking,-2
Dropbox,347,File Sharing,-2
support.g-technology.com,352,Operations,2
gaoloumi.com,615,Regional,-2
facetime,42893,Voice Chat,-2
thebeijinger.com,1118,General News & Opinion,-2
iTunes,1434,Music,0
connection.naviance.com,15,General Design & Composition,2
naviance.com,9,General Reference & Learning,1
accounts.google.com,6,General Communication & Scheduling,0
deerfield.instructure.com,2,General Reference & Learning,1
dainfo.deerfield.edu,2,General Reference & Learning,1
studentformsandpetitions.mit.edu,1372,Presentation,2
secure.bankofamerica.com,994,Accounting,2
bankofamerica.com,119,General Business,2
chinadailyasia.com,1,Uncategorized,0
photos,1608,Photos,0
weather.com,6,Travel & Outdoors,-2
messenger.com,17148,General Social Networking,-2
systemuiserver,87,General Utilities,1
letitbefaster.website,2,Uncategorized,0
medical.mit.edu,329,Presentation,2
pic.gaoloumi.com,4,Regional,-2
final cut pro,47,Video Editing,2
istat menus updater,121,General Utilities,1
app store,705,General Shopping,-2
youtube.com,71526,Video,-2
onlinevideoconverter.com,106,Video Editing,2
onclkds.com,3,Uncategorized,0
mojim.com,331,General Entertainment,-2
huetips.com,259,Uncategorized,0
mitbadminton.com,14,Uncategorized,0
getambify.com,14,Uncategorized,0
l.facebook.com,11,General Social Networking,-2
9to5mac.com,7502,General News & Opinion,-2
web.mit.edu,485,General Reference & Learning,2
eduapps.mit.edu,125,Presentation,2
sixohone.mit.edu,51456,Presentation,2
mit.edu,27,Presentation,2
Preview,5405,General Reference & Learning,2
microsoft onenote,1730,Intelligence,2
en.wikipedia.org,7297,General Reference & Learning,1
microsoft autoupdate,89,General Utilities,1
stellar.mit.edu,2542,General Reference & Learning,1
clubsports.mit.edu,3,Presentation,2
registration.mit.edu,2,Presentation,2
www3.ul.ie,98,General Business,2
zbt.mit.edu,272,Presentation,2
wayf.mit.edu,46,Presentation,2
learning-modules.mit.edu,6636,General Reference & Learning,1
lms.mitx.mit.edu,22250,General Reference & Learning,2
whereis.mit.edu,659,General Reference & Learning,1
calendar,6439,Calendars,1
startup.mit.edu,22,Presentation,2
whenisgood.net,14,Calendars,0
oidc.mit.edu,103,Presentation,2
Google Forms,2261,General Business,2
mp.weixin.qq.com,470,Instant Message,-1
beta.doodle.com,277,Internet Utilities,1
sosmath.com,46,General News & Opinion,-2
math.ucdavis.edu,211,General Reference & Learning,1
math.stackexchange.com,36,General Reference & Learning,1
niche.com,181,Uncategorized,0
secureacceptance.cybersource.com,64,Accounting,2
techcash.mit.edu,55,Presentation,2
guest.techcash.mit.edu,76,Uncategorized,0
yelp.com,237,Search,0
maps,710,Maps & Regional,1
owa.exchange.mit.edu,107,Email,0
piazza.com,498,General Reference & Learning,2
Blank Web Browser,4,Internet Utilities,0
anh.cs.luc.edu,66,General Reference & Learning,1
tutorialspoint.com,58,General Reference & Learning,1
eecs-ug.scripts.mit.edu:444,16,Uncategorized,0
newsroom.fb.com,2,Marketing,2
techx.io,1,Uncategorized,0
epad.isb.bj.edu.cn,1000,General Design & Composition,2
etherpad.org,5,Uncategorized,0
Google Documents,810,Writing,2
mitx.org,29,Uncategorized,0
courses.edx.org,244,General Reference & Learning,1
sec.state.ma.us,564,General Business,2
macshiny.com,12,Uncategorized,0
Google Spreadsheets,287,General Business,2
google.com/calendar,3,Calendars,2
microsoft word,17691,Writing,2
ocw.mit.edu,40,General Reference & Learning,1
microsoft error reporting,1,Science & Technology,-1
adobe premiere pro cc 2017,524,Video Editing,2
adobe.com,9,General Software Development,2
core sync,12,Uncategorized,0
nbagent,3,General Utilities,1
lateragent,1,General Utilities,1
wi-fi,1,General Utilities,1
tmhelperagent,1,General Utilities,1
onlineclock.net,96,Internet Utilities,1
online-stopwatch.com,45,General News & Opinion,2
handbrake,49,Video Editing,2
nikonusa.com,261,Search,-2
pan.baidu.com,44,File Sharing,-2
career-fair.mit.edu,68,General Reference & Learning,1
Activity Monitor,305,General Utilities,0
ist.mit.edu,28,Engineering & Technology,1
kb.mit.edu,118,General Reference & Learning,1
installer,187,General Utilities,1
popup,29,Uncategorized,0
drive.google.com,430,General Business,2
news.cgtn.com,764,Uncategorized,0
support.google.com,11,General News & Opinion,2
map.baidu.com,666,Maps & Regional,-2
aqicn.org,611,General Reference & Learning,1
idle,12616,Editing & IDEs,2
Terminal,394,Systems Operations,2
cgtn.com,181,Uncategorized,0
bw-mit-pharos,6,Uncategorized,0
purposegames.com,7190,Games,-2
sporcle.com,2131,Games,-2
istat menus,5,General Utilities,1
mitadmissions.org,51,Science & Technology,-1
mitrejects.com,9,Uncategorized,0
admission.princeton.edu,5,Operations,2
phonearena.com,146,General News & Opinion,-2
wolframalpha.com,2699,Search,1
mi.com,299,Electronics,-2
theverge.com,224,Science & Technology,-1
niu.com,22,Uncategorized,0
genze.com,187,Uncategorized,0
thetab.com,19,General News & Opinion,-2
timeoutbeijing.com,43,Uncategorized,0
thelancet.com,531,Health & Medicine,1
cnn.com,34,General News & Opinion,2
imore.com,14,Science & Technology,-1
cultofmac.com,13,General News & Opinion,-2
discussions.apple.com,11,Science & Technology,-1
lizardpoint.com,215,General Reference & Learning,1
jetpunk.com,10,Games,-2
app.groupme.com,78,Instant Message,-1
shanghaiist.com,93,International,-2
Notes,324,Email,0
rescuetime.com,499,Intelligence,0
Dictionary,224,General Reference & Learning,1
com.apple.fontregistryuiagent,3,General Utilities,1
alexanderguo.com,1259,General Design & Composition,2
support.apple.com,90,Search,0
eds.a.ebscohost.com,123,General Reference & Learning,1
search.ebscohost.com,5,Engineering & Technology,1
library.mit.edu,25,General Reference & Learning,1
when2meet.com,14,General Communication & Scheduling,0
pages.jh.edu,33,General Reference & Learning,1
thegeekstuff.com,95,Science & Technology,-1
openbookproject.net,42,General Reference & Learning,1
pythoncentral.io,21,Engineering & Technology,1
stackoverflow.com,319,General Software Development,2
mail.python.org,9,Engineering & Technology,1
geeksforgeeks.org,24,Operations,2
docs.python.org,46,General Software Development,2
united.com,13381,Travel & Outdoors,-2
ipetitions.com,53,Legal & Gov't,1
mitmedical.followmyhealth.com,31,Health & Medicine,1
Gmail,223,Email,2
tripadvisor.com,1443,Travel & Outdoors,-2
misti.mit.edu,120,Presentation,2
uaap.mit.edu,190,Presentation,2
hxnews.com,105,Uncategorized,0
baike.baidu.com,56,Search,0
baidu.com,61,Search,2
news.wehefei.com,56,Uncategorized,0
news.china.com,30,General News & Opinion,-2
cas.mitx.mit.edu,1,Uncategorized,0
china-un.org,96,Uncategorized,0
ft.com,137,General News & Opinion,-2
independent.co.uk,70,General News & Opinion,-2
cnbc.com,169,Business,-1
qz.com,126,General News & Opinion,-2
businessinsider.com,48,General News & Opinion,-2
nationalinterest.org,263,General News & Opinion,-2
nytimes.com,653,General News & Opinion,-2
straitstimes.com,619,General News & Opinion,-2
insider.foxnews.com,11,General News & Opinion,-2
buzzfeed.com,13,General News & Opinion,-2
techthelead.com,70,Uncategorized,0
mathematica,262,Engineering & Technology,2
reference.wolfram.com,24,General Business,2
expedia.com,1796,Travel & Outdoors,-2
rewardexpert.com,99,Uncategorized,0
mobile - sfs.mit.edu,645,Uncategorized,0
act.mit.edu,71,Presentation,2
edgerton.mit.edu,5,Presentation,2
thedp.com,5,Editing & IDEs,2
web.groupme.com,257,Instant Message,-1
groupme.com,3,Instant Message,-1
java updater,1,General Utilities,1
speech downloader,16,Uncategorized,0
Skype,506,General Social Networking,-2
openknowledge.worldbank.org,837,General Reference & Learning,1
piie.com,8,Uncategorized,0
elibrary.worldbank.org,3,General Reference & Learning,1
prezi.com,3,Presentation,2
listverse.com,114,General News & Opinion,-2
captive network assistant,139,General Utilities,1
python.org,22,General Software Development,2
TextEdit,45,Writing,2
bostonreview.net,78,General Reference & Learning,1
eui.eu,5,General Utilities,1
python.swaroopch.com,186,General Reference & Learning,1
penandpants.com,11,Uncategorized,0
install command line developer tools,218,Systems Operations,2
sscc.edu,41,General Reference & Learning,1
Xcode,12,Editing & IDEs,2
survey.medallia.com,8,Customer Relations,2
backup and sync from google,107,Uncategorized,0
python,196,General Software Development,2
amtrak.com,123,Travel & Outdoors,-2
tickets.amtrak.com,72,Travel & Outdoors,-2
amtrakconnect.com,73,Uncategorized,0
users,6,General Software Development,2
eds.b.ebscohost.com.libproxy.mit.edu,132,General Reference & Learning,1
math.mit.edu,77,Engineering & Technology,1
atlas.mit.edu,74,General Business,2
support.everfi.com,61,Uncategorized,0
yearbook.scripts.mit.edu:444,152,Uncategorized,0
asa.mit.edu,12,Presentation,2
alum.mit.edu,983,General Reference & Learning,1
alumsso.mit.edu,53,Presentation,2
secretoflife.org,6335,Uncategorized,0
facebook.com/help,202,General Social Networking,-2
secure.facebook.com,139,General Social Networking,-2
igeeksblog.com,18,Science & Technology,-1
auth.uber.com,29,General Reference & Learning,1
plus.uber.com,28,General Reference & Learning,1
catalog.mit.edu,469,Presentation,2
meche.mit.edu,46,General Reference & Learning,1
focusearth.com,9,Uncategorized,0
gps.gov,47,Uncategorized,0
hainanairlines.com,8,Uncategorized,0
airchina.us,376,Travel & Outdoors,-2
tutorial.math.lamar.edu,193,General Reference & Learning,1
www2.clarku.edu,8,General Reference & Learning,1
johnnybui.com,90,Uncategorized,0
photos.google.com,10,Photos,-2
Microsoft OneDrive,1,General Utilities,1
OneNote - onenote.com,1,Writing,2
promotions.united.com,9,Travel & Outdoors,-2
soku.com,102,Video,-2
youku.com,143,General Entertainment,-2
onehallyu.com,85,General Entertainment,-2
vidstatsx.com,24,Uncategorized,0
yinyuetai.com,8,Music,-2
v.yinyuetai.com,6,Music,-2
matlab,4345,General Software Development,2
