,Min,25th,Median,75th,Max,Mean,STD
Duration,165:55:17,165:55:17,165:55:17,165:55:17,165:55:17,165:55:17,0:0:0
Productivity,0.655531736079837,0.655531736079837,0.655531736079837,0.655531736079837,0.655531736079837,0.655531736079837,
