,Min,25th,Median,75th,Max,Mean,STD
Duration,20:23:46,24:41:9,37:19:59,40:12:22,43:18:1,33:11:3,10:3:26
Productivity,0.5064418598316672,0.6117615360435203,0.6274235110105886,0.7185637541945997,0.7370320984924901,0.6402445519145732,0.09270996212645836
