,Min,25th,Median,75th,Max,Mean,STD
Duration,0:0:2,0:25:28,5:24:5,13:38:12,17:59:57,7:12:50,6:38:49
Productivity,0.05081967213114752,0.26958174904942966,0.45081967213114754,0.8303444128245148,0.9849706744868035,0.5140138361416698,0.306352624656513
