,Min,25th,Median,75th,Max,Mean,STD
Duration,2:5:56,12:53:55,27:43:9,35:47:35,38:43:10,23:42:11,14:41:20
Productivity,0.060051614610905246,0.3850266935424278,0.6677912772124941,0.6993426344685385,0.7687288044562433,0.5236157646145108,0.3025071818542358
