,Min,25th,Median,75th,Max,Mean,STD
Duration,64:53:31,73:55:34,82:57:38,91:59:42,101:1:46,82:57:38,25:33:11
Productivity,0.6299655490973479,0.646308013824843,0.6626504785523382,0.6789929432798333,0.6953354080073284,0.6626504785523382,0.04622347052045506
