,Min,25th,Median,75th,Max,Mean,STD
Duration,0:1:24,1:52:3,5:28:12,8:36:47,11:22:29,5:21:8,3:40:47
Productivity,0.001346854698146105,0.3177273879131074,0.6302241362435157,0.7195976539421414,0.9819802731411229,0.5399735669746426,0.2861549658963121
