,Min,25th,Median,75th,Max,Mean,STD
Duration,13:13:9,13:37:43,13:51:13,14:2:19,14:17:14,13:49:36,0:19:29
Productivity,0.6254845999493484,0.6466897121009728,0.6570767857799555,0.6607105663959254,0.6864838102782453,0.6555639351949986,0.015207868203279542
