App,Time Spent (Hours),Category,Productivity
loginwindow,5032,General Utilities,0
drive.google.com,6129,General Business,2
Finder,16831,General Utilities,0
Mail,16417,Email,2
microsoft word,67991,Writing,2
accounts.google.com,109,General Communication & Scheduling,0
auth.deerfield.edu,44,General Reference & Learning,1
google.com,4710,Search,2
chemistry.stackexchange.com,25,General Reference & Learning,1
messages,2056,General Social Networking,-2
screensaverengine,230,General Utilities,0
cummingsstudyguides.net,8,General Reference & Learning,1
dalearn.deerfield.edu,2582,General Reference & Learning,2
Skype,14471,General Social Networking,-2
answers.yahoo.com,10,Search,0
Dictionary,2047,General Reference & Learning,1
rhymezone.com,1048,General News & Opinion,2
Safari,1317,Browsers,2
dosomethingcool.net,80,Uncategorized,0
refinery29.com,35,General News & Opinion,-2
imdb.com,17,Video,-2
tjohnsonmediagroup.com,6,Uncategorized,0
essentiallifeskills.net,35,General Reference & Learning,1
RescueTime,18,Intelligence,0
protobowl.com,4,General Reference & Learning,1
github,98,General Software Development,2
eclipse,2509,Editing & IDEs,2
github.com,97,General Software Development,2
applications,118,General Business,2
swerve,628,Uncategorized,0
artofproblemsolving.com,13383,Engineering & Technology,2
tools.google.com,4,Search,0
deerfield.edu,1923,General Reference & Learning,1
Adobe Photoshop,149,Graphic Design,2
en.wikipedia.org,13361,General Reference & Learning,1
mathsisfun.com,20,General Entertainment,-2
daisydisk,426,General Utilities,0
amazon.com,8941,General Shopping,-1
baidu.com,59,Search,2
360doc.com,34,Anti-Virus & Spyware,-1
ywzx8.com,72,Uncategorized,0
quicktime player,4119,General Entertainment,-1
usernotificationcenter,187,General Utilities,0
google chrome,34,Browsers,0
facebook.com,23177,General Social Networking,-2
facetime,48,Voice Chat,-2
see.stanford.edu,709,General Reference & Learning,1
boredpanda.com,2,General Entertainment,-2
dainfo.deerfield.edu,3139,General Reference & Learning,1
System Preferences,229,General Utilities,0
tetrisfriends.com,209,Games,-2
var,12,General Utilities,1
google drive,13,General Business,2
dropbox.com,33,File Sharing,2
Dropbox,236,File Sharing,-2
rescuetime.com,1489,Intelligence,0
doodlehangmanfree,1030,Games,-2
youku.com,76,General Entertainment,-2
soku.com,143,Video,-2
icloud.com,6406,General Software Development,2
baike.baidu.com,119,Search,0
youtube.com,3399,Video,-2
apple.com,318,Engineering & Technology,-1
english.cntv.cn,50,Society,-2
cntv.cn,33,Video,-2
v.youku.com,30,Video,-2
tv.cntv.cn,32,General Entertainment,-2
so.cntv.cn,11,Video,-2
dianshiju.cntv.cn,5,Video,-2
usna.edu,46,General Reference & Learning,1
lordsandladies.org,244,General Reference & Learning,1
insights.colliers.com,78,General Business,2
list25.com,62,General Entertainment,-2
wolframalpha.com,757,Search,1
9to5mac.com,2128,General News & Opinion,-2
123helpme.com,192,Search,0
MS Excel,14152,General Business,2
Google Documents - Google Apps,4468,Writing,2
Preview,3403,General Reference & Learning,2
sports.yahoo.com,19,Sports,-1
picrazy2.com,3,Uncategorized,2
hjedesign.com,9128,Graphic Design,2
Google Drive - Google Apps,93,General Business,2
system information,15,General Utilities,0
nfs.sparknotes.com,1573,Search,0
ijreview.com,140,General News & Opinion,-2
sparknotes.com,287,Search,2
linedictionary.naver.com,289,General Reference & Learning,1
contacts,57,Customer Relations,2
netflix.com,126,Video,-2
adobe flash player install manager,35,General Utilities,1
nintendo.com,107,Games,-2
store.apple.com,100,Electronics,-2
makeuseof.com,283,General News & Opinion,-2
bustle.com,70,General News & Opinion,-2
myaccount.google.com,12,Internet Utilities,1
auth.netatmo.com,40,Uncategorized,0
netatmowizard,201,Uncategorized,0
my.netatmo.com,377,Uncategorized,0
netatmo.com,16,Uncategorized,0
coreservicesuiagent,6,General Utilities,0
netatmomodulesmanager,122,Uncategorized,0
diskimages ui agent,4,General Utilities,1
secure.bankofamerica.com,207,Accounting,2
bankofamerica.com,51,General Business,2
forums.macrumors.com,156,General News & Opinion,-2
mac-forums.com,63,Search,0
discussions.apple.com,33,Science & Technology,-1
gotoanswer.stanford.edu,23,General Reference & Learning,1
support.apple.com,25,Search,0
nuffieldfoundation.org,57,General Reference & Learning,1
pages,39064,Presentation,2
4college.co.uk,107,Uncategorized,0
bestclipsvine.com,101,Uncategorized,0
newyorker.com,1366,General News & Opinion,-2
media.mit.edu,752,General Reference & Learning,1
playful.media.mit.edu,3,General Reference & Learning,1
living.media.mit.edu,16,General Reference & Learning,1
calendar,5167,Calendars,1
Gmail,546,Email,2
productforums.google.com,138,General Software Development,2
app store,410,General Shopping,-2
ca.answers.yahoo.com,45,General News & Opinion,-2
chinagourmetma.com,382,Uncategorized,0
mathtype,3422,Engineering & Technology,1
shanghaiist.com,105,International,-2
forbes.com,187,General News & Opinion,-2
afe.easia.columbia.edu,139,General Reference & Learning,1
SecurityAgent,13,Systems Operations,0
alibaba.com,27,General News & Opinion,-2
taobao.com,2,General Shopping,-2
oregoncriminaldefenders.com,21,Uncategorized,0
wikihow.com,157,Search,0
msnbcmedia.msn.com,20,General News & Opinion,-2
flash player (safari internet plug-in),294,Video,-2
macrumors.com,15,General News & Opinion,-2
cuni.cz,8,General Reference & Learning,1
bodybuilding.com,160,Health & Medicine,1
muscleforlife.com,124,Health & Medicine,1
Google Spreadsheets - Google Apps,4394,General Business,2
controlpanel,3,General Utilities,1
khanacademy.org,1861,General Reference & Learning,2
amc-reg.maa.org,411,General Reference & Learning,1
avidacademy.com,43,Uncategorized,0
maa.org,34,General News & Opinion,-2
talk.collegeconfidential.com,32,Search,0
professionals.collegeboard.com,57,General Reference & Learning,1
news.baidu.com,35,General News & Opinion,-2
video.baidu.com,196,General Entertainment,-2
cq.xinhuanet.com,52,General News & Opinion,-2
zhidao.baidu.com,9,Science & Technology,-1
my.tv.sohu.com,45,Video,-1
video.baomihua.com,304,Video,-2
v1.wasu.cn,57,Video,-2
baomihua.com,45,Uncategorized,0
wechat,53,General Social Networking,-2
Keynote,10376,Presentation,2
translate.google.com,815,Search,1
thepotomacpost.com,41,Uncategorized,0
oneworldyouthproject.org,3,Uncategorized,0
google.com/calendar,29,Calendars,2
homeenergyresourcemn.org,114,Uncategorized,0
startribune.com,222,General News & Opinion,-2
bostonglobe.com,51,General News & Opinion,-2
quizlet.com,168,General Reference & Learning,2
blog.laptopmag.com,211,Search,0
mashable.com,126,Science & Technology,-1
sentence.yourdictionary.com,1457,Search,2
yourdictionary.com,49,Search,0
Activity Monitor,14,General Utilities,0
popularmechanics.com,87,General News & Opinion,-2
cierzo.sahra.arizona.edu,45,Uncategorized,0
businessinsider.com,1527,General News & Opinion,-2
thaibluegingers.com,217,Uncategorized,0
upload.wikimedia.org,103,Search,0
iTunes,9,Music,0
VLC Media Player,7,Video,-2
mpeg streamclip,3,Video Editing,2
curatedobject.us,37,Uncategorized,0
i.huffpost.com,7,General News & Opinion,-2
visual-arts-cork.com,355,General Reference & Learning,1
italianrenaissance.org,143,Uncategorized,0
writedesignonline.com,16,Presentation,2
wordprocessing.about.com,12,General Entertainment,-2
tex.stackexchange.com,5,Engineering & Technology,1
manuals.info.apple.com,103,General Utilities,1
help.apple.com,68,Search,0
java updater,5,General Utilities,1
hyperallergic.com,95,Society,-2
litmuspress.org,104,Uncategorized,0
montevidayo.com,18,Uncategorized,0
poetryfoundation.org,11,Society,-2
banangolit.com,319,Uncategorized,0
research.nd.edu,83,General Reference & Learning,1
library.newpaltz.edu,69,General Reference & Learning,1
TextEdit,53,Writing,2
Notes,68,Email,0
keychain access,15,Systems Operations,2
setup assistant,41,General Utilities,1
microsoft autoupdate,7,General Utilities,1
understandingpaintings.wordpress.com,183,General News & Opinion,-2
