Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2014-05-13T09:55:00,81,1,Skype,General Social Networking,-2
2014-05-13T09:55:00,17,1,Mail,Email,2
2014-05-13T09:55:00,7,1,isbartoneclass.wikispaces.com,Intelligence,2
2014-05-13T09:55:00,4,1,calendar,Calendars,1
2014-05-13T10:00:00,276,1,final cut pro,Video Editing,2
2014-05-13T10:00:00,16,1,Finder,General Utilities,0
2014-05-13T10:00:00,7,1,usernotificationcenter,General Utilities,0
2014-05-13T10:00:00,1,1,isbartoneclass.wikispaces.com,Intelligence,2
2014-05-13T10:05:00,286,1,final cut pro,Video Editing,2
2014-05-13T10:05:00,14,1,google.com.hk,Search,2
2014-05-13T10:10:00,287,1,final cut pro,Video Editing,2
2014-05-13T10:30:00,35,1,Finder,General Utilities,0
2014-05-13T10:30:00,3,1,final cut pro,Video Editing,2
2014-05-13T10:45:00,99,1,final cut pro,Video Editing,2
2014-05-13T10:45:00,90,1,googlesciencefair.com,Uncategorized,0
2014-05-13T10:45:00,15,1,Finder,General Utilities,0
2014-05-13T10:45:00,1,1,epad.isb.bj.edu.cn,General Design & Composition,2
2014-05-13T10:50:00,262,1,final cut pro,Video Editing,2
2014-05-13T10:50:00,23,1,Skype,General Social Networking,-2
2014-05-13T10:50:00,15,1,epad.isb.bj.edu.cn,General Design & Composition,2
2014-05-13T10:55:00,205,1,final cut pro,Video Editing,2
2014-05-13T10:55:00,74,1,epad.isb.bj.edu.cn,General Design & Composition,2
2014-05-13T10:55:00,21,1,Skype,General Social Networking,-2
2014-05-13T11:00:00,211,1,final cut pro,Video Editing,2
2014-05-13T11:00:00,89,1,Skype,General Social Networking,-2
2014-05-13T11:05:00,292,1,final cut pro,Video Editing,2
2014-05-13T11:05:00,8,1,Skype,General Social Networking,-2
2014-05-13T11:10:00,300,1,final cut pro,Video Editing,2
2014-05-13T11:15:00,300,1,final cut pro,Video Editing,2
2014-05-13T11:20:00,168,1,final cut pro,Video Editing,2
2014-05-13T11:20:00,132,1,epad.isb.bj.edu.cn,General Design & Composition,2
2014-05-13T11:25:00,160,1,epad.isb.bj.edu.cn,General Design & Composition,2
2014-05-13T11:25:00,128,1,final cut pro,Video Editing,2
2014-05-13T11:25:00,12,1,quicktime player,General Entertainment,-1
2014-05-13T11:30:00,59,1,Finder,General Utilities,0
