Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2017-07-09T00:05:00,55,1,photoshop cc,General Design & Composition,2
2017-07-09T00:10:00,95,1,snapchat.com,General Social Networking,-2
2017-07-09T00:10:00,41,1,photoshop cc,General Design & Composition,2
2017-07-09T00:10:00,6,1,geofilters.snapchat.com,Marketing,2
2017-07-09T00:10:00,4,1,Finder,General Utilities,0
2017-07-09T00:10:00,2,1,Safari,Browsers,2
2017-07-09T00:15:00,129,1,snapchat.com,General Social Networking,-2
2017-07-09T00:15:00,90,1,photoshop cc,General Design & Composition,2
2017-07-09T00:15:00,81,1,geofilters.snapchat.com,Marketing,2
2017-07-09T00:20:00,114,1,photoshop cc,General Design & Composition,2
2017-07-09T00:20:00,113,1,snapchat.com,General Social Networking,-2
2017-07-09T00:20:00,28,1,geofilters.snapchat.com,Marketing,2
2017-07-09T00:20:00,18,1,Finder,General Utilities,0
2017-07-09T00:25:00,72,1,photoshop cc,General Design & Composition,2
2017-07-09T00:30:00,177,1,photoshop cc,General Design & Composition,2
2017-07-09T00:30:00,54,1,google.com,Search,2
2017-07-09T00:30:00,7,1,support.snapchat.com,General Social Networking,-2
2017-07-09T00:30:00,2,1,snapchat.com,General Social Networking,-2
2017-07-09T00:30:00,2,1,geofilters.snapchat.com,Marketing,2
2017-07-09T00:35:00,209,1,photoshop cc,General Design & Composition,2
2017-07-09T00:40:00,136,1,geofilters.snapchat.com,Marketing,2
2017-07-09T00:40:00,42,1,loginwindow,General Utilities,0
2017-07-09T00:40:00,35,1,photoshop cc,General Design & Composition,2
2017-07-09T00:40:00,3,1,google.com,Search,2
2017-07-09T00:55:00,30,1,loginwindow,General Utilities,0
2017-07-09T00:55:00,17,1,geofilters.snapchat.com,Marketing,2
2017-07-09T01:10:00,58,1,loginwindow,General Utilities,0
2017-07-09T01:10:00,17,1,geofilters.snapchat.com,Marketing,2
2017-07-09T11:05:00,106,1,Skype,General Social Networking,-2
2017-07-09T11:05:00,16,1,loginwindow,General Utilities,0
2017-07-09T11:05:00,3,1,geofilters.snapchat.com,Marketing,2
2017-07-09T11:05:00,3,1,messages,General Social Networking,-2
2017-07-09T23:45:00,129,1,facetime,Voice Chat,-2
2017-07-09T23:45:00,85,1,Safari,Browsers,2
2017-07-09T23:45:00,29,1,Skype,General Social Networking,-2
2017-07-09T23:45:00,3,1,google drive,General Business,2
2017-07-09T23:50:00,289,1,photoshop cc,General Design & Composition,2
2017-07-09T23:50:00,6,1,Skype,General Social Networking,-2
2017-07-09T23:50:00,2,1,wechat,General Social Networking,-2
2017-07-09T23:55:00,161,1,wechat,General Social Networking,-2
2017-07-09T23:55:00,56,1,Preview,General Reference & Learning,2
2017-07-09T23:55:00,50,1,photoshop cc,General Design & Composition,2
2017-07-09T23:55:00,30,1,messages,General Social Networking,-2
