Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-01-28T00:10:00,251,1,Google Spreadsheets,General Business,2
2019-01-28T00:10:00,41,1,Google Forms,General Business,2
2019-01-28T00:15:00,300,1,Google Spreadsheets,General Business,2
2019-01-28T00:20:00,297,1,Google Spreadsheets,General Business,2
2019-01-28T00:20:00,3,1,Google Forms,General Business,2
2019-01-28T00:25:00,4,1,Google Spreadsheets,General Business,2
2019-01-28T00:25:00,1,1,loginwindow,General Utilities,0
2019-01-28T18:30:00,54,1,Google Spreadsheets,General Business,2
2019-01-28T18:35:00,175,1,youtube.com,Video,-2
2019-01-28T18:35:00,16,1,Google Spreadsheets,General Business,2
2019-01-28T18:35:00,2,1,Google Forms,General Business,2
2019-01-28T18:35:00,1,1,loginwindow,General Utilities,0
2019-01-28T18:40:00,212,1,imeiju.cc,Video,-2
2019-01-28T18:40:00,84,1,youtube.com,Video,-2
2019-01-28T18:40:00,3,1,google.com,Search,2
2019-01-28T18:40:00,1,1,baidu.com,Search,2
2019-01-28T18:45:00,253,1,imeiju.cc,Video,-2
2019-01-28T19:10:00,7,1,imeiju.cc,Video,-2
2019-01-28T19:15:00,1,1,imeiju.cc,Video,-2
2019-01-28T19:30:00,8,1,imeiju.cc,Video,-2
2019-01-28T19:50:00,127,1,imeiju.cc,Video,-2
2019-01-28T19:55:00,300,1,imeiju.cc,Video,-2
2019-01-28T20:00:00,300,1,imeiju.cc,Video,-2
2019-01-28T20:05:00,92,1,imeiju.cc,Video,-2
2019-01-28T20:15:00,182,1,facetime,Voice Chat,-2
2019-01-28T20:20:00,300,1,facetime,Voice Chat,-2
2019-01-28T20:25:00,300,1,facetime,Voice Chat,-2
2019-01-28T20:30:00,281,1,facetime,Voice Chat,-2
2019-01-28T20:30:00,17,1,calendar,Calendars,1
2019-01-28T20:30:00,2,1,wechat,General Social Networking,-2
2019-01-28T20:35:00,226,1,facetime,Voice Chat,-2
2019-01-28T20:35:00,74,1,wechat,General Social Networking,-2
2019-01-28T20:40:00,288,1,facetime,Voice Chat,-2
2019-01-28T20:40:00,12,1,calendar,Calendars,1
2019-01-28T20:45:00,213,1,facetime,Voice Chat,-2
2019-01-28T20:45:00,58,1,calendar,Calendars,1
2019-01-28T20:45:00,19,1,Finder,General Utilities,0
2019-01-28T20:45:00,10,1,Mail,Email,2
2019-01-28T20:50:00,259,1,facetime,Voice Chat,-2
2019-01-28T20:50:00,20,1,google.com,Search,2
2019-01-28T20:50:00,14,1,wechat,General Social Networking,-2
2019-01-28T20:50:00,7,1,Mail,Email,2
2019-01-28T20:55:00,233,1,wechat,General Social Networking,-2
2019-01-28T20:55:00,64,1,facetime,Voice Chat,-2
2019-01-28T21:00:00,151,1,wechat,General Social Networking,-2
2019-01-28T21:00:00,1,1,loginwindow,General Utilities,0
2019-01-28T21:25:00,18,1,google.com,Search,2
2019-01-28T21:25:00,13,1,imeiju.cc,Video,-2
2019-01-28T21:25:00,2,1,wechat,General Social Networking,-2
2019-01-28T21:25:00,1,1,loginwindow,General Utilities,0
2019-01-28T21:25:00,1,1,MS Excel,General Business,2
2019-01-28T21:30:00,248,1,imeiju.cc,Video,-2
2019-01-28T21:40:00,207,1,imeiju.cc,Video,-2
2019-01-28T21:45:00,173,1,imeiju.cc,Video,-2
2019-01-28T22:00:00,11,1,imeiju.cc,Video,-2
2019-01-28T22:25:00,297,1,imeiju.cc,Video,-2
2019-01-28T22:30:00,13,1,imeiju.cc,Video,-2
2019-01-28T22:45:00,158,1,imeiju.cc,Video,-2
2019-01-28T22:50:00,11,1,imeiju.cc,Video,-2
2019-01-28T23:05:00,75,1,imeiju.cc,Video,-2
2019-01-28T23:05:00,6,1,support.google.com,General News & Opinion,2
2019-01-28T23:10:00,101,1,en.wikipedia.org,General Reference & Learning,1
2019-01-28T23:10:00,23,1,imeiju.cc,Video,-2
2019-01-28T23:10:00,8,1,google.com,Search,2
2019-01-28T23:30:00,7,1,imeiju.cc,Video,-2
2019-01-28T23:30:00,1,1,loginwindow,General Utilities,0
