Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2015-05-01T09:25:00,259,1,MS Excel,General Business,2
2015-05-01T09:25:00,8,1,Mail,Email,2
2015-05-01T09:25:00,7,1,Skype,General Social Networking,-2
2015-05-01T09:30:00,300,1,MS Excel,General Business,2
2015-05-01T09:35:00,300,1,MS Excel,General Business,2
2015-05-01T09:40:00,186,1,Keynote,Presentation,2
2015-05-01T09:40:00,95,1,MS Excel,General Business,2
2015-05-01T09:40:00,19,1,chinaairlinetravel.com,Uncategorized,0
2015-05-01T09:45:00,300,1,Keynote,Presentation,2
2015-05-01T09:50:00,170,1,Keynote,Presentation,2
2015-05-01T09:50:00,19,1,loginwindow,General Utilities,0
2015-05-01T10:05:00,186,1,Keynote,Presentation,2
2015-05-01T10:10:00,167,1,Keynote,Presentation,2
2015-05-01T10:10:00,17,1,loginwindow,General Utilities,0
2015-05-01T10:35:00,247,1,Keynote,Presentation,2
2015-05-01T10:40:00,300,1,Keynote,Presentation,2
2015-05-01T10:45:00,79,1,Keynote,Presentation,2
2015-05-01T10:45:00,41,1,Mail,Email,2
2015-05-01T10:45:00,17,1,loginwindow,General Utilities,0
2015-05-01T10:45:00,11,1,icloud.com,General Software Development,2
2015-05-01T13:05:00,103,1,alfred 2,General Utilities,1
2015-05-01T13:05:00,24,1,translate.google.com,Search,1
2015-05-01T13:05:00,17,1,icloud.com,General Software Development,2
2015-05-01T13:05:00,3,1,Mail,Email,2
2015-05-01T13:10:00,215,1,translate.google.com,Search,1
2015-05-01T13:10:00,69,1,alfred 2,General Utilities,1
2015-05-01T13:10:00,16,1,loginwindow,General Utilities,0
2015-05-01T13:45:00,96,1,quicktime player,General Entertainment,-1
2015-05-01T13:45:00,85,1,ams.deerfield.edu,General Reference & Learning,1
2015-05-01T13:45:00,73,1,Mail,Email,2
2015-05-01T13:45:00,24,1,translate.google.com,Search,1
2015-05-01T13:50:00,295,1,quicktime player,General Entertainment,-1
2015-05-01T13:50:00,5,1,ams.deerfield.edu,General Reference & Learning,1
2015-05-01T13:55:00,294,1,quicktime player,General Entertainment,-1
2015-05-01T13:55:00,6,1,ams.deerfield.edu,General Reference & Learning,1
2015-05-01T14:00:00,291,1,quicktime player,General Entertainment,-1
2015-05-01T14:00:00,9,1,ams.deerfield.edu,General Reference & Learning,1
2015-05-01T14:05:00,287,1,quicktime player,General Entertainment,-1
2015-05-01T14:05:00,12,1,ams.deerfield.edu,General Reference & Learning,1
2015-05-01T14:10:00,176,1,quicktime player,General Entertainment,-1
2015-05-01T14:10:00,18,1,loginwindow,General Utilities,0
