Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2013-03-21T09:40:00,7,1,microsoft word,Writing,2
2013-03-21T09:45:00,269,1,microsoft word,Writing,2
2013-03-21T09:50:00,3,1,microsoft word,Writing,2
2013-03-21T09:55:00,196,1,microsoft word,Writing,2
2013-03-21T11:05:00,45,1,Preview,General Reference & Learning,2
2013-03-21T11:10:00,242,1,Preview,General Reference & Learning,2
2013-03-21T11:15:00,296,1,Preview,General Reference & Learning,2
2013-03-21T11:20:00,235,1,Preview,General Reference & Learning,2
2013-03-21T11:20:00,64,1,microsoft word,Writing,2
2013-03-21T11:25:00,197,1,microsoft word,Writing,2
2013-03-21T11:25:00,70,1,Preview,General Reference & Learning,2
2013-03-21T11:30:00,85,1,Preview,General Reference & Learning,2
2013-03-21T11:30:00,6,1,microsoft word,Writing,2
2013-03-21T11:35:00,165,1,Preview,General Reference & Learning,2
2013-03-21T11:45:00,159,1,microsoft word,Writing,2
2013-03-21T11:50:00,239,1,microsoft word,Writing,2
2013-03-21T11:50:00,21,1,Finder,General Utilities,0
2013-03-21T11:55:00,160,1,microsoft word,Writing,2
2013-03-21T11:55:00,48,1,microsoft outlook,Email,2
2013-03-21T11:55:00,47,1,Activity Monitor,General Utilities,0
2013-03-21T11:55:00,37,1,Finder,General Utilities,0
2013-03-21T12:00:00,249,1,microsoft word,Writing,2
2013-03-21T12:00:00,36,1,github.com,General Software Development,2
2013-03-21T12:00:00,14,1,microsoft outlook,Email,2
2013-03-21T12:05:00,188,1,facebook.com,General Social Networking,-2
2013-03-21T12:05:00,108,1,microsoft word,Writing,2
2013-03-21T12:05:00,4,1,newtab,Browsers,0
2013-03-21T12:10:00,175,1,facebook.com,General Social Networking,-2
2013-03-21T12:10:00,100,1,microsoft word,Writing,2
2013-03-21T12:10:00,13,1,Finder,General Utilities,0
2013-03-21T12:10:00,12,1,newtab,Browsers,0
2013-03-21T12:15:00,184,1,microsoft word,Writing,2
2013-03-21T12:15:00,90,1,facebook.com,General Social Networking,-2
