Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2015-11-13T00:15:00,208,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:15:00,17,1,dainfo.deerfield.edu,General Reference & Learning,1
2015-11-13T00:15:00,2,1,Skype,General Social Networking,-2
2015-11-13T00:25:00,9,1,Finder,General Utilities,0
2015-11-13T00:25:00,5,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:30:00,157,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:30:00,74,1,Finder,General Utilities,0
2015-11-13T00:30:00,38,1,handbrake.fr,Video,-2
2015-11-13T00:30:00,16,1,media encoder cc,Video Editing,2
2015-11-13T00:30:00,5,1,dainfo.deerfield.edu,General Reference & Learning,1
2015-11-13T00:30:00,3,1,Safari,Browsers,2
2015-11-13T00:30:00,2,1,google.com,Search,2
2015-11-13T00:35:00,154,1,facebook.com,General Social Networking,-2
2015-11-13T00:35:00,63,1,handbrake,Video Editing,2
2015-11-13T00:35:00,26,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:35:00,18,1,Finder,General Utilities,0
2015-11-13T00:35:00,16,1,System Preferences,General Utilities,0
2015-11-13T00:35:00,12,1,Mail,Email,2
2015-11-13T00:35:00,4,1,coreservicesuiagent,General Utilities,0
2015-11-13T00:35:00,2,1,dainfo.deerfield.edu,General Reference & Learning,1
2015-11-13T00:35:00,2,1,Safari,Browsers,2
2015-11-13T00:35:00,1,1,deerfield.edu,General Reference & Learning,1
2015-11-13T00:35:00,1,1,deerfield.instructure.com,General Reference & Learning,1
2015-11-13T00:35:00,1,1,handbrake.fr,Video,-2
2015-11-13T00:40:00,158,1,handbrake,Video Editing,2
2015-11-13T00:40:00,60,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:40:00,34,1,deerfield.edu,General Reference & Learning,1
2015-11-13T00:40:00,27,1,Finder,General Utilities,0
2015-11-13T00:40:00,8,1,microsoft word,Writing,2
2015-11-13T00:40:00,6,1,facebook.com,General Social Networking,-2
2015-11-13T00:40:00,4,1,Safari,Browsers,2
2015-11-13T00:40:00,2,1,photoshop cc,General Design & Composition,2
2015-11-13T00:40:00,1,1,dainfo.deerfield.edu,General Reference & Learning,1
2015-11-13T00:45:00,209,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:50:00,56,1,handbrake,Video Editing,2
2015-11-13T00:50:00,11,1,Finder,General Utilities,0
2015-11-13T00:50:00,2,1,adobe premiere pro cc 2015,Video Editing,2
2015-11-13T00:55:00,243,1,handbrake,Video Editing,2
2015-11-13T00:55:00,42,1,loginwindow,General Utilities,0
2015-11-13T09:10:00,66,1,dalearn.deerfield.edu,General Reference & Learning,2
2015-11-13T09:10:00,13,1,colormatters.com,Uncategorized,0
2015-11-13T09:10:00,5,1,Google Documents,Writing,2
2015-11-13T09:10:00,3,1,microsoft onenote,Intelligence,2
