Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2016-08-27T00:05:00,231,1,Mail,Email,2
2016-08-27T00:05:00,3,1,Finder,General Utilities,0
2016-08-27T00:10:00,300,1,Mail,Email,2
2016-08-27T00:15:00,232,1,Mail,Email,2
2016-08-27T00:15:00,17,1,loginwindow,General Utilities,0
2016-08-27T13:00:00,192,1,youtube.com,Video,-2
2016-08-27T13:05:00,300,1,youtube.com,Video,-2
2016-08-27T13:10:00,300,1,youtube.com,Video,-2
2016-08-27T13:15:00,300,1,youtube.com,Video,-2
2016-08-27T13:20:00,300,1,youtube.com,Video,-2
2016-08-27T13:25:00,300,1,youtube.com,Video,-2
2016-08-27T13:30:00,300,1,youtube.com,Video,-2
2016-08-27T13:35:00,300,1,youtube.com,Video,-2
2016-08-27T13:40:00,300,1,youtube.com,Video,-2
2016-08-27T13:45:00,300,1,youtube.com,Video,-2
2016-08-27T13:50:00,300,1,youtube.com,Video,-2
2016-08-27T13:55:00,300,1,youtube.com,Video,-2
2016-08-27T14:00:00,300,1,youtube.com,Video,-2
2016-08-27T14:00:00,165,1,microsoft word,Writing,2
2016-08-27T14:00:00,61,1,MS Excel,General Business,2
2016-08-27T14:00:00,5,1,Mail,Email,2
2016-08-27T14:00:00,4,1,en.wikipedia.org,General Reference & Learning,1
2016-08-27T14:05:00,300,1,youtube.com,Video,-2
2016-08-27T14:05:00,242,1,microsoft word,Writing,2
2016-08-27T14:05:00,20,1,Mail,Email,2
2016-08-27T14:05:00,19,1,image.baidu.com,Search,0
2016-08-27T14:05:00,11,1,web.mit.edu,General Reference & Learning,2
2016-08-27T14:05:00,4,1,en.wikipedia.org,General Reference & Learning,1
2016-08-27T14:05:00,4,1,google.com,Search,2
2016-08-27T14:10:00,300,1,youtube.com,Video,-2
2016-08-27T14:10:00,300,1,web.mit.edu,General Reference & Learning,2
2016-08-27T14:15:00,147,1,architecture.mit.edu,General Reference & Learning,1
2016-08-27T14:15:00,139,1,web.mit.edu,General Reference & Learning,2
2016-08-27T14:15:00,45,1,youtube.com,Video,-2
2016-08-27T14:15:00,12,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T14:15:00,2,1,hst.mit.edu,General Reference & Learning,1
2016-08-27T14:20:00,190,1,microsoft word,Writing,2
2016-08-27T14:20:00,50,1,cmsw.mit.edu,Presentation,2
2016-08-27T14:20:00,42,1,architecture.mit.edu,General Reference & Learning,1
2016-08-27T14:20:00,17,1,web.mit.edu,General Reference & Learning,2
2016-08-27T14:20:00,1,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T14:25:00,157,1,dusp.mit.edu,General Reference & Learning,1
2016-08-27T14:25:00,108,1,cmsw.mit.edu,Presentation,2
2016-08-27T14:25:00,21,1,microsoft word,Writing,2
2016-08-27T14:25:00,10,1,Mail,Email,2
2016-08-27T14:25:00,4,1,web.mit.edu,General Reference & Learning,2
2016-08-27T14:30:00,255,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T14:30:00,45,1,dusp.mit.edu,General Reference & Learning,1
2016-08-27T14:35:00,209,1,microsoft word,Writing,2
2016-08-27T14:35:00,70,1,dusp.mit.edu,General Reference & Learning,1
2016-08-27T14:35:00,21,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T14:40:00,243,1,microsoft word,Writing,2
2016-08-27T14:40:00,57,1,Dictionary,General Reference & Learning,1
2016-08-27T14:45:00,300,1,microsoft word,Writing,2
2016-08-27T14:50:00,300,1,microsoft word,Writing,2
2016-08-27T14:55:00,200,1,microsoft word,Writing,2
2016-08-27T15:05:00,27,1,microsoft word,Writing,2
2016-08-27T15:10:00,300,1,microsoft word,Writing,2
2016-08-27T15:15:00,300,1,microsoft word,Writing,2
2016-08-27T15:20:00,300,1,microsoft word,Writing,2
2016-08-27T15:25:00,286,1,microsoft word,Writing,2
2016-08-27T15:25:00,13,1,Dictionary,General Reference & Learning,1
2016-08-27T15:30:00,300,1,microsoft word,Writing,2
2016-08-27T15:35:00,300,1,microsoft word,Writing,2
2016-08-27T15:40:00,300,1,microsoft word,Writing,2
2016-08-27T15:45:00,283,1,microsoft word,Writing,2
2016-08-27T15:45:00,14,1,Dictionary,General Reference & Learning,1
2016-08-27T15:45:00,1,1,architecture.mit.edu,General Reference & Learning,1
2016-08-27T15:45:00,1,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T15:50:00,291,1,microsoft word,Writing,2
2016-08-27T15:50:00,5,1,Dictionary,General Reference & Learning,1
2016-08-27T15:50:00,2,1,architecture.mit.edu,General Reference & Learning,1
2016-08-27T15:50:00,1,1,youtube.com,Video,-2
2016-08-27T15:55:00,300,1,microsoft word,Writing,2
2016-08-27T16:00:00,20,1,facetime,Voice Chat,-2
2016-08-27T16:00:00,20,1,microsoft word,Writing,2
2016-08-27T16:30:00,45,1,my.mit.edu,General Reference & Learning,1
2016-08-27T16:30:00,39,1,loginwindow,General Utilities,0
2016-08-27T16:30:00,28,1,microsoft word,Writing,2
2016-08-27T16:30:00,3,1,eecs.mit.edu,General Reference & Learning,1
2016-08-27T16:30:00,2,1,architecture.mit.edu,General Reference & Learning,1
2016-08-27T16:35:00,202,1,my.mit.edu,General Reference & Learning,1
2016-08-27T16:35:00,91,1,microsoft word,Writing,2
2016-08-27T16:35:00,6,1,quickcounter,Uncategorized,0
2016-08-27T16:40:00,254,1,my.mit.edu,General Reference & Learning,1
2016-08-27T16:40:00,44,1,microsoft word,Writing,2
2016-08-27T16:40:00,2,1,quickcounter,Uncategorized,0
2016-08-27T16:45:00,75,1,my.mit.edu,General Reference & Learning,1
2016-08-27T16:45:00,47,1,microsoft word,Writing,2
2016-08-27T16:45:00,18,1,loginwindow,General Utilities,0
2016-08-27T16:50:00,12,1,Mail,Email,2
2016-08-27T16:50:00,9,1,Finder,General Utilities,0
2016-08-27T16:50:00,1,1,my.mit.edu,General Reference & Learning,1
2016-08-27T16:55:00,191,1,loginwindow,General Utilities,0
2016-08-27T17:25:00,11,1,Mail,Email,2
2016-08-27T17:25:00,10,1,microsoft word,Writing,2
2016-08-27T17:25:00,3,1,loginwindow,General Utilities,0
2016-08-27T20:10:00,36,1,microsoft word,Writing,2
2016-08-27T20:10:00,17,1,my.mit.edu,General Reference & Learning,1
2016-08-27T20:10:00,5,1,Mail,Email,2
2016-08-27T20:10:00,4,1,loginwindow,General Utilities,0
2016-08-27T20:15:00,267,1,microsoft word,Writing,2
2016-08-27T20:15:00,23,1,my.mit.edu,General Reference & Learning,1
2016-08-27T20:15:00,10,1,Mail,Email,2
2016-08-27T20:20:00,257,1,microsoft word,Writing,2
2016-08-27T20:20:00,22,1,my.mit.edu,General Reference & Learning,1
2016-08-27T20:20:00,13,1,image.baidu.com,Search,0
2016-08-27T20:20:00,4,1,baike.baidu.com,Search,0
2016-08-27T20:20:00,2,1,dusp.mit.edu,General Reference & Learning,1
2016-08-27T20:20:00,1,1,youtube.com,Video,-2
2016-08-27T20:25:00,241,1,microsoft word,Writing,2
2016-08-27T20:25:00,59,1,baike.baidu.com,Search,0
2016-08-27T20:30:00,300,1,microsoft word,Writing,2
2016-08-27T20:35:00,300,1,microsoft word,Writing,2
2016-08-27T20:40:00,183,1,microsoft word,Writing,2
2016-08-27T20:40:00,17,1,loginwindow,General Utilities,0
2016-08-27T20:50:00,130,1,united.com,Travel & Outdoors,-2
2016-08-27T20:50:00,12,1,en.wikipedia.org,General Reference & Learning,1
2016-08-27T20:50:00,2,1,microsoft word,Writing,2
2016-08-27T20:50:00,1,1,baike.baidu.com,Search,0
2016-08-27T20:55:00,299,1,united.com,Travel & Outdoors,-2
2016-08-27T20:55:00,1,1,Safari,Browsers,2
2016-08-27T21:00:00,256,1,united.com,Travel & Outdoors,-2
2016-08-27T21:00:00,17,1,loginwindow,General Utilities,0
2016-08-27T21:05:00,72,1,microsoft word,Writing,2
