Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-11-06T00:00:00,140,1,6004.mit.edu,Engineering & Technology,1
2018-11-06T00:00:00,118,1,wechat,General Social Networking,-2
2018-11-06T00:00:00,42,1,youtube.com,Video,-2
2018-11-06T00:05:00,223,1,youtube.com,Video,-2
2018-11-06T00:05:00,72,1,wechat,General Social Networking,-2
2018-11-06T00:05:00,5,1,messenger.com,General Social Networking,-2
2018-11-06T00:10:00,233,1,youtube.com,Video,-2
2018-11-06T00:10:00,67,1,wechat,General Social Networking,-2
2018-11-06T00:15:00,237,1,wechat,General Social Networking,-2
2018-11-06T00:15:00,63,1,youtube.com,Video,-2
2018-11-06T00:20:00,259,1,wechat,General Social Networking,-2
2018-11-06T00:20:00,41,1,youtube.com,Video,-2
2018-11-06T00:25:00,299,1,wechat,General Social Networking,-2
2018-11-06T00:25:00,1,1,youtube.com,Video,-2
2018-11-06T00:30:00,169,1,wechat,General Social Networking,-2
2018-11-06T00:30:00,101,1,youtube.com,Video,-2
2018-11-06T00:30:00,30,1,Mail,Email,2
2018-11-06T00:35:00,159,1,wechat,General Social Networking,-2
2018-11-06T00:35:00,139,1,youtube.com,Video,-2
2018-11-06T00:35:00,2,1,Mail,Email,2
2018-11-06T00:40:00,186,1,wechat,General Social Networking,-2
2018-11-06T00:40:00,114,1,youtube.com,Video,-2
2018-11-06T00:45:00,103,1,youtube.com,Video,-2
2018-11-06T00:45:00,100,1,messenger.com,General Social Networking,-2
2018-11-06T00:45:00,97,1,wechat,General Social Networking,-2
2018-11-06T00:50:00,157,1,wechat,General Social Networking,-2
2018-11-06T00:50:00,126,1,youtube.com,Video,-2
2018-11-06T00:50:00,17,1,messenger.com,General Social Networking,-2
2018-11-06T00:55:00,238,1,wechat,General Social Networking,-2
2018-11-06T00:55:00,24,1,messenger.com,General Social Networking,-2
2018-11-06T00:55:00,21,1,google.com,Search,2
2018-11-06T00:55:00,9,1,youtube.com,Video,-2
2018-11-06T00:55:00,7,1,Google Documents,Writing,2
2018-11-06T01:00:00,152,1,messenger.com,General Social Networking,-2
2018-11-06T01:00:00,138,1,wechat,General Social Networking,-2
2018-11-06T01:00:00,10,1,youtube.com,Video,-2
2018-11-06T01:05:00,249,1,messenger.com,General Social Networking,-2
2018-11-06T01:05:00,40,1,wechat,General Social Networking,-2
2018-11-06T01:05:00,11,1,calendar,Calendars,1
2018-11-06T01:10:00,258,1,messenger.com,General Social Networking,-2
2018-11-06T01:10:00,28,1,6004.mit.edu,Engineering & Technology,1
2018-11-06T01:10:00,8,1,facebook.com,General Social Networking,-2
2018-11-06T01:10:00,3,1,youtube.com,Video,-2
2018-11-06T01:10:00,2,1,Finder,General Utilities,0
2018-11-06T01:10:00,1,1,calendar,Calendars,1
2018-11-06T01:15:00,243,1,messenger.com,General Social Networking,-2
2018-11-06T01:15:00,57,1,6004.mit.edu,Engineering & Technology,1
2018-11-06T01:20:00,111,1,youtube.com,Video,-2
2018-11-06T01:20:00,93,1,6004.mit.edu,Engineering & Technology,1
2018-11-06T01:20:00,61,1,messenger.com,General Social Networking,-2
2018-11-06T01:20:00,34,1,Google Spreadsheets,General Business,2
2018-11-06T01:25:00,151,1,messenger.com,General Social Networking,-2
2018-11-06T01:25:00,149,1,youtube.com,Video,-2
2018-11-06T01:30:00,225,1,youtube.com,Video,-2
2018-11-06T01:30:00,75,1,messenger.com,General Social Networking,-2
2018-11-06T01:35:00,246,1,youtube.com,Video,-2
2018-11-06T01:35:00,54,1,messenger.com,General Social Networking,-2
2018-11-06T01:40:00,275,1,messenger.com,General Social Networking,-2
2018-11-06T01:40:00,25,1,facebook.com,General Social Networking,-2
2018-11-06T01:45:00,300,1,messenger.com,General Social Networking,-2
2018-11-06T01:50:00,147,1,drive.google.com,General Business,2
2018-11-06T01:50:00,90,1,messenger.com,General Social Networking,-2
2018-11-06T01:50:00,38,1,microsoft word,Writing,2
2018-11-06T01:50:00,12,1,Finder,General Utilities,0
2018-11-06T01:50:00,3,1,l.messenger.com,Instant Message,-1
2018-11-06T01:50:00,2,1,google.com,Search,2
2018-11-06T01:55:00,253,1,messenger.com,General Social Networking,-2
2018-11-06T01:55:00,46,1,Finder,General Utilities,0
2018-11-06T02:00:00,149,1,messenger.com,General Social Networking,-2
2018-11-06T02:00:00,143,1,Finder,General Utilities,0
2018-11-06T02:00:00,7,1,microsoft word,Writing,2
2018-11-06T02:05:00,41,1,messenger.com,General Social Networking,-2
2018-11-06T02:05:00,24,1,microsoft word,Writing,2
2018-11-06T02:05:00,9,1,google.com,Search,2
2018-11-06T02:05:00,3,1,Google Spreadsheets,General Business,2
2018-11-06T02:05:00,3,1,loginwindow,General Utilities,0
2018-11-06T02:05:00,2,1,MS Excel,General Business,2
2018-11-06T02:05:00,2,1,newtab,Browsers,0
2018-11-06T02:05:00,1,1,backup and sync from google,Uncategorized,0
2018-11-06T12:55:00,191,1,facebook.com,General Social Networking,-2
2018-11-06T12:55:00,31,1,Finder,General Utilities,0
2018-11-06T12:55:00,10,1,archive utility,General Utilities,1
2018-11-06T12:55:00,9,1,messenger.com,General Social Networking,-2
2018-11-06T12:55:00,7,1,messages,General Social Networking,-2
2018-11-06T12:55:00,6,1,6004.mit.edu,Engineering & Technology,1
2018-11-06T12:55:00,5,1,wechat,General Social Networking,-2
2018-11-06T12:55:00,4,1,sublime text,Editing & IDEs,2
2018-11-06T13:00:00,283,1,Terminal,Systems Operations,2
2018-11-06T13:00:00,9,1,sublime text,Editing & IDEs,2
2018-11-06T13:00:00,7,1,Finder,General Utilities,0
2018-11-06T13:05:00,131,1,Terminal,Systems Operations,2
2018-11-06T13:05:00,2,1,loginwindow,General Utilities,0
2018-11-06T13:10:00,156,1,Terminal,Systems Operations,2
2018-11-06T13:10:00,91,1,Finder,General Utilities,0
2018-11-06T13:10:00,53,1,facebook.com,General Social Networking,-2
2018-11-06T13:15:00,151,1,wechat,General Social Networking,-2
2018-11-06T13:15:00,93,1,Finder,General Utilities,0
2018-11-06T13:15:00,38,1,facebook.com,General Social Networking,-2
2018-11-06T13:15:00,8,1,calendar,Calendars,1
2018-11-06T13:15:00,5,1,archive utility,General Utilities,1
2018-11-06T13:15:00,4,1,Mail,Email,2
2018-11-06T13:15:00,1,1,youtube.com,Video,-2
2018-11-06T13:20:00,299,1,Mail,Email,2
2018-11-06T13:25:00,190,1,facebook.com,General Social Networking,-2
2018-11-06T13:25:00,68,1,Terminal,Systems Operations,2
2018-11-06T13:25:00,41,1,Mail,Email,2
2018-11-06T13:25:00,1,1,calendar,Calendars,1
2018-11-06T13:30:00,111,1,facebook.com,General Social Networking,-2
2018-11-06T13:30:00,98,1,Mail,Email,2
2018-11-06T13:30:00,53,1,messenger.com,General Social Networking,-2
2018-11-06T13:30:00,29,1,calendar,Calendars,1
