Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2016-08-02T00:00:00,300,1,microsoft word,Writing,2
2016-08-02T00:05:00,25,1,microsoft word,Writing,2
2016-08-02T00:15:00,6,1,loginwindow,General Utilities,0
2016-08-02T00:20:00,10,1,loginwindow,General Utilities,0
2016-08-02T01:05:00,170,1,owa.partners.org,Email,0
2016-08-02T01:05:00,14,1,en.wikipedia.org,General Reference & Learning,1
2016-08-02T01:05:00,2,1,microsoft word,Writing,2
2016-08-02T01:10:00,65,1,owa.partners.org,Email,0
2016-08-02T01:10:00,17,1,loginwindow,General Utilities,0
2016-08-02T12:55:00,207,1,microsoft word,Writing,2
2016-08-02T12:55:00,3,1,eaptlstrust,General Utilities,1
2016-08-02T12:55:00,2,1,owa.partners.org,Email,0
2016-08-02T12:55:00,2,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T13:00:00,277,1,microsoft word,Writing,2
2016-08-02T13:00:00,23,1,Notes,Email,0
2016-08-02T13:05:00,178,1,microsoft word,Writing,2
2016-08-02T13:05:00,92,1,matlab,General Software Development,2
2016-08-02T13:05:00,30,1,Skype,General Social Networking,-2
2016-08-02T13:10:00,242,1,microsoft word,Writing,2
2016-08-02T13:10:00,42,1,matlab,General Software Development,2
2016-08-02T13:10:00,16,1,Finder,General Utilities,0
2016-08-02T13:15:00,182,1,matlab,General Software Development,2
2016-08-02T13:15:00,118,1,microsoft word,Writing,2
2016-08-02T13:20:00,17,1,loginwindow,General Utilities,0
2016-08-02T13:20:00,8,1,microsoft word,Writing,2
2016-08-02T21:10:00,107,1,microsoft word,Writing,2
2016-08-02T21:15:00,163,1,microsoft word,Writing,2
2016-08-02T21:15:00,117,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T21:15:00,15,1,my.mit.edu,General Reference & Learning,1
2016-08-02T21:15:00,3,1,Safari,Browsers,2
2016-08-02T21:15:00,2,1,matlab,General Software Development,2
2016-08-02T21:20:00,274,1,microsoft word,Writing,2
2016-08-02T21:20:00,12,1,appsupport.commonapp.org,General Reference & Learning,1
2016-08-02T21:20:00,11,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T21:20:00,3,1,Safari,Browsers,2
2016-08-02T21:25:00,229,1,microsoft word,Writing,2
2016-08-02T21:25:00,51,1,Finder,General Utilities,0
2016-08-02T21:40:00,44,1,microsoft word,Writing,2
2016-08-02T21:40:00,5,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T21:45:00,170,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T21:45:00,119,1,microsoft word,Writing,2
2016-08-02T21:45:00,9,1,appsupport.commonapp.org,General Reference & Learning,1
2016-08-02T21:45:00,1,1,sso.parature.com,General Business,2
2016-08-02T21:45:00,1,1,Safari,Browsers,2
2016-08-02T21:50:00,293,1,microsoft word,Writing,2
2016-08-02T21:50:00,7,1,Dictionary,General Reference & Learning,1
2016-08-02T21:55:00,291,1,microsoft word,Writing,2
2016-08-02T21:55:00,8,1,Dictionary,General Reference & Learning,1
2016-08-02T22:00:00,316,1,microsoft word,Writing,2
2016-08-02T22:00:00,56,1,loginwindow,General Utilities,0
2016-08-02T22:00:00,2,1,RescueTime,Intelligence,0
2016-08-02T22:00:00,2,1,Dictionary,General Reference & Learning,1
2016-08-02T22:00:00,2,1,MS Excel,General Business,2
2016-08-02T22:05:00,292,1,microsoft word,Writing,2
2016-08-02T22:05:00,11,1,loginwindow,General Utilities,0
2016-08-02T22:05:00,8,1,Dictionary,General Reference & Learning,1
2016-08-02T22:10:00,300,1,microsoft word,Writing,2
2016-08-02T22:15:00,291,1,microsoft word,Writing,2
2016-08-02T22:15:00,9,1,Dictionary,General Reference & Learning,1
2016-08-02T22:20:00,300,1,microsoft word,Writing,2
2016-08-02T22:25:00,291,1,microsoft word,Writing,2
2016-08-02T22:25:00,9,1,Dictionary,General Reference & Learning,1
2016-08-02T22:30:00,300,1,microsoft word,Writing,2
2016-08-02T22:35:00,300,1,microsoft word,Writing,2
2016-08-02T22:40:00,300,1,microsoft word,Writing,2
2016-08-02T22:45:00,254,1,microsoft word,Writing,2
2016-08-02T22:45:00,45,1,Mail,Email,2
2016-08-02T22:50:00,17,1,Mail,Email,2
2016-08-02T22:55:00,126,1,Mail,Email,2
2016-08-02T22:55:00,24,1,support.google.com,General News & Opinion,2
2016-08-02T22:55:00,15,1,google.com,Search,2
2016-08-02T22:55:00,5,1,Safari,Browsers,2
2016-08-02T22:55:00,3,1,applications,General Business,2
2016-08-02T22:55:00,1,1,apply.commonapp.org,General Reference & Learning,1
2016-08-02T22:55:00,1,1,my.mit.edu,General Reference & Learning,1
2016-08-02T23:00:00,40,1,microsoft word,Writing,2
2016-08-02T23:00:00,8,1,translate.google.com,Search,1
2016-08-02T23:00:00,2,1,deerfield.edu,General Reference & Learning,1
2016-08-02T23:05:00,86,1,microsoft word,Writing,2
2016-08-02T23:05:00,36,1,Mail,Email,2
2016-08-02T23:30:00,189,1,microsoft word,Writing,2
2016-08-02T23:30:00,92,1,matlab,General Software Development,2
2016-08-02T23:35:00,245,1,matlab,General Software Development,2
2016-08-02T23:35:00,26,1,microsoft word,Writing,2
2016-08-02T23:40:00,300,1,matlab,General Software Development,2
2016-08-02T23:45:00,291,1,matlab,General Software Development,2
2016-08-02T23:50:00,269,1,matlab,General Software Development,2
2016-08-02T23:50:00,27,1,Skype,General Social Networking,-2
2016-08-02T23:55:00,142,1,matlab,General Software Development,2
2016-08-02T23:55:00,23,1,microsoft word,Writing,2
2016-08-02T23:55:00,18,1,Skype,General Social Networking,-2
