Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-06-21T10:30:00,82,1,map.baidu.com,Maps & Regional,-2
2018-06-21T10:30:00,49,1,en.wikipedia.org,General Reference & Learning,1
2018-06-21T10:30:00,11,1,gaoloumi.com,Regional,-2
2018-06-21T10:30:00,8,1,messages,General Social Networking,-2
2018-06-21T10:30:00,7,1,Skype,General Social Networking,-2
2018-06-21T10:30:00,3,1,loginwindow,General Utilities,0
2018-06-21T10:35:00,184,1,map.baidu.com,Maps & Regional,-2
2018-06-21T10:35:00,74,1,skyscrapercenter.com,General Reference & Learning,-2
2018-06-21T10:35:00,25,1,gaoloumi.com,Regional,-2
2018-06-21T10:35:00,17,1,wechat,General Social Networking,-2
2018-06-21T10:40:00,182,1,skyscrapercenter.com,General Reference & Learning,-2
2018-06-21T10:40:00,33,1,baike.baidu.com,Search,0
2018-06-21T10:40:00,25,1,Slack,Instant Message,2
2018-06-21T10:40:00,19,1,map.baidu.com,Maps & Regional,-2
2018-06-21T10:40:00,10,1,qa02.needham:9090,Uncategorized,0
2018-06-21T10:40:00,6,1,thebeijinger.com,General News & Opinion,-2
2018-06-21T10:40:00,6,1,Activity Monitor,General Utilities,0
2018-06-21T10:40:00,3,1,qa02.needham:9093,Uncategorized,0
2018-06-21T10:40:00,3,1,Safari,Browsers,2
2018-06-21T10:40:00,3,1,ditiezu.com,Uncategorized,0
2018-06-21T10:40:00,2,1,prometheus.io,General Software Development,2
2018-06-21T10:40:00,1,1,en.wikipedia.org,General Reference & Learning,1
2018-06-21T10:40:00,1,1,messenger.com,General Social Networking,-2
2018-06-21T10:40:00,1,1,google.com,Search,2
2018-06-21T10:40:00,1,1,gaoloumi.com,Regional,-2
2018-06-21T10:40:00,1,1,studentlife.mit.edu,General Communication & Scheduling,0
2018-06-21T10:40:00,1,1,Google Documents,Writing,2
2018-06-21T10:40:00,1,1,fubo.tv,General Entertainment,-2
2018-06-21T10:40:00,1,1,Skype,General Social Networking,-2
2018-06-21T10:45:00,142,1,baike.baidu.com,Search,0
2018-06-21T10:45:00,141,1,gss1.bdstatic.com,Uncategorized,0
2018-06-21T10:45:00,13,1,Safari,Browsers,2
2018-06-21T10:45:00,2,1,google.com,Search,2
2018-06-21T10:45:00,1,1,qa02.needham:9090,Uncategorized,0
2018-06-21T10:45:00,1,1,Google Documents,Writing,2
2018-06-21T10:50:00,184,1,gss1.bdstatic.com,Uncategorized,0
2018-06-21T10:50:00,57,1,ditiezu.com,Uncategorized,0
2018-06-21T10:50:00,25,1,Finder,General Utilities,0
2018-06-21T10:50:00,17,1,Safari,Browsers,2
2018-06-21T10:50:00,8,1,img.ditiezu.com,Uncategorized,0
2018-06-21T10:50:00,6,1,Slack,Instant Message,2
2018-06-21T10:50:00,2,1,qa02.needham:9090,Uncategorized,0
2018-06-21T10:55:00,182,1,gss1.bdstatic.com,Uncategorized,0
2018-06-21T10:55:00,89,1,map.baidu.com,Maps & Regional,-2
2018-06-21T10:55:00,19,1,img.ditiezu.com,Uncategorized,0
2018-06-21T10:55:00,6,1,Slack,Instant Message,2
2018-06-21T10:55:00,3,1,baike.baidu.com,Search,0
2018-06-21T11:00:00,194,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:00:00,45,1,ditiezu.com,Uncategorized,0
2018-06-21T11:00:00,31,1,Slack,Instant Message,2
2018-06-21T11:00:00,30,1,img.ditiezu.com,Uncategorized,0
2018-06-21T11:05:00,252,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:05:00,48,1,Slack,Instant Message,2
2018-06-21T11:10:00,241,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:10:00,46,1,img.ditiezu.com,Uncategorized,0
2018-06-21T11:10:00,11,1,Skype,General Social Networking,-2
2018-06-21T11:10:00,1,1,Activity Monitor,General Utilities,0
2018-06-21T11:10:00,1,1,xquartz,Editing & IDEs,2
2018-06-21T11:15:00,212,1,Notes,Email,0
2018-06-21T11:15:00,78,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:15:00,8,1,Skype,General Social Networking,-2
2018-06-21T11:15:00,1,1,Activity Monitor,General Utilities,0
2018-06-21T11:15:00,1,1,img.ditiezu.com,Uncategorized,0
2018-06-21T11:20:00,154,1,Skype,General Social Networking,-2
2018-06-21T11:20:00,78,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:20:00,55,1,Terminal,Systems Operations,2
2018-06-21T11:20:00,7,1,Activity Monitor,General Utilities,0
2018-06-21T11:20:00,5,1,Slack,Instant Message,2
2018-06-21T11:20:00,1,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:25:00,198,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:25:00,96,1,Terminal,Systems Operations,2
2018-06-21T11:25:00,3,1,xquartz,Editing & IDEs,2
2018-06-21T11:25:00,3,1,usernotificationcenter,General Utilities,0
2018-06-21T11:30:00,144,1,Terminal,Systems Operations,2
2018-06-21T11:30:00,79,1,xquartz,Editing & IDEs,2
2018-06-21T11:30:00,49,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:30:00,25,1,safari-resource:,Browsers,0
2018-06-21T11:30:00,2,1,Notes,Email,0
2018-06-21T11:35:00,267,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:35:00,28,1,Terminal,Systems Operations,2
2018-06-21T11:35:00,5,1,Safari,Browsers,2
2018-06-21T11:40:00,155,1,xquartz,Editing & IDEs,2
2018-06-21T11:40:00,97,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:40:00,45,1,Terminal,Systems Operations,2
2018-06-21T11:40:00,3,1,map.baidu.com,Maps & Regional,-2
2018-06-21T11:45:00,141,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:45:00,102,1,Terminal,Systems Operations,2
2018-06-21T11:45:00,47,1,qa02.needham:8882,Uncategorized,0
2018-06-21T11:45:00,10,1,Safari,Browsers,2
2018-06-21T11:50:00,134,1,xquartz,Editing & IDEs,2
2018-06-21T11:50:00,92,1,qa02.needham:9090,Uncategorized,0
2018-06-21T11:50:00,58,1,Terminal,Systems Operations,2
2018-06-21T11:50:00,16,1,qa02.needham:8882,Uncategorized,0
2018-06-21T11:55:00,222,1,qa02.needham:9090,Uncategorized,0
