Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2013-04-02T10:20:00,166,1,pog.com,Games,-2
2013-04-02T10:25:00,267,1,pog.com,Games,-2
2013-04-02T10:25:00,33,1,Skype,General Social Networking,-2
2013-04-02T10:30:00,179,1,Skype,General Social Networking,-2
2013-04-02T10:30:00,111,1,microsoft word,Writing,2
2013-04-02T10:30:00,5,1,pog.com,Games,-2
2013-04-02T10:35:00,134,1,microsoft word,Writing,2
2013-04-02T10:35:00,58,1,pog.com,Games,-2
2013-04-02T10:35:00,12,1,Skype,General Social Networking,-2
2013-04-02T10:40:00,215,1,pog.com,Games,-2
2013-04-02T10:40:00,5,1,microsoft word,Writing,2
2013-04-02T10:40:00,3,1,Skype,General Social Networking,-2
2013-04-02T10:55:00,21,1,pog.com,Games,-2
2013-04-02T10:55:00,3,1,microsoft word,Writing,2
2013-04-02T11:10:00,2,1,usernotificationcenter,General Utilities,0
2013-04-02T11:15:00,63,1,Skype,General Social Networking,-2
2013-04-02T11:20:00,185,1,Skype,General Social Networking,-2
2013-04-02T11:20:00,43,1,Finder,General Utilities,0
2013-04-02T15:10:00,51,1,usernotificationcenter,General Utilities,0
2013-04-02T21:20:00,2,1,Finder,General Utilities,0
2013-04-02T21:25:00,88,1,Finder,General Utilities,0
2013-04-02T21:25:00,43,1,microsoft word,Writing,2
2013-04-02T21:50:00,41,1,microsoft word,Writing,2
2013-04-02T22:05:00,129,1,microsoft word,Writing,2
2013-04-02T22:10:00,119,1,microsoft word,Writing,2
2013-04-02T22:35:00,3,1,usernotificationcenter,General Utilities,0
2013-04-02T22:40:00,241,1,microsoft word,Writing,2
2013-04-02T22:40:00,55,1,newtab,Browsers,0
2013-04-02T22:40:00,3,1,pog.com,Games,-2
2013-04-02T22:40:00,1,1,usernotificationcenter,General Utilities,0
2013-04-02T22:45:00,164,1,newtab,Browsers,0
2013-04-02T22:45:00,123,1,microsoft word,Writing,2
2013-04-02T22:45:00,13,1,usernotificationcenter,General Utilities,0
2013-04-02T22:50:00,298,1,microsoft word,Writing,2
2013-04-02T22:50:00,2,1,usernotificationcenter,General Utilities,0
2013-04-02T22:55:00,300,1,microsoft word,Writing,2
2013-04-02T23:00:00,300,1,microsoft word,Writing,2
2013-04-02T23:05:00,300,1,microsoft word,Writing,2
2013-04-02T23:10:00,300,1,microsoft word,Writing,2
2013-04-02T23:15:00,229,1,microsoft word,Writing,2
