Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-05-07T13:00:00,23,1,microsoft word,Writing,2
2019-05-07T13:00:00,16,1,Finder,General Utilities,0
2019-05-07T13:00:00,5,1,printerproxy,General Business,2
2019-05-07T13:00:00,3,1,popup,Uncategorized,0
2019-05-07T13:00:00,2,1,bw-mit-pharos,Uncategorized,0
2019-05-07T13:00:00,1,1,loginwindow,General Utilities,0
2019-05-07T13:10:00,160,1,reuters.com,General News & Opinion,-2
2019-05-07T13:10:00,26,1,messenger.com,General Social Networking,-2
2019-05-07T13:10:00,23,1,google.com,Search,2
2019-05-07T13:10:00,19,1,wsj.com,General News & Opinion,-2
2019-05-07T13:10:00,8,1,9to5mac.com,General News & Opinion,-2
2019-05-07T13:10:00,3,1,web.mit.edu,General Reference & Learning,2
2019-05-07T13:10:00,2,1,bw-mit-pharos,Uncategorized,0
2019-05-07T13:10:00,2,1,loginwindow,General Utilities,0
2019-05-07T13:10:00,1,1,6033.scripts.mit.edu:444,Uncategorized,0
2019-05-07T13:15:00,158,1,Preview,General Reference & Learning,2
2019-05-07T13:15:00,93,1,messenger.com,General Social Networking,-2
2019-05-07T13:15:00,36,1,reuters.com,General News & Opinion,-2
2019-05-07T13:15:00,8,1,Google Presentations,Presentation,2
2019-05-07T13:15:00,5,1,wechat,General Social Networking,-2
2019-05-07T13:20:00,103,1,rescuetime.com,Intelligence,0
2019-05-07T13:20:00,45,1,messenger.com,General Social Networking,-2
2019-05-07T13:20:00,38,1,cnn.com,General News & Opinion,2
2019-05-07T13:20:00,27,1,reuters.com,General News & Opinion,-2
2019-05-07T13:20:00,21,1,google.com,Search,2
2019-05-07T13:20:00,21,1,calendar,Calendars,1
2019-05-07T13:20:00,18,1,Preview,General Reference & Learning,2
2019-05-07T13:20:00,11,1,6033.scripts.mit.edu:444,Uncategorized,0
2019-05-07T13:20:00,3,1,microsoft word,Writing,2
2019-05-07T13:20:00,3,1,users,General Software Development,2
2019-05-07T13:20:00,2,1,seclab.cs.ucsb.edu,General Reference & Learning,1
2019-05-07T13:20:00,2,1,nytimes.com,General News & Opinion,-2
2019-05-07T13:20:00,2,1,mit.edu,Presentation,2
2019-05-07T13:20:00,1,1,9to5mac.com,General News & Opinion,-2
2019-05-07T13:25:00,180,1,nytimes.com,General News & Opinion,-2
2019-05-07T13:25:00,118,1,rescuetime.com,Intelligence,0
2019-05-07T13:25:00,2,1,google.com,Search,2
2019-05-07T13:30:00,144,1,rescuetime.com,Intelligence,0
2019-05-07T13:30:00,136,1,messenger.com,General Social Networking,-2
2019-05-07T13:30:00,20,1,wechat,General Social Networking,-2
2019-05-07T13:35:00,178,1,nationalinterest.org,General News & Opinion,-2
2019-05-07T13:35:00,85,1,messenger.com,General Social Networking,-2
2019-05-07T13:35:00,30,1,rescuetime.com,Intelligence,0
2019-05-07T13:35:00,6,1,google.com,Search,2
2019-05-07T13:40:00,80,1,google.com,Search,2
2019-05-07T13:40:00,72,1,wxyz.com,General News & Opinion,-2
2019-05-07T13:40:00,65,1,nationalreview.com,General News & Opinion,-2
2019-05-07T13:40:00,50,1,messenger.com,General Social Networking,-2
2019-05-07T13:40:00,33,1,cnn.com,General News & Opinion,2
2019-05-07T13:45:00,146,1,messenger.com,General Social Networking,-2
2019-05-07T13:45:00,118,1,spacenews.com,Science & Technology,-1
2019-05-07T13:45:00,21,1,google.com,Search,2
2019-05-07T13:45:00,14,1,wxyz.com,General News & Opinion,-2
2019-05-07T13:45:00,1,1,wechat,General Social Networking,-2
2019-05-07T13:50:00,146,1,youtube.com,Video,-2
2019-05-07T13:50:00,92,1,messenger.com,General Social Networking,-2
2019-05-07T13:50:00,36,1,google.com,Search,2
2019-05-07T13:50:00,26,1,spacenews.com,Science & Technology,-1
2019-05-07T13:55:00,195,1,messenger.com,General Social Networking,-2
2019-05-07T13:55:00,45,1,calendar,Calendars,1
2019-05-07T13:55:00,38,1,Mail,Email,2
2019-05-07T13:55:00,2,1,loginwindow,General Utilities,0
2019-05-07T14:00:00,143,1,messenger.com,General Social Networking,-2
2019-05-07T14:00:00,112,1,youtube.com,Video,-2
2019-05-07T14:00:00,37,1,goldstar.com,General Entertainment,-2
2019-05-07T14:05:00,264,1,youtube.com,Video,-2
2019-05-07T14:05:00,36,1,messenger.com,General Social Networking,-2
2019-05-07T14:10:00,287,1,youtube.com,Video,-2
2019-05-07T14:10:00,13,1,messenger.com,General Social Networking,-2
2019-05-07T14:15:00,300,1,youtube.com,Video,-2
2019-05-07T14:20:00,300,1,youtube.com,Video,-2
2019-05-07T14:25:00,34,1,youtube.com,Video,-2
2019-05-07T14:25:00,1,1,loginwindow,General Utilities,0
2019-05-07T17:10:00,134,1,Mail,Email,2
2019-05-07T17:10:00,20,1,messenger.com,General Social Networking,-2
2019-05-07T17:10:00,15,1,youtube.com,Video,-2
2019-05-07T17:10:00,6,1,Terminal,Systems Operations,2
2019-05-07T17:10:00,3,1,eclipse,Editing & IDEs,2
2019-05-07T17:10:00,3,1,loginwindow,General Utilities,0
2019-05-07T17:10:00,2,1,goldstar.com,General Entertainment,-2
2019-05-07T18:05:00,109,1,Terminal,Systems Operations,2
2019-05-07T18:05:00,55,1,eclipse,Editing & IDEs,2
2019-05-07T18:05:00,44,1,messenger.com,General Social Networking,-2
2019-05-07T18:05:00,37,1,Google Documents,Writing,2
2019-05-07T18:05:00,29,1,Mail,Email,2
2019-05-07T18:05:00,7,1,rescuetime.com,Intelligence,0
2019-05-07T18:05:00,3,1,youtube.com,Video,-2
2019-05-07T18:05:00,2,1,wechat,General Social Networking,-2
2019-05-07T18:05:00,1,1,goldstar.com,General Entertainment,-2
2019-05-07T18:05:00,1,1,loginwindow,General Utilities,0
2019-05-07T18:10:00,299,1,eclipse,Editing & IDEs,2
2019-05-07T18:15:00,290,1,eclipse,Editing & IDEs,2
2019-05-07T18:15:00,9,1,Google Documents,Writing,2
2019-05-07T18:15:00,1,1,Terminal,Systems Operations,2
2019-05-07T18:20:00,279,1,eclipse,Editing & IDEs,2
2019-05-07T18:20:00,20,1,Google Documents,Writing,2
2019-05-07T18:25:00,300,1,eclipse,Editing & IDEs,2
2019-05-07T18:30:00,213,1,eclipse,Editing & IDEs,2
2019-05-07T18:30:00,34,1,Terminal,Systems Operations,2
2019-05-07T18:30:00,16,1,tutorialspoint.com,General Reference & Learning,1
2019-05-07T18:30:00,14,1,messenger.com,General Social Networking,-2
2019-05-07T18:30:00,9,1,Google Documents,Writing,2
2019-05-07T18:30:00,6,1,wechat,General Social Networking,-2
2019-05-07T18:30:00,3,1,google.com,Search,2
2019-05-07T18:30:00,3,1,newtab,Browsers,0
2019-05-07T18:30:00,1,1,goldstar.com,General Entertainment,-2
2019-05-07T18:35:00,138,1,eclipse,Editing & IDEs,2
2019-05-07T18:35:00,117,1,Terminal,Systems Operations,2
2019-05-07T18:35:00,44,1,messenger.com,General Social Networking,-2
2019-05-07T18:40:00,190,1,eclipse,Editing & IDEs,2
2019-05-07T18:40:00,1,1,loginwindow,General Utilities,0
2019-05-07T18:50:00,246,1,microsoft word,Writing,2
2019-05-07T18:50:00,7,1,eclipse,Editing & IDEs,2
2019-05-07T18:50:00,3,1,messenger.com,General Social Networking,-2
2019-05-07T18:50:00,1,1,loginwindow,General Utilities,0
2019-05-07T18:50:00,1,1,Terminal,Systems Operations,2
