Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2014-07-16T00:00:00,79,1,wechat,General Social Networking,-2
2014-07-16T00:00:00,11,1,Skype,General Social Networking,-2
2014-07-16T00:05:00,166,1,wechat,General Social Networking,-2
2014-07-16T00:05:00,60,1,Finder,General Utilities,0
2014-07-16T00:05:00,52,1,Mail,Email,2
2014-07-16T00:05:00,18,1,Skype,General Social Networking,-2
2014-07-16T00:05:00,2,1,problem reporter,General News & Opinion,-2
2014-07-16T00:10:00,276,1,Finder,General Utilities,0
2014-07-16T00:10:00,24,1,wechat,General Social Networking,-2
2014-07-16T00:15:00,100,1,wechat,General Social Networking,-2
2014-07-16T00:15:00,80,1,Finder,General Utilities,0
2014-07-16T00:15:00,65,1,google chrome,Browsers,0
2014-07-16T00:15:00,24,1,Skype,General Social Networking,-2
2014-07-16T00:15:00,23,1,facebook.com,General Social Networking,-2
2014-07-16T00:15:00,5,1,developer.apple.com,Engineering & Technology,1
2014-07-16T00:15:00,3,1,creator.zoho.com,General Software Development,2
2014-07-16T00:20:00,193,1,wechat,General Social Networking,-2
2014-07-16T00:20:00,106,1,facebook.com,General Social Networking,-2
2014-07-16T00:20:00,1,1,developer.apple.com,Engineering & Technology,1
2014-07-16T00:25:00,265,1,wechat,General Social Networking,-2
2014-07-16T00:25:00,35,1,facebook.com,General Social Networking,-2
2014-07-16T00:30:00,300,1,wechat,General Social Networking,-2
2014-07-16T00:35:00,300,1,wechat,General Social Networking,-2
2014-07-16T00:40:00,300,1,wechat,General Social Networking,-2
2014-07-16T00:45:00,139,1,wechat,General Social Networking,-2
2014-07-16T13:15:00,147,1,google.com,Search,2
2014-07-16T13:15:00,3,1,rescuetime.com,Intelligence,0
2014-07-16T13:20:00,149,1,google.com,Search,2
2014-07-16T17:30:00,127,1,messages,General Social Networking,-2
2014-07-16T17:30:00,90,1,facebook.com,General Social Networking,-2
2014-07-16T17:30:00,14,1,Skype,General Social Networking,-2
2014-07-16T17:30:00,10,1,wechat,General Social Networking,-2
2014-07-16T17:30:00,4,1,Dropbox,File Sharing,-2
2014-07-16T17:30:00,3,1,google.com,Search,2
2014-07-16T17:35:00,211,1,messages,General Social Networking,-2
2014-07-16T17:35:00,89,1,wechat,General Social Networking,-2
2014-07-16T17:40:00,300,1,messages,General Social Networking,-2
2014-07-16T17:45:00,133,1,messages,General Social Networking,-2
2014-07-16T17:45:00,38,1,facebook.com,General Social Networking,-2
2014-07-16T20:55:00,7,1,facebook.com,General Social Networking,-2
2014-07-16T20:55:00,3,1,Skype,General Social Networking,-2
2014-07-16T21:20:00,130,1,messages,General Social Networking,-2
2014-07-16T21:25:00,300,1,messages,General Social Networking,-2
2014-07-16T21:30:00,167,1,Skype,General Social Networking,-2
2014-07-16T21:30:00,133,1,messages,General Social Networking,-2
2014-07-16T21:35:00,127,1,Skype,General Social Networking,-2
2014-07-16T21:45:00,54,1,Mail,Email,2
2014-07-16T21:50:00,30,1,Mail,Email,2
2014-07-16T22:00:00,54,1,Skype,General Social Networking,-2
2014-07-16T22:05:00,267,1,google chrome,Browsers,0
2014-07-16T22:05:00,33,1,Skype,General Social Networking,-2
2014-07-16T22:10:00,262,1,google chrome,Browsers,0
2014-07-16T22:10:00,38,1,messages,General Social Networking,-2
2014-07-16T22:15:00,261,1,google chrome,Browsers,0
2014-07-16T22:15:00,27,1,messages,General Social Networking,-2
2014-07-16T22:15:00,8,1,contacts,Customer Relations,2
2014-07-16T22:15:00,4,1,Mail,Email,2
2014-07-16T22:20:00,299,1,google chrome,Browsers,0
2014-07-16T22:20:00,1,1,Skype,General Social Networking,-2
2014-07-16T22:25:00,300,1,google chrome,Browsers,0
2014-07-16T22:30:00,300,1,google chrome,Browsers,0
2014-07-16T22:35:00,300,1,google chrome,Browsers,0
2014-07-16T22:40:00,296,1,google chrome,Browsers,0
2014-07-16T22:40:00,4,1,Skype,General Social Networking,-2
2014-07-16T22:45:00,6,1,Skype,General Social Networking,-2
2014-07-16T23:10:00,236,1,Skype,General Social Networking,-2
2014-07-16T23:10:00,57,1,wechat,General Social Networking,-2
2014-07-16T23:15:00,149,1,wechat,General Social Networking,-2
2014-07-16T23:50:00,25,1,messages,General Social Networking,-2
2014-07-16T23:50:00,16,1,wechat,General Social Networking,-2
2014-07-16T23:50:00,12,1,Skype,General Social Networking,-2
2014-07-16T23:55:00,74,1,Skype,General Social Networking,-2
2014-07-16T23:55:00,29,1,iTunes,Music,0
2014-07-16T23:55:00,15,1,Activity Monitor,General Utilities,0
2014-07-16T23:55:00,2,1,Mail,Email,2
