Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2016-02-16T00:00:00,161,1,facebook.com,General Social Networking,-2
2016-02-16T00:00:00,135,1,Skype,General Social Networking,-2
2016-02-16T00:00:00,4,1,facetime,Voice Chat,-2
2016-02-16T00:05:00,192,1,facebook.com,General Social Networking,-2
2016-02-16T00:05:00,100,1,Skype,General Social Networking,-2
2016-02-16T00:05:00,2,1,youtube.com,Video,-2
2016-02-16T00:10:00,240,1,Skype,General Social Networking,-2
2016-02-16T00:10:00,49,1,facebook.com,General Social Networking,-2
2016-02-16T00:10:00,3,1,google drive,General Business,2
2016-02-16T00:10:00,2,1,creative cloud,General Design & Composition,2
2016-02-16T00:15:00,226,1,facebook.com,General Social Networking,-2
2016-02-16T00:15:00,71,1,Skype,General Social Networking,-2
2016-02-16T00:15:00,3,1,Mail,Email,2
2016-02-16T00:20:00,152,1,facebook.com,General Social Networking,-2
2016-02-16T00:20:00,59,1,1624.formovietickets.com:2235,Uncategorized,0
2016-02-16T00:20:00,55,1,gardencinemas.net,Uncategorized,0
2016-02-16T00:20:00,17,1,Safari,Browsers,2
2016-02-16T00:20:00,15,1,secure.bankofamerica.com,Accounting,2
2016-02-16T00:20:00,2,1,bankofamerica.com,General Business,2
2016-02-16T00:25:00,224,1,1624.formovietickets.com:2235,Uncategorized,0
2016-02-16T00:25:00,32,1,gardencinemas.net,Uncategorized,0
2016-02-16T00:25:00,24,1,Skype,General Social Networking,-2
2016-02-16T00:25:00,17,1,Finder,General Utilities,0
2016-02-16T00:25:00,3,1,secure.bankofamerica.com,Accounting,2
2016-02-16T00:30:00,153,1,facebook.com,General Social Networking,-2
2016-02-16T00:30:00,130,1,Skype,General Social Networking,-2
2016-02-16T00:30:00,7,1,adobe premiere pro cc 2015,Video Editing,2
2016-02-16T00:30:00,6,1,gardencinemas.net,Uncategorized,0
2016-02-16T00:30:00,4,1,messages,General Social Networking,-2
2016-02-16T00:35:00,187,1,youtube.com,Video,-2
2016-02-16T00:35:00,104,1,facebook.com,General Social Networking,-2
2016-02-16T00:35:00,7,1,Skype,General Social Networking,-2
2016-02-16T00:40:00,163,1,facebook.com,General Social Networking,-2
2016-02-16T00:40:00,136,1,youtube.com,Video,-2
2016-02-16T00:40:00,1,1,Skype,General Social Networking,-2
2016-02-16T00:45:00,298,1,facebook.com,General Social Networking,-2
2016-02-16T00:50:00,297,1,facebook.com,General Social Networking,-2
2016-02-16T00:50:00,2,1,google.com,Search,2
2016-02-16T00:55:00,259,1,facebook.com,General Social Networking,-2
2016-02-16T01:00:00,125,1,Skype,General Social Networking,-2
2016-02-16T01:00:00,119,1,facebook.com,General Social Networking,-2
2016-02-16T01:30:00,44,1,loginwindow,General Utilities,0
2016-02-16T01:30:00,4,1,Skype,General Social Networking,-2
2016-02-16T16:05:00,16,1,Dropbox,File Sharing,-2
2016-02-16T16:05:00,16,1,facebook.com,General Social Networking,-2
2016-02-16T16:05:00,3,1,microsoft word,Writing,2
2016-02-16T16:10:00,123,1,microsoft word,Writing,2
2016-02-16T16:10:00,111,1,facebook.com,General Social Networking,-2
2016-02-16T16:10:00,29,1,Mail,Email,2
2016-02-16T16:10:00,29,1,wunderground.com,General News & Opinion,-2
2016-02-16T16:10:00,5,1,deerfield.edu,General Reference & Learning,1
2016-02-16T16:10:00,3,1,usernotificationcenter,General Utilities,0
2016-02-16T16:15:00,258,1,facebook.com,General Social Networking,-2
2016-02-16T16:15:00,34,1,wunderground.com,General News & Opinion,-2
2016-02-16T16:15:00,7,1,microsoft word,Writing,2
2016-02-16T16:20:00,73,1,facebook.com,General Social Networking,-2
2016-02-16T19:50:00,33,1,messages,General Social Networking,-2
2016-02-16T19:50:00,8,1,facebook.com,General Social Networking,-2
2016-02-16T19:50:00,3,1,loginwindow,General Utilities,0
2016-02-16T19:50:00,2,1,1624.formovietickets.com:2235,Uncategorized,0
2016-02-16T19:50:00,1,1,bankofamerica.com,General Business,2
2016-02-16T19:55:00,245,1,washingtonpost.com,General News & Opinion,-2
2016-02-16T19:55:00,42,1,facebook.com,General Social Networking,-2
2016-02-16T19:55:00,12,1,youtube.com,Video,-2
2016-02-16T20:00:00,232,1,youtube.com,Video,-2
2016-02-16T20:00:00,66,1,facebook.com,General Social Networking,-2
2016-02-16T20:00:00,1,1,deerfield.instructure.com,General Reference & Learning,1
2016-02-16T20:00:00,1,1,dalearn.deerfield.edu,General Reference & Learning,2
2016-02-16T20:05:00,188,1,facebook.com,General Social Networking,-2
2016-02-16T20:05:00,112,1,youtube.com,Video,-2
2016-02-16T20:10:00,90,1,messages,General Social Networking,-2
2016-02-16T20:10:00,82,1,youtube.com,Video,-2
2016-02-16T20:10:00,51,1,Finder,General Utilities,0
