Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2014-05-27T00:15:00,3,1,screensaverengine,General Utilities,0
2014-05-27T05:00:00,1,1,screensaverengine,General Utilities,0
2014-05-27T10:45:00,180,1,pages,Presentation,2
2014-05-27T10:45:00,14,1,englishmafia.epad.isb.bj.edu.cn,Uncategorized,0
2014-05-27T10:45:00,14,1,bing.com,Search,2
2014-05-27T10:45:00,2,1,Mail,Email,2
2014-05-27T10:45:00,1,1,Skype,General Social Networking,-2
2014-05-27T10:50:00,223,1,englishmafia.epad.isb.bj.edu.cn,Uncategorized,0
2014-05-27T10:50:00,190,1,TextEdit,Writing,2
2014-05-27T10:50:00,57,1,pages,Presentation,2
2014-05-27T10:50:00,18,1,microsoft word,Writing,2
2014-05-27T10:50:00,5,1,Finder,General Utilities,0
2014-05-27T10:50:00,2,1,Mail,Email,2
2014-05-27T10:55:00,300,1,TextEdit,Writing,2
2014-05-27T10:55:00,162,1,pages,Presentation,2
2014-05-27T10:55:00,138,1,englishmafia.epad.isb.bj.edu.cn,Uncategorized,0
2014-05-27T11:00:00,205,1,pages,Presentation,2
2014-05-27T11:00:00,132,1,TextEdit,Writing,2
2014-05-27T11:00:00,60,1,Skype,General Social Networking,-2
2014-05-27T11:00:00,30,1,englishmafia.epad.isb.bj.edu.cn,Uncategorized,0
2014-05-27T11:00:00,5,1,easybib.com,Search,2
2014-05-27T11:05:00,249,1,pages,Presentation,2
2014-05-27T11:50:00,105,1,TextEdit,Writing,2
2014-05-27T12:00:00,25,1,pages,Presentation,2
2014-05-27T12:00:00,5,1,system information,General Utilities,0
2014-05-27T12:20:00,70,1,easybib.com,Search,2
2014-05-27T12:25:00,74,1,urbanviewsweekly.com,Uncategorized,0
2014-05-27T12:25:00,65,1,funshion.com,Video,-2
2014-05-27T12:25:00,59,1,bing.com,Search,2
2014-05-27T12:25:00,45,1,pages,Presentation,2
2014-05-27T12:25:00,28,1,microsoft word,Writing,2
2014-05-27T12:25:00,23,1,trashysworld.ca,Uncategorized,0
2014-05-27T12:25:00,19,1,cn.bing.com,Search,0
2014-05-27T12:25:00,11,1,TextEdit,Writing,2
2014-05-27T12:25:00,10,1,Safari,Browsers,2
2014-05-27T12:25:00,7,1,easybib.com,Search,2
2014-05-27T12:25:00,4,1,Mail,Email,2
2014-05-27T12:25:00,3,1,Finder,General Utilities,0
2014-05-27T12:25:00,2,1,alfred,General Utilities,2
2014-05-27T12:25:00,2,1,Skype,General Social Networking,-2
2014-05-27T12:30:00,104,1,bing.com,Search,2
2014-05-27T12:30:00,97,1,cn.bing.com,Search,0
2014-05-27T12:30:00,86,1,Finder,General Utilities,0
2014-05-27T12:30:00,69,1,pages,Presentation,2
2014-05-27T12:30:00,58,1,microsoft word,Writing,2
2014-05-27T12:30:00,45,1,TextEdit,Writing,2
2014-05-27T12:30:00,18,1,carslockoutservices.com,Uncategorized,0
2014-05-27T12:30:00,15,1,mfi.co.uk,Uncategorized,0
2014-05-27T12:30:00,14,1,g.isb.bj.edu.cn,General Reference & Learning,1
2014-05-27T12:30:00,13,1,homewetbar.com,General Reference & Learning,1
2014-05-27T12:30:00,13,1,lh5.googleusercontent.com,General Business,2
2014-05-27T12:30:00,12,1,Safari,Browsers,2
2014-05-27T12:30:00,11,1,easybib.com,Search,2
