Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2015-05-24T00:00:00,244,1,logger pro,Health & Medicine,1
2015-05-24T00:00:00,56,1,microsoft word,Writing,2
2015-05-24T00:05:00,274,1,microsoft word,Writing,2
2015-05-24T00:05:00,19,1,logger pro,Health & Medicine,1
2015-05-24T00:05:00,7,1,Finder,General Utilities,0
2015-05-24T00:10:00,169,1,microsoft word,Writing,2
2015-05-24T00:10:00,111,1,pages,Presentation,2
2015-05-24T00:10:00,14,1,Finder,General Utilities,0
2015-05-24T00:15:00,252,1,pages,Presentation,2
2015-05-24T00:15:00,44,1,microsoft word,Writing,2
2015-05-24T00:15:00,3,1,Finder,General Utilities,0
2015-05-24T00:35:00,25,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T00:35:00,10,1,ce.linedict.com,General Reference & Learning,1
2015-05-24T00:35:00,9,1,pages,Presentation,2
2015-05-24T00:35:00,4,1,microsoft word,Writing,2
2015-05-24T00:40:00,173,1,pages,Presentation,2
2015-05-24T00:40:00,74,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T00:40:00,50,1,waterpollutionisbadok.weebly.com,Presentation,2
2015-05-24T00:40:00,3,1,microsoft word,Writing,2
2015-05-24T00:45:00,300,1,pages,Presentation,2
2015-05-24T00:50:00,300,1,pages,Presentation,2
2015-05-24T00:55:00,175,1,pages,Presentation,2
2015-05-24T00:55:00,19,1,loginwindow,General Utilities,0
2015-05-24T01:00:00,216,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T01:00:00,58,1,pages,Presentation,2
2015-05-24T01:00:00,20,1,Skype,General Social Networking,-2
2015-05-24T01:00:00,3,1,waterpollutionisbadok.weebly.com,Presentation,2
2015-05-24T01:05:00,194,1,youtube.com,Video,-2
2015-05-24T01:05:00,100,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T01:05:00,1,1,microsoft.com,Engineering & Technology,1
2015-05-24T01:10:00,140,1,youtube.com,Video,-2
2015-05-24T01:10:00,130,1,usernotificationcenter,General Utilities,0
2015-05-24T01:10:00,18,1,loginwindow,General Utilities,0
2015-05-24T13:50:00,148,1,Finder,General Utilities,0
2015-05-24T13:50:00,15,1,Preview,General Reference & Learning,2
2015-05-24T13:50:00,6,1,Skype,General Social Networking,-2
2015-05-24T13:50:00,2,1,Dropbox,File Sharing,-2
2015-05-24T13:50:00,2,1,youtube.com,Video,-2
2015-05-24T13:55:00,113,1,Finder,General Utilities,0
2015-05-24T13:55:00,54,1,Safari,Browsers,2
2015-05-24T13:55:00,29,1,messages,General Social Networking,-2
2015-05-24T13:55:00,25,1,Skype,General Social Networking,-2
2015-05-24T13:55:00,16,1,pages,Presentation,2
2015-05-24T13:55:00,13,1,9to5mac.com,General News & Opinion,-2
2015-05-24T13:55:00,12,1,Mail,Email,2
2015-05-24T13:55:00,8,1,microsoft.com,Engineering & Technology,1
2015-05-24T13:55:00,4,1,youtube.com,Video,-2
2015-05-24T13:55:00,4,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T13:55:00,2,1,google.com,Search,2
2015-05-24T13:55:00,2,1,waterpollutionisbadok.weebly.com,Presentation,2
2015-05-24T13:55:00,2,1,logger pro,Health & Medicine,1
2015-05-24T14:00:00,127,1,pages,Presentation,2
2015-05-24T14:00:00,105,1,Finder,General Utilities,0
2015-05-24T14:00:00,41,1,9to5mac.com,General News & Opinion,-2
2015-05-24T14:00:00,17,1,Preview,General Reference & Learning,2
2015-05-24T14:00:00,8,1,microsoft word,Writing,2
2015-05-24T14:05:00,221,1,Finder,General Utilities,0
2015-05-24T14:15:00,192,1,pages,Presentation,2
2015-05-24T14:15:00,13,1,microsoft word,Writing,2
2015-05-24T14:20:00,155,1,microsoft word,Writing,2
2015-05-24T14:20:00,128,1,pages,Presentation,2
2015-05-24T14:20:00,11,1,drive.google.com,General Business,2
2015-05-24T14:20:00,5,1,9to5mac.com,General News & Opinion,-2
2015-05-24T14:25:00,284,1,pages,Presentation,2
2015-05-24T14:25:00,16,1,microsoft word,Writing,2
2015-05-24T14:30:00,283,1,pages,Presentation,2
2015-05-24T14:30:00,16,1,microsoft word,Writing,2
2015-05-24T14:35:00,273,1,pages,Presentation,2
2015-05-24T14:35:00,27,1,alfred 2,General Utilities,1
2015-05-24T14:40:00,300,1,pages,Presentation,2
2015-05-24T14:45:00,212,1,pages,Presentation,2
2015-05-24T14:45:00,79,1,Mail,Email,2
2015-05-24T14:45:00,9,1,Finder,General Utilities,0
2015-05-24T14:50:00,135,1,pages,Presentation,2
2015-05-24T14:50:00,83,1,photostockplus.com,Regional,-2
2015-05-24T14:50:00,41,1,psphoto.photostockplus.com,Regional,-2
2015-05-24T14:50:00,20,1,drive.google.com,General Business,2
2015-05-24T14:50:00,9,1,applications,General Business,2
2015-05-24T14:50:00,6,1,google.com,Search,2
2015-05-24T14:50:00,2,1,Safari,Browsers,2
2015-05-24T14:55:00,149,1,Finder,General Utilities,0
2015-05-24T14:55:00,116,1,photostockplus.com,Regional,-2
2015-05-24T14:55:00,24,1,microsoft word,Writing,2
2015-05-24T14:55:00,11,1,Skype,General Social Networking,-2
2015-05-24T15:00:00,167,1,microsoft word,Writing,2
2015-05-24T15:00:00,21,1,loginwindow,General Utilities,0
2015-05-24T15:10:00,86,1,pages,Presentation,2
2015-05-24T15:10:00,7,1,microsoft word,Writing,2
2015-05-24T15:15:00,300,1,pages,Presentation,2
2015-05-24T15:20:00,298,1,pages,Presentation,2
2015-05-24T15:20:00,2,1,microsoft word,Writing,2
2015-05-24T15:25:00,280,1,pages,Presentation,2
2015-05-24T15:25:00,15,1,microsoft word,Writing,2
2015-05-24T15:25:00,3,1,microsoft autoupdate,General Utilities,1
2015-05-24T15:25:00,2,1,Finder,General Utilities,0
2015-05-24T15:30:00,231,1,pages,Presentation,2
2015-05-24T15:30:00,56,1,logger pro,Health & Medicine,1
2015-05-24T15:30:00,8,1,Finder,General Utilities,0
2015-05-24T15:30:00,3,1,microsoft word,Writing,2
2015-05-24T15:35:00,290,1,pages,Presentation,2
2015-05-24T15:35:00,10,1,microsoft word,Writing,2
2015-05-24T15:40:00,187,1,pages,Presentation,2
2015-05-24T15:40:00,90,1,microsoft word,Writing,2
2015-05-24T15:40:00,23,1,alfred 2,General Utilities,1
2015-05-24T15:45:00,53,1,pages,Presentation,2
2015-05-24T15:45:00,50,1,microsoft word,Writing,2
2015-05-24T15:45:00,18,1,loginwindow,General Utilities,0
2015-05-24T20:05:00,107,1,microsoft word,Writing,2
2015-05-24T20:05:00,51,1,pages,Presentation,2
2015-05-24T20:10:00,147,1,pages,Presentation,2
2015-05-24T20:10:00,91,1,microsoft word,Writing,2
2015-05-24T20:10:00,43,1,facebook.com,General Social Networking,-2
2015-05-24T20:10:00,17,1,Safari,Browsers,2
2015-05-24T20:15:00,244,1,facebook.com,General Social Networking,-2
2015-05-24T20:15:00,23,1,microsoft word,Writing,2
2015-05-24T20:15:00,17,1,pages,Presentation,2
2015-05-24T20:15:00,15,1,messages,General Social Networking,-2
2015-05-24T20:20:00,205,1,pages,Presentation,2
2015-05-24T20:20:00,65,1,facebook.com,General Social Networking,-2
2015-05-24T20:20:00,23,1,Mail,Email,2
2015-05-24T20:20:00,7,1,microsoft word,Writing,2
2015-05-24T20:25:00,125,1,pages,Presentation,2
2015-05-24T20:25:00,66,1,microsoft word,Writing,2
2015-05-24T20:25:00,60,1,Mail,Email,2
2015-05-24T20:25:00,32,1,messages,General Social Networking,-2
2015-05-24T20:25:00,15,1,facebook.com,General Social Networking,-2
2015-05-24T20:30:00,234,1,pages,Presentation,2
2015-05-24T20:30:00,66,1,alfred 2,General Utilities,1
2015-05-24T20:35:00,201,1,mathtype,Engineering & Technology,1
2015-05-24T20:35:00,88,1,pages,Presentation,2
2015-05-24T20:35:00,8,1,microsoft word,Writing,2
2015-05-24T20:35:00,2,1,alfred 2,General Utilities,1
2015-05-24T20:40:00,142,1,mathtype,Engineering & Technology,1
2015-05-24T20:40:00,108,1,logger pro,Health & Medicine,1
2015-05-24T20:40:00,43,1,pages,Presentation,2
2015-05-24T20:40:00,5,1,Finder,General Utilities,0
2015-05-24T20:45:00,129,1,pages,Presentation,2
2015-05-24T20:45:00,35,1,logger pro,Health & Medicine,1
2015-05-24T20:45:00,32,1,Finder,General Utilities,0
2015-05-24T21:05:00,20,1,10fastfingers.com,General Reference & Learning,1
2015-05-24T21:05:00,20,1,Finder,General Utilities,0
2015-05-24T21:05:00,10,1,Safari,Browsers,2
2015-05-24T21:05:00,5,1,en.wikipedia.org,General Reference & Learning,1
2015-05-24T21:05:00,2,1,9to5mac.com,General News & Opinion,-2
2015-05-24T21:10:00,152,1,pages,Presentation,2
2015-05-24T21:10:00,142,1,keyhero.com,Engineering & Technology,1
2015-05-24T21:10:00,45,1,github,General Software Development,2
2015-05-24T21:10:00,34,1,main,General Entertainment,-2
2015-05-24T21:10:00,24,1,google.com,Search,2
2015-05-24T21:10:00,16,1,10fastfingers.com,General Reference & Learning,1
2015-05-24T21:10:00,16,1,logger pro,Health & Medicine,1
2015-05-24T21:10:00,11,1,tetrisfriends.com,Games,-2
2015-05-24T21:10:00,9,1,hublauncher,Uncategorized,0
2015-05-24T21:10:00,9,1,adobe flash player install manager,General Utilities,1
2015-05-24T21:10:00,8,1,Finder,General Utilities,0
2015-05-24T21:10:00,4,1,installer,General Utilities,1
2015-05-24T21:10:00,2,1,freetypinggame.net,General Reference & Learning,1
2015-05-24T21:15:00,117,1,main,General Entertainment,-2
2015-05-24T21:15:00,45,1,pages,Presentation,2
2015-05-24T21:15:00,37,1,loginwindow,General Utilities,0
2015-05-24T21:15:00,10,1,logger pro,Health & Medicine,1
2015-05-24T21:15:00,2,1,Finder,General Utilities,0
2015-05-24T23:20:00,66,1,drive.google.com,General Business,2
2015-05-24T23:20:00,40,1,facebook.com,General Social Networking,-2
2015-05-24T23:20:00,16,1,messages,General Social Networking,-2
2015-05-24T23:20:00,15,1,pages,Presentation,2
2015-05-24T23:20:00,4,1,Safari,Browsers,2
2015-05-24T23:20:00,3,1,Dropbox,File Sharing,-2
2015-05-24T23:20:00,1,1,auth.deerfield.edu,General Reference & Learning,1
2015-05-24T23:20:00,1,1,google.com,Search,2
2015-05-24T23:20:00,1,1,Finder,General Utilities,0
2015-05-24T23:25:00,175,1,pages,Presentation,2
2015-05-24T23:25:00,38,1,facebook.com,General Social Networking,-2
2015-05-24T23:25:00,34,1,messages,General Social Networking,-2
2015-05-24T23:25:00,27,1,drive.google.com,General Business,2
2015-05-24T23:25:00,19,1,logger pro,Health & Medicine,1
2015-05-24T23:25:00,3,1,Finder,General Utilities,0
2015-05-24T23:30:00,256,1,pages,Presentation,2
2015-05-24T23:30:00,37,1,facebook.com,General Social Networking,-2
2015-05-24T23:30:00,3,1,mathtype,Engineering & Technology,1
2015-05-24T23:30:00,3,1,microsoft word,Writing,2
2015-05-24T23:35:00,192,1,mathtype,Engineering & Technology,1
2015-05-24T23:35:00,48,1,pages,Presentation,2
2015-05-24T23:35:00,41,1,facebook.com,General Social Networking,-2
2015-05-24T23:35:00,19,1,microsoft word,Writing,2
2015-05-24T23:40:00,114,1,mathtype,Engineering & Technology,1
2015-05-24T23:40:00,97,1,pages,Presentation,2
2015-05-24T23:40:00,56,1,messages,General Social Networking,-2
2015-05-24T23:40:00,31,1,drive.google.com,General Business,2
2015-05-24T23:40:00,2,1,microsoft word,Writing,2
2015-05-24T23:45:00,148,1,pages,Presentation,2
2015-05-24T23:45:00,68,1,Skype,General Social Networking,-2
2015-05-24T23:45:00,43,1,mathtype,Engineering & Technology,1
2015-05-24T23:45:00,32,1,messages,General Social Networking,-2
2015-05-24T23:45:00,4,1,alfred 2,General Utilities,1
2015-05-24T23:45:00,4,1,drive.google.com,General Business,2
2015-05-24T23:50:00,166,1,mathtype,Engineering & Technology,1
2015-05-24T23:50:00,83,1,pages,Presentation,2
2015-05-24T23:50:00,37,1,Skype,General Social Networking,-2
2015-05-24T23:50:00,14,1,microsoft word,Writing,2
2015-05-24T23:55:00,199,1,mathtype,Engineering & Technology,1
2015-05-24T23:55:00,88,1,pages,Presentation,2
2015-05-24T23:55:00,9,1,Skype,General Social Networking,-2
2015-05-24T23:55:00,4,1,microsoft word,Writing,2
