Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2016-09-14T00:00:00,4,1,microsoft word,Writing,2
2016-09-14T00:20:00,169,1,waset.org,General Business,2
2016-09-14T00:20:00,72,1,microsoft word,Writing,2
2016-09-14T00:20:00,24,1,Finder,General Utilities,0
2016-09-14T00:20:00,12,1,Mail,Email,2
2016-09-14T00:20:00,3,1,loginwindow,General Utilities,0
2016-09-14T00:20:00,2,1,Safari,Browsers,2
2016-09-14T00:25:00,231,1,microsoft word,Writing,2
2016-09-14T00:25:00,48,1,waset.org,General Business,2
2016-09-14T00:25:00,18,1,Dictionary,General Reference & Learning,1
2016-09-14T00:25:00,2,1,Safari,Browsers,2
2016-09-14T00:30:00,127,1,microsoft word,Writing,2
2016-09-14T00:30:00,68,1,dictionary.com,General Business,2
2016-09-14T00:30:00,51,1,waset.org,General Business,2
2016-09-14T00:30:00,20,1,adjective1.com,Uncategorized,0
2016-09-14T00:30:00,13,1,Safari,Browsers,2
2016-09-14T00:30:00,13,1,google.com,Search,2
2016-09-14T00:30:00,8,1,Dictionary,General Reference & Learning,1
2016-09-14T00:35:00,201,1,microsoft word,Writing,2
2016-09-14T00:35:00,50,1,adjective1.com,Uncategorized,0
2016-09-14T00:35:00,34,1,macmillandictionary.com,General Reference & Learning,1
2016-09-14T00:35:00,14,1,google.com,Search,2
2016-09-14T00:40:00,136,1,microsoft word,Writing,2
2016-09-14T00:40:00,26,1,loginwindow,General Utilities,0
2016-09-14T00:40:00,5,1,macmillandictionary.com,General Reference & Learning,1
2016-09-14T11:25:00,7,1,Mail,Email,2
2016-09-14T11:25:00,3,1,mathematica,Engineering & Technology,2
2016-09-14T11:25:00,3,1,Safari,Browsers,2
2016-09-14T11:25:00,1,1,bhphotovideo.com,General Shopping,-2
2016-09-14T11:30:00,103,1,secure2.store.apple.com,Electronics,-2
2016-09-14T11:30:00,103,1,bhphotovideo.com,General Shopping,-2
2016-09-14T11:30:00,49,1,mathematica,Engineering & Technology,2
2016-09-14T11:30:00,25,1,Mail,Email,2
2016-09-14T11:30:00,9,1,Safari,Browsers,2
2016-09-14T11:30:00,6,1,apple.com,Engineering & Technology,-1
2016-09-14T11:35:00,27,1,Mail,Email,2
2016-09-14T11:35:00,25,1,microsoft onenote,Intelligence,2
2016-09-14T11:35:00,18,1,loginwindow,General Utilities,0
2016-09-14T11:35:00,13,1,mathematica,Engineering & Technology,2
2016-09-14T11:35:00,1,1,Finder,General Utilities,0
2016-09-14T11:45:00,83,1,Finder,General Utilities,0
2016-09-14T11:45:00,15,1,Mail,Email,2
2016-09-14T11:45:00,3,1,secure2.store.apple.com,Electronics,-2
2016-09-14T11:45:00,2,1,bhphotovideo.com,General Shopping,-2
2016-09-14T11:50:00,187,1,Finder,General Utilities,0
2016-09-14T11:50:00,110,1,mathematica,Engineering & Technology,2
2016-09-14T11:55:00,111,1,Mail,Email,2
2016-09-14T11:55:00,66,1,mathematica,Engineering & Technology,2
2016-09-14T12:00:00,424,1,mathematica,Engineering & Technology,2
