Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2013-05-10T20:55:00,29,1,Dropbox,File Sharing,-2
2013-05-10T20:55:00,6,1,newtab,Browsers,0
2013-05-10T21:35:00,20,1,Dropbox,File Sharing,-2
2013-05-10T21:35:00,8,1,SecurityAgent,Systems Operations,0
2013-05-10T21:35:00,3,1,newtab,Browsers,0
2013-05-10T21:40:00,95,1,Dropbox,File Sharing,-2
2013-05-10T21:40:00,16,1,system information,General Utilities,0
2013-05-10T21:40:00,12,1,Finder,General Utilities,0
2013-05-10T21:40:00,11,1,systemuiserver,General Utilities,1
2013-05-10T21:40:00,7,1,microsoft word,Writing,2
2013-05-10T21:40:00,3,1,newtab,Browsers,0
2013-05-10T21:40:00,2,1,SecurityAgent,Systems Operations,0
2013-05-10T21:45:00,127,1,Finder,General Utilities,0
2013-05-10T21:45:00,19,1,Activity Monitor,General Utilities,0
2013-05-10T21:45:00,2,1,rowmote helper,General Utilities,1
2013-05-10T21:50:00,297,1,Finder,General Utilities,0
2013-05-10T21:55:00,271,1,Finder,General Utilities,0
2013-05-10T21:55:00,17,1,Activity Monitor,General Utilities,0
2013-05-10T21:55:00,8,1,microsoft word,Writing,2
2013-05-10T22:00:00,297,1,Finder,General Utilities,0
2013-05-10T22:05:00,297,1,Finder,General Utilities,0
2013-05-10T22:10:00,297,1,Finder,General Utilities,0
2013-05-10T22:15:00,297,1,Finder,General Utilities,0
2013-05-10T22:15:00,3,1,System Preferences,General Utilities,0
2013-05-10T22:20:00,300,1,Finder,General Utilities,0
2013-05-10T22:25:00,300,1,Finder,General Utilities,0
2013-05-10T22:30:00,69,1,Finder,General Utilities,0
