Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2016-05-26T00:00:00,59,1,Finder,General Utilities,0
2016-05-26T00:00:00,2,1,noodletools.com,Search,2
2016-05-26T00:00:00,2,1,Dropbox,File Sharing,-2
2016-05-26T00:00:00,2,1,photos,Photos,0
2016-05-26T00:05:00,240,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:05:00,40,1,Finder,General Utilities,0
2016-05-26T00:05:00,15,1,Mail,Email,2
2016-05-26T00:05:00,2,1,Dropbox,File Sharing,-2
2016-05-26T00:05:00,1,1,photos,Photos,0
2016-05-26T00:10:00,191,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:10:00,109,1,microsoft word,Writing,2
2016-05-26T00:15:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:20:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:25:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:30:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:35:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:40:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:45:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:50:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T00:55:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T01:00:00,300,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T01:05:00,298,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T01:10:00,276,1,quicktime player,General Entertainment,-1
2016-05-26T01:10:00,16,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T01:10:00,8,1,Finder,General Utilities,0
2016-05-26T01:15:00,297,1,quicktime player,General Entertainment,-1
2016-05-26T01:15:00,3,1,Finder,General Utilities,0
2016-05-26T01:20:00,300,1,quicktime player,General Entertainment,-1
2016-05-26T01:25:00,300,1,quicktime player,General Entertainment,-1
2016-05-26T01:30:00,79,1,drive.google.com,General Business,2
2016-05-26T01:30:00,71,1,handbrake,Video Editing,2
2016-05-26T01:30:00,64,1,Finder,General Utilities,0
2016-05-26T01:30:00,58,1,quicktime player,General Entertainment,-1
2016-05-26T01:30:00,11,1,accounts.google.com,General Communication & Scheduling,0
2016-05-26T01:30:00,7,1,noodletools.com,Search,2
2016-05-26T01:30:00,4,1,newtab,Browsers,0
2016-05-26T01:30:00,2,1,auth.deerfield.edu,General Reference & Learning,1
2016-05-26T01:40:00,27,1,loginwindow,General Utilities,0
2016-05-26T11:00:00,60,1,Finder,General Utilities,0
2016-05-26T11:00:00,30,1,microsoft word,Writing,2
2016-05-26T11:00:00,28,1,google drive,General Business,2
2016-05-26T11:00:00,1,1,RescueTime,Intelligence,0
2016-05-26T11:05:00,142,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T11:05:00,62,1,drive.google.com,General Business,2
2016-05-26T11:05:00,37,1,Finder,General Utilities,0
2016-05-26T11:25:00,48,1,drive.google.com,General Business,2
2016-05-26T11:30:00,154,1,drive.google.com,General Business,2
2016-05-26T11:40:00,179,1,translate.google.com,Search,1
2016-05-26T11:40:00,28,1,Mail,Email,2
2016-05-26T11:40:00,13,1,drive.google.com,General Business,2
2016-05-26T11:40:00,4,1,Safari,Browsers,2
2016-05-26T11:40:00,3,1,messages,General Social Networking,-2
2016-05-26T11:45:00,18,1,loginwindow,General Utilities,0
2016-05-26T11:45:00,5,1,translate.google.com,Search,1
2016-05-26T12:35:00,146,1,drive.google.com,General Business,2
2016-05-26T12:35:00,53,1,9to5mac.com,General News & Opinion,-2
2016-05-26T12:35:00,2,1,Safari,Browsers,2
2016-05-26T12:40:00,164,1,microsoft word,Writing,2
2016-05-26T12:40:00,122,1,9to5mac.com,General News & Opinion,-2
2016-05-26T12:40:00,14,1,Mail,Email,2
2016-05-26T12:45:00,269,1,microsoft word,Writing,2
2016-05-26T12:45:00,30,1,messages,General Social Networking,-2
2016-05-26T12:50:00,213,1,pages,Presentation,2
2016-05-26T12:50:00,57,1,messages,General Social Networking,-2
2016-05-26T12:50:00,30,1,microsoft word,Writing,2
2016-05-26T12:55:00,196,1,pages,Presentation,2
2016-05-26T12:55:00,84,1,messages,General Social Networking,-2
2016-05-26T12:55:00,10,1,Finder,General Utilities,0
2016-05-26T12:55:00,9,1,microsoft word,Writing,2
2016-05-26T13:00:00,276,1,microsoft word,Writing,2
2016-05-26T13:00:00,24,1,messages,General Social Networking,-2
2016-05-26T13:05:00,300,1,microsoft word,Writing,2
2016-05-26T13:10:00,288,1,microsoft word,Writing,2
2016-05-26T13:10:00,8,1,translate.google.com,Search,1
2016-05-26T13:10:00,3,1,Safari,Browsers,2
2016-05-26T13:10:00,1,1,9to5mac.com,General News & Opinion,-2
2016-05-26T13:15:00,171,1,microsoft word,Writing,2
2016-05-26T13:15:00,90,1,Google Documents,Writing,2
2016-05-26T13:15:00,16,1,drive.google.com,General Business,2
2016-05-26T13:15:00,13,1,pages,Presentation,2
2016-05-26T13:15:00,9,1,Finder,General Utilities,0
2016-05-26T13:15:00,1,1,translate.google.com,Search,1
2016-05-26T13:20:00,194,1,microsoft word,Writing,2
2016-05-26T13:20:00,12,1,Google Documents,Writing,2
2016-05-26T14:15:00,19,1,Finder,General Utilities,0
2016-05-26T14:15:00,4,1,microsoft word,Writing,2
2016-05-26T14:15:00,2,1,translate.google.com,Search,1
2016-05-26T14:20:00,300,1,microsoft word,Writing,2
2016-05-26T14:25:00,300,1,microsoft word,Writing,2
2016-05-26T14:30:00,299,1,microsoft word,Writing,2
2016-05-26T14:35:00,291,1,microsoft word,Writing,2
2016-05-26T14:35:00,8,1,Finder,General Utilities,0
2016-05-26T14:40:00,293,1,microsoft word,Writing,2
2016-05-26T14:40:00,7,1,Mail,Email,2
2016-05-26T14:45:00,297,1,microsoft word,Writing,2
2016-05-26T14:45:00,3,1,Mail,Email,2
2016-05-26T14:50:00,300,1,microsoft word,Writing,2
2016-05-26T14:55:00,297,1,microsoft word,Writing,2
2016-05-26T14:55:00,3,1,Finder,General Utilities,0
2016-05-26T15:00:00,273,1,microsoft word,Writing,2
2016-05-26T15:00:00,16,1,loginwindow,General Utilities,0
2016-05-26T15:15:00,108,1,facebook.com,General Social Networking,-2
2016-05-26T15:15:00,100,1,microsoft word,Writing,2
2016-05-26T15:15:00,23,1,Finder,General Utilities,0
2016-05-26T15:15:00,3,1,Google Documents,Writing,2
2016-05-26T15:15:00,2,1,loginwindow,General Utilities,0
2016-05-26T15:20:00,292,1,microsoft word,Writing,2
2016-05-26T15:20:00,8,1,Finder,General Utilities,0
2016-05-26T15:25:00,293,1,microsoft word,Writing,2
2016-05-26T15:25:00,5,1,microsoft error reporting,Science & Technology,-1
2016-05-26T15:25:00,2,1,Finder,General Utilities,0
2016-05-26T15:30:00,300,1,microsoft word,Writing,2
2016-05-26T15:35:00,298,1,microsoft word,Writing,2
2016-05-26T15:35:00,1,1,facebook.com,General Social Networking,-2
2016-05-26T15:35:00,1,1,noodletools.com,Search,2
2016-05-26T15:40:00,285,1,microsoft word,Writing,2
2016-05-26T15:40:00,9,1,Skype,General Social Networking,-2
2016-05-26T15:40:00,3,1,microsoft error reporting,Science & Technology,-1
2016-05-26T15:40:00,3,1,Finder,General Utilities,0
2016-05-26T15:45:00,300,1,microsoft word,Writing,2
2016-05-26T15:50:00,289,1,microsoft word,Writing,2
2016-05-26T15:50:00,7,1,Mail,Email,2
2016-05-26T15:50:00,4,1,microsoft error reporting,Science & Technology,-1
2016-05-26T15:55:00,294,1,microsoft word,Writing,2
2016-05-26T15:55:00,4,1,Skype,General Social Networking,-2
2016-05-26T15:55:00,1,1,Mail,Email,2
2016-05-26T15:55:00,1,1,Finder,General Utilities,0
2016-05-26T16:00:00,294,1,microsoft word,Writing,2
2016-05-26T16:00:00,3,1,microsoft error reporting,Science & Technology,-1
2016-05-26T16:00:00,2,1,Skype,General Social Networking,-2
2016-05-26T16:00:00,1,1,Finder,General Utilities,0
2016-05-26T16:05:00,299,1,microsoft word,Writing,2
2016-05-26T16:05:00,1,1,Skype,General Social Networking,-2
2016-05-26T16:10:00,297,1,microsoft word,Writing,2
2016-05-26T16:10:00,2,1,microsoft error reporting,Science & Technology,-1
2016-05-26T16:10:00,1,1,Skype,General Social Networking,-2
2016-05-26T16:15:00,295,1,microsoft word,Writing,2
2016-05-26T16:15:00,4,1,microsoft error reporting,Science & Technology,-1
2016-05-26T16:15:00,1,1,Finder,General Utilities,0
2016-05-26T16:20:00,300,1,microsoft word,Writing,2
2016-05-26T16:25:00,300,1,microsoft word,Writing,2
2016-05-26T16:30:00,300,1,microsoft word,Writing,2
2016-05-26T16:35:00,300,1,microsoft word,Writing,2
2016-05-26T16:40:00,299,1,microsoft word,Writing,2
2016-05-26T16:40:00,1,1,Finder,General Utilities,0
2016-05-26T16:45:00,300,1,microsoft word,Writing,2
2016-05-26T16:50:00,229,1,microsoft word,Writing,2
2016-05-26T17:05:00,100,1,microsoft word,Writing,2
2016-05-26T17:05:00,20,1,Mail,Email,2
2016-05-26T17:10:00,278,1,microsoft word,Writing,2
2016-05-26T17:10:00,22,1,Mail,Email,2
2016-05-26T17:15:00,300,1,microsoft word,Writing,2
2016-05-26T17:20:00,300,1,microsoft word,Writing,2
2016-05-26T17:25:00,236,1,microsoft word,Writing,2
2016-05-26T17:25:00,61,1,Mail,Email,2
2016-05-26T17:25:00,3,1,Skype,General Social Networking,-2
2016-05-26T17:30:00,300,1,Mail,Email,2
2016-05-26T17:35:00,300,1,Mail,Email,2
2016-05-26T17:40:00,229,1,Mail,Email,2
2016-05-26T17:40:00,71,1,microsoft word,Writing,2
2016-05-26T17:45:00,280,1,microsoft word,Writing,2
2016-05-26T17:45:00,16,1,Mail,Email,2
2016-05-26T17:45:00,3,1,noodletools.com,Search,2
2016-05-26T17:45:00,1,1,facebook.com,General Social Networking,-2
2016-05-26T17:50:00,264,1,microsoft word,Writing,2
2016-05-26T18:30:00,93,1,microsoft word,Writing,2
2016-05-26T18:30:00,3,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T18:30:00,3,1,microsoft autoupdate,General Utilities,1
2016-05-26T18:35:00,163,1,facebook.com,General Social Networking,-2
2016-05-26T18:35:00,79,1,microsoft word,Writing,2
2016-05-26T18:35:00,58,1,Google Documents,Writing,2
2016-05-26T18:40:00,221,1,microsoft word,Writing,2
2016-05-26T18:40:00,77,1,facebook.com,General Social Networking,-2
2016-05-26T18:40:00,2,1,Skype,General Social Networking,-2
2016-05-26T18:45:00,236,1,microsoft word,Writing,2
2016-05-26T18:45:00,36,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T18:45:00,25,1,Finder,General Utilities,0
2016-05-26T18:50:00,267,1,adobe premiere pro cc 2015,Video Editing,2
2016-05-26T18:50:00,28,1,en.wikipedia.org,General Reference & Learning,1
2016-05-26T18:50:00,3,1,Safari,Browsers,2
2016-05-26T18:50:00,2,1,facebook.com,General Social Networking,-2
