Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2017-06-06T01:00:00,34,1,Safari,Browsers,2
2017-06-06T01:00:00,13,1,apple.com,Engineering & Technology,-1
2017-06-06T01:00:00,10,1,applications,General Business,2
2017-06-06T01:00:00,5,1,deerfield.edu,General Reference & Learning,1
2017-06-06T01:00:00,4,1,loginwindow,General Utilities,0
2017-06-06T01:00:00,3,1,Finder,General Utilities,0
2017-06-06T01:05:00,98,1,apple.com,Engineering & Technology,-1
2017-06-06T01:05:00,2,1,facetime,Voice Chat,-2
2017-06-06T03:20:00,17,1,loginwindow,General Utilities,0
2017-06-06T03:20:00,5,1,thecompleteuniversityguide.co.uk,General Reference & Learning,1
