,Min,25th,Median,75th,Max,Mean,STD
Duration,10:54:25,93:53:19,128:4:24,153:57:38,223:25:53,125:43:32,42:43:36
Productivity,0.12535592033608217,0.5053703098650613,0.5930719688812318,0.6414416088328174,0.7894373467544199,0.5724538734151609,0.11696904067176862
