,Min,25th,Median,75th,Max,Mean,STD
Duration,724:57:22,1239:16:38,1525:41:21,1705:50:59,1791:25:13,1418:54:10,380:22:44
Productivity,0.4872628143820616,0.5446316347559785,0.6089979177371214,0.6209726618498002,0.6308344528136186,0.5797576825920513,0.05881201599186131
