,Min,25th,Median,75th,Max,Mean,STD
Duration,0:0:1,2:21:19,4:21:13,6:24:48,17:7:24,4:31:44,2:47:10
Productivity,0.0,0.4275805489260143,0.5813054355242211,0.7338731184070167,1.0,0.566790041852903,0.22293131014706769
