DOW,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
Mon,5689148,1580:19:8,microsoft word,139:19:1,youtube.com,97:36:2,Skype,81:2:27,0.5757486006692039
Tue,5679265,1577:34:25,microsoft word,134:32:46,youtube.com,85:20:26,Skype,73:44:25,0.6023031149277239
Wed,5495952,1526:39:12,microsoft word,138:6:25,youtube.com,95:31:21,Skype,76:33:30,0.5863943134874541
Thu,5399079,1499:44:39,microsoft word,126:4:7,youtube.com,92:33:37,Skype,73:42:17,0.6017406394683241
Fri,4708844,1308:0:44,youtube.com,105:6:51,microsoft word,100:10:38,facebook.com,59:40:44,0.5551127835196918
Sun,4610995,1280:49:55,microsoft word,128:38:6,youtube.com,81:12:5,Skype,75:9:50,0.5667436204116465
Sat,4173069,1159:11:9,youtube.com,94:36:22,microsoft word,91:28:44,Skype,56:43:13,0.5413577513336109
