,Min,25th,Median,75th,Max,Mean,STD
Duration,815:57:22,822:48:58,826:42:12,831:49:45,844:9:16,827:41:36,8:14:0
Productivity,0.5726481011398306,0.5761339933816313,0.5772112882798439,0.5787053123339255,0.5844569680081236,0.5776284342578705,0.0033134680960527165
