,Min,25th,Median,75th,Max,Mean,STD
Duration,1159:11:9,1294:25:19,1499:44:39,1552:6:48,1580:19:8,1418:54:10,167:25:36
Productivity,0.5413577513336109,0.5609282019656692,0.5757486006692039,0.594067476477889,0.6023031149277239,0.5756286891168079,0.02303481421413154
