,Min,25th,Median,75th,Max,Mean,STD
Duration,0:2:40,20:11:54,30:15:50,39:4:41,67:42:33,29:17:55,13:59:59
Productivity,0.006146709191069855,0.47589496186941393,0.5931875805311941,0.6701560770141004,0.9963246104087033,0.5688901564137616,0.15997709163007762
