,Min,25th,Median,75th,Max,Mean,STD
Duration,5:51:23,99:12:4,442:13:3,608:16:47,974:50:8,413:50:48,309:55:12
Productivity,0.31598353976531945,0.5030403143467735,0.556541607894469,0.6267891202383044,0.694622398518642,0.5459444044211049,0.10325848209157414
