,Min,25th,Median,75th,Max,Mean,STD
Duration,558:20:36,773:25:43,819:24:51,923:7:12,1026:41:54,827:41:36,126:53:29
Productivity,0.5122236584302924,0.5425699203376974,0.5865957953597392,0.6085915148419785,0.6188451787397298,0.5742477582169038,0.038411861601775066
