App,Time Spent (Seconds),Category,Productivity
Skype,70302,General Social Networking,-2
Finder,19401,General Utilities,0
en.wikipedia.org,12089,General Reference & Learning,1
microsoft word,50873,Writing,2
bjdnserror1.wo.com.cn:8080,496,Uncategorized,0
bing.com,2631,Search,2
aprilfoolzone.com,3386,General News & Opinion,-2
Preview,3656,General Reference & Learning,2
google.com,2054,Search,2
System Preferences,448,General Utilities,0
9gag.com,232,Comedy,-2
ask.fm,3677,General Social Networking,-2
boredpanda.com,399,General Entertainment,-2
Dictionary,469,General Reference & Learning,1
pog.com,2133,Games,-2
usernotificationcenter,240,General Utilities,0
cn.bing.com,566,Search,0
katrinaresearchhub.ssrc.org,65,General Reference & Learning,1
wsc2013j6.epad.isb.bj.edu.cn,797,Uncategorized,0
factsanddetails.com,143,General Reference & Learning,1
ehow.com,95,Search,0
uvista.com,44,Uncategorized,0
carnegiecouncil.org,1031,Uncategorized,0
Activity Monitor,114,General Utilities,0
screensaverengine,136,General Utilities,0
grapher,1170,General Reference & Learning,1
microsoft outlook,2172,Email,2
blogs.isb.bj.edu.cn,6973,General Reference & Learning,2
elearning.isb.bj.edu.cn,6275,General Reference & Learning,2
alhsoralhistoryproject.org,44,Uncategorized,0
chinadaily.com.cn,3795,General News & Opinion,2
Adobe Photoshop,323,Graphic Design,2
manataka.org,8,General Reference & Learning,1
mbgnet.net,3,Uncategorized,0
iTunes,298,Music,0
olstars.com,13,Uncategorized,0
tube.isb.bj.edu.cn,531,General Entertainment,-2
Blank Web Browser,66,Internet Utilities,0
algebrabits.com,59,Uncategorized,0
facebook.com,3632,General Social Networking,-2
ted.com,2456,Engineering & Technology,1
netauthagent,44,Accounting,2
differencebetween.net,119,General Reference & Learning,1
youku.com,326,General Entertainment,-2
Gmail,852,Email,2
i.youku.com,254,Video,-2
theworldofchinese.com,86,Uncategorized,0
chineseposters.net,247,Uncategorized,0
v.youku.com,394,Video,-2
blazomania.com,45,Uncategorized,0
miyagle.com,52,Uncategorized,0
sketchtoy.com,38,Uncategorized,0
www2.needham.k12.ma.us,157,Uncategorized,0
wiki.answers.com,239,Search,0
history.nasa.gov,108,General Entertainment,-2
barnesandnoble.com,168,General Shopping,-2
history,90,Browsers,0
kat.ph,57,General Entertainment,-2
bookrix.com,33,Uncategorized,0
findpdf.net,85,General Reference & Learning,1
amazon.com,3224,General Shopping,-1
mobipdf.com,27,Uncategorized,0
answers.yahoo.com,371,Search,0
dedicatedteacher.com,10,Uncategorized,0
sites.google.com,290,Internet Utilities,1
iprocrastinate,17,Intelligence,2
eclipse,2,Editing & IDEs,2
educationforum.ipbhost.com,68,Uncategorized,0
megaessays.com,53,General Reference & Learning,1
maryferrell.org,181,Uncategorized,0
history.com,2,General News & Opinion,-2
nortonsimon.org,45,Uncategorized,0
teachers.henrico.k12.va.us,237,Uncategorized,0
wolframalpha.com,1023,Search,1
video-subtitle.tedcdn.com,476,General Reference & Learning,1
timeglider.com,3885,Presentation,2
youtube.com,510,Video,-2
accounts.youtube.com,2,Video,-2
a4.ec-images.myspacecdn.com,7,Uncategorized,0
space.about.com,16,General Reference & Learning,1
airandspace.si.edu,2,General Reference & Learning,1
Dropbox,209,File Sharing,-2
google chrome,85,Browsers,0
unmountassistantagent,10,General Utilities,1
rowmote helper,36,General Utilities,1
isb-network-printer-copier,11,Uncategorized,0
bighugelabs.com,1072,Photos,-2
puh3.net.cn,124,General News & Opinion,-2
at0086.com,70,Uncategorized,0
explorelearning.com,560,Uncategorized,2
topchinatravel.com,61,Uncategorized,0
wsc2013.epad.isb.bj.edu.cn,1793,Uncategorized,2
new.scholarscup.org,261,Uncategorized,0
scribd.com,48,Search,0
etherpad.org,16,Uncategorized,0
nomadism.org,198,Uncategorized,0
studieportalen.dk,82,General Reference & Learning,1
flickr.com,74,Photos,-2
fictionisanaddiction.blogspot.com,98,General Business,2
google.co.kr,47,Search,0
quotationsbook.com,3,Presentation,2
kennethmart.blogspot.com,89,General Business,2
science.howstuffworks.com,327,General News & Opinion,2
sannianzhiyang.com,2,Uncategorized,0
cityofbeijing.gov.cn,70,Legal & Gov't,1
cn.visitmelbourne.com,2,Search,0
news.cnet.com,102,General News & Opinion,-2
news.xinhuanet.com,66,General News & Opinion,-2
chinaview.cn,22,Uncategorized,0
mymunmkis.org,1270,Uncategorized,0
Wikipedia,141,General Reference & Learning,1
cia.gov,117,Search,0
mun2012.epad.isb.bj.edu.cn,76,General Design & Composition,2
sparknotes.com,108,Search,2
gsearch.sparknotes.com,5,Engineering & Technology,1
iphonetextgenerator.com,791,Uncategorized,0
fakeiphonetext.com,1,Uncategorized,0
upload.wikimedia.org,9,Search,0
alfred,19,General Utilities,2
i.telegraph.co.uk,31,Society,-2
TextEdit,323,Writing,2
Keynote,1979,Presentation,2
coreservicesuiagent,52,General Utilities,0
dell.com,242,Employment,2
configure.us.dell.com,338,General Shopping,-2
isb.bj.edu.cn,3,General Reference & Learning,1
g.isb.bj.edu.cn,149,General Reference & Learning,1
app.discoveryeducation.com,601,General Business,2
