App,Time Spent (Seconds),Category,Productivity
microsoft word,29151,Writing,2
quicktime player,1220,General Entertainment,-1
Activity Monitor,118,General Utilities,0
Finder,11035,General Utilities,0
Skype,39685,General Social Networking,-2
elearning.isb.bj.edu.cn,2513,General Reference & Learning,2
aweculturalrevolution.epad.isb.bj.edu.cn,21,Uncategorized,0
microsoft outlook,1224,Email,2
Dropbox,580,File Sharing,-2
facebook.com,13,General Social Networking,-2
usernotificationcenter,405,General Utilities,0
Gmail,1215,Email,2
rowmote helper,74,General Utilities,1
Google Docs,8,Writing,2
google.com,2837,Search,2
en.wikipedia.org,4413,General Reference & Learning,1
schirmer.com,123,General Entertainment,-2
inkpot.com,137,Uncategorized,0
SecurityAgent,269,Systems Operations,0
system information,78,General Utilities,0
systemuiserver,41,General Utilities,1
System Preferences,635,General Utilities,0
app store,341,General Shopping,-2
printerproxy,92,General Business,2
canon mx510 series (88.87.17.bb.13.d7),34,Uncategorized,0
bing.com,419,Search,2
apple.com,115,Engineering & Technology,-1
cn.bing.com,299,Search,0
canon.com.cn,50,General News & Opinion,-2
support-cn.canon-asia.com,11,Search,0
keychain access,39,Systems Operations,2
loginwindow,14,General Utilities,0
s.taobao.com,1102,General Shopping,-2
detail.tmall.com,251,General Shopping,-2
taobao.com,105,General Shopping,-2
Blank Web Browser,11,Internet Utilities,0
Preview,2937,General Reference & Learning,2
answers.yahoo.com,20,Search,0
blogs.isb.bj.edu.cn,8350,General Reference & Learning,2
TextEdit,977,Writing,2
blog.ted.com,2154,General News & Opinion,-2
ted.com,35,Engineering & Technology,1
epad.isb.bj.edu.cn,114,General Design & Composition,2
easybib.com,658,Search,2
stemcellaw.epad.isb.bj.edu.cn,922,Uncategorized,0
Firefox,83,Browsers,0
easypolls.net,836,Internet Utilities,1
Safari,6,Browsers,2
g.isb.bj.edu.cn,2,General Reference & Learning,1
item.taobao.com,1560,General Shopping,-1
quickcounter,194,Uncategorized,0
usa.canon.com,148,Video Editing,-2
aviationhistory.org,38,Uncategorized,0
accounts.google.com,138,General Communication & Scheduling,0
thinkexist.com,417,Search,0
Wikipedia,10,General Reference & Learning,1
edition.cnn.com,122,General News & Opinion,-2
herzberg.epad.isb.bj.edu.cn,448,Uncategorized,0
video-subtitle.tedcdn.com,272,General Reference & Learning,1
youtube.com,550,Video,-2
netauthagent,28,Accounting,2
nciku.com,604,Search,2
amazon.com,8872,General Shopping,-1
accounts.youtube.com,18,Video,-2
javapractices.com,41,General Software Development,2
mynetvue.cn,10,Uncategorized,0
mynetvue.com,58,Uncategorized,0
dell.com,291,Employment,2
shopping.hp.com,179,General News & Opinion,-2
hp.com,7,General Business,2
lenovo.com,17,General Shopping,-2
sony.com,89,Science & Technology,-2
shop.lenovo.com,109,General Shopping,-2
sony.net,41,Uncategorized,0
store.sony.com,150,Uncategorized,-2
microsoft database utility,16,General Utilities,1
history,82,Browsers,0
morningsun.org,3,Uncategorized,0
revolutionaryvoices.wikispaces.com,425,Intelligence,2
Dictionary,17,General Reference & Learning,1
weather.com,107,Travel & Outdoors,-2
bhoffert.faculty.noctrl.edu,80,Uncategorized,0
muthamil.com,29,Uncategorized,0
pic12.nipic.com,93,Graphic Design,2
globeimages.net,33,Uncategorized,0
learn.genetics.utah.edu,298,General Reference & Learning,1
Keynote,850,Presentation,2
panasonic.com,117,Engineering & Drafting,2
grapher,431,General Reference & Learning,1
homesecurity.honeywell.com,82,General Business,2
mytotalconnect.com,36,Uncategorized,0
honeywell.com,28,General Business,2
wolframalpha.com,280,Search,1
products.wolframalpha.com,103,General Reference & Learning,1
9gag.com,10,Comedy,-2
amazon.cn,78,Office,2
item.jd.com,1853,General Shopping,-2
search.jd.com,449,General Shopping,-2
jd.com,59,General Shopping,-2
list.jd.com,30,General Shopping,-2
ask.fm,187,General Social Networking,-2
img20.360buyimg.com,48,Uncategorized,0
font book,28,Presentation,2
urbandictionary.com,25,Search,0
photo booth,9,General Entertainment,0
sibelius 6,7388,Writing,2
translate.google.cn,149,General Reference & Learning,1
google.com/translate,9,General Reference & Learning,1
dropbox.com,136,File Sharing,2
isb-network-printer-copier,127,Uncategorized,0
rescuetime.com,4,Intelligence,0
gsearch.sparknotes.com,15,Engineering & Technology,1
sparknotes.com,12,Search,2
commoncraftawe.epad.isb.bj.edu.cn,798,Uncategorized,0
s.zoomerang.com,428,General Business,2
surveymonkey.com,274,Marketing,2
educationatiait.files.wordpress.com,81,Uncategorized,0
am774.rbc.cn,8,Uncategorized,0
sodahead.com,11,General News & Opinion,-2
clker.com,25,Graphic Design,2
coreservicesuiagent,1,General Utilities,0
buy.taobao.com,3,General Shopping,-2
Adobe Photoshop,1796,Graphic Design,2
graphics8.nytimes.com,9,General News & Opinion,-2
economist.com,16,General News & Opinion,-2
pingyao2013.epad.isb.bj.edu.cn,484,Uncategorized,0
pixelplanet.epad.isb.bj.edu.cn,5715,Uncategorized,0
tetrisfriends.com,849,Games,-2
canon mx510 series,2,Uncategorized,0
