App,Time Spent (Hours),Category,Productivity
microsoft word,80549,Writing,2
wolframalpha.com,226,Search,1
Skype,90403,General Social Networking,-2
youtube.com,4476,Video,-2
g.isb.bj.edu.cn,1375,General Reference & Learning,1
google.com,419,Search,2
uyghurcongress.org,42,Uncategorized,0
tools.atozteacherstuff.com,3,Uncategorized,0
Finder,54014,General Utilities,0
google.com.hk,1085,Search,2
islamicartdb.com,28,Uncategorized,0
1.s3.envato.com,34,Presentation,2
bing.com,10473,Search,2
elearning.isb.bj.edu.cn,2598,General Reference & Learning,2
politicsprotestaya.epad.isb.bj.edu.cn,1047,General Design & Composition,2
easybib.com,468,Search,2
Adobe Photoshop,31282,Graphic Design,2
Preview,11439,General Reference & Learning,2
images.google.com.hk,2154,Search,0
System Preferences,3741,General Utilities,0
microsoft outlook,8827,Email,2
Keynote,26996,Presentation,2
Dictionary,147,General Reference & Learning,1
iWork Numbers,6279,General Business,2
final cut pro,17384,Video Editing,2
usernotificationcenter,226,General Utilities,0
japantoday.com,79,General News & Opinion,-2
macaulay.cuny.edu,110,General Business,2
quicktime player,3544,General Entertainment,-1
Safari,3789,Browsers,2
software update,888,General Utilities,1
edmodo.com,800,General Reference & Learning,1
surveymonkey.com,503,Marketing,2
groovypost.com,18,Science & Technology,-1
Terminal,830,Systems Operations,2
answers.microsoft.com,108,Engineering & Technology,1
tech-recipes.com,8,Search,0
alfred,1672,General Utilities,2
appletoolbox.com,29,Uncategorized,0
highlightpress.com,99,Uncategorized,0
applications,870,General Business,2
stuff.tv,452,Science & Technology,-1
forums.macrumors.com,1927,General News & Opinion,-2
amazon.co.uk,481,General Shopping,-2
traffic.outbrain.com,5,General Entertainment,-2
edition.cnn.com,586,General News & Opinion,-2
reuters.com,92,General News & Opinion,-2
knowyourmobile.com,768,General News & Opinion,-2
screensaverengine,25,General Utilities,0
loginwindow,4791,General Utilities,0
Activity Monitor,278,General Utilities,0
en.wikipedia.org,9443,General Reference & Learning,1
icloud.com,8557,General Software Development,2
ehow.com,737,Search,0
baike.baidu.com,100,Search,0
wuxizazhi.cnki.net,103,General Reference & Learning,1
translate.google.cn,751,General Reference & Learning,1
baike.soso.com,162,Intelligence,2
zh.wikipedia.org,29,Search,0
unohrlls.org,33,Uncategorized,0
books.google.com.hk,1,General Reference & Learning,1
blogs.isb.bj.edu.cn,784,General Reference & Learning,2
isb-network-printer-copier,253,Uncategorized,0
Dropbox,44,File Sharing,-2
stickies,1,Writing,2
grades.isb.bj.edu.cn,1324,General Reference & Learning,1
newagegathering.com,30,Uncategorized,0
epad.isb.bj.edu.cn,3525,General Design & Composition,2
textbookstop.files.wordpress.com,24,Uncategorized,0
members.tripod.com,1,General News & Opinion,-2
ebeijing.gov.cn,171,Legal & Gov't,1
answers.yahoo.com,568,Search,0
help.apple.com,216,Search,0
local-ntp,9,General Utilities,1
Steam,6,Games,-2
pages,38760,Presentation,2
cn.bing.com,1756,Search,0
freebrochuretemplate.org,27,Uncategorized,0
isb.bj.edu.cn,25,General Reference & Learning,1
var,3,General Utilities,1
searchassociates.com,248,General Business,2
isbartoneclass.wikispaces.com,1287,Intelligence,2
store_helper,9,General Shopping,-2
canon mx510 series,6,Uncategorized,0
printerproxy,2,General Business,2
MS Excel,6572,General Business,2
calendar,3971,Calendars,1
artyfactory.com,122,General Reference & Learning,1
brainyquote.com,40,Search,0
BBC,87,International,2
quotes.dictionary.com,74,General Reference & Learning,1
boson x,2064,Games,-1
cnhotspot4.y5zone.net,721,General Utilities,1
bestairconditionerinfo.com,27,Uncategorized,0
eleccommpowerservices.com,93,Uncategorized,0
acitydiscount.com,54,Uncategorized,0
