App,Time Spent (Hours),Category,Productivity
facebook.com,25282,General Social Networking,-2
Skype,106523,General Social Networking,-2
9gag.com,17968,Comedy,-2
wechat,38191,General Social Networking,-2
Dropbox,2275,File Sharing,-2
elearning.isb.bj.edu.cn,115,General Reference & Learning,2
Finder,12598,General Utilities,0
Safari,867,Browsers,2
9to5mac.com,3539,General News & Opinion,-2
en.wikipedia.org,8811,General Reference & Learning,1
keychain access,42,Systems Operations,2
MS Excel,9885,General Business,2
calendar,4559,Calendars,1
google.com,3649,Search,2
bing.com,46,Search,2
super hexagon,5519,Games,-2
archive utility,2,General Utilities,1
coreservicesuiagent,19,General Utilities,0
orteil.dashnet.org,343,Games,-2
TextEdit,25,Writing,2
arithmetic.zetamac.com,4385,General Reference & Learning,1
tetrisfriends.com,9157,Games,-2
sbnation.com,3,Sports,-1
huffingtonpost.com,94,General News & Opinion,-2
telegraph.co.uk,7,General News & Opinion,-2
messages,34628,General Social Networking,-2
Dictionary,102,General Reference & Learning,1
quicktime player,3670,General Entertainment,-1
problem reporter,43,General News & Opinion,-2
daisydisk,1233,General Utilities,0
nyfa.edu,367,General Reference & Learning,1
rescuetime.com,36,Intelligence,0
apps.facebook.com,53,General Social Networking,-2
Gmail,1316,Email,2
Mail,16684,Email,2
Preview,2084,General Reference & Learning,2
awesomemath.org,437,Uncategorized,0
protobowl.com,4437,General Reference & Learning,1
adobe flash player install manager,7,General Utilities,1
mail.deerfield.edu,6205,General Reference & Learning,1
google chrome,172929,Browsers,0
RescueTime,138,Intelligence,0
screensaverengine,266,General Utilities,0
SecurityAgent,32,Systems Operations,0
eclipse,203,Editing & IDEs,2
subclipse.tigris.org,8,General Software Development,2
Activity Monitor,591,General Utilities,0
java updater,15,General Utilities,1
iTunes,1993,Music,0
app store,954,General Shopping,-2
pages,3088,Presentation,2
usernotificationcenter,170,General Utilities,0
microsoft autoupdate,45,General Utilities,1
img0.liveinternet.ru,20,General News & Opinion,-2
my.news.yahoo.com,6,General News & Opinion,-2
forensics.cornell.edu,14,General Reference & Learning,1
applications,84,General Business,2
vidbliss.com,57,Uncategorized,0
tomstreams.com,11,Uncategorized,0
azhibo.com,9,Video,-2
megaflix.net,9,Uncategorized,0
idownloadplay.com,1,Uncategorized,0
secure-media.collegeboard.org,7,General Reference & Learning,1
account.collegeboard.org,133,General Reference & Learning,1
microsoft word,1283,Writing,2
bleacherreport.com,102,General News & Opinion,-2
apstudent.collegeboard.org,4,General Reference & Learning,1
System Preferences,466,General Utilities,0
loginwindow,10,General Utilities,0
Terminal,533,Systems Operations,2
Firefox,23,Browsers,0
g.isb.bj.edu.cn,343,General Reference & Learning,1
grades.isb.bj.edu.cn,50,General Reference & Learning,1
isb.bj.edu.cn,37,General Reference & Learning,1
allkpop.com,20,General Entertainment,-2
watchseries.lt,12,Video,-2
youtube.com,547,Video,-2
iPhoto,345,Photos,-2
setup assistant,35,General Utilities,1
facetime,95,Voice Chat,-2
contacts,39,Customer Relations,2
mobile - thesportbible.com,182,Sports,-1
worldcup.edition.cnn.com,198,General News & Opinion,-2
cnn.com,965,General News & Opinion,2
edition.cnn.com,508,General News & Opinion,-2
zhibo8.cc,81,Sports,-1
sports.cntv.cn,33,Video,-2
apple.com,697,Engineering & Technology,-1
tv.cntv.cn,18,General Entertainment,-2
sports.yahoo.com,127,Sports,-1
espn.go.com,87,Sports,-1
cbox.cntv.cn,27,Video,-2
idp.optimum.net,19,Email,0
amazon.com,1073,General Shopping,-1
flash player (safari internet plug-in),6447,Video,-2
doctot.com,16,Uncategorized,0
macx video converter pro,10,Uncategorized,0
cijscannerregister,3,Uncategorized,0
icloud photos,2,Uncategorized,0
support.apple.com,321,Search,0
developer.apple.com,159,Engineering & Technology,1
discussions.apple.com,385,Science & Technology,-1
cbsnews.com,27,General News & Opinion,-2
creator.zoho.com,233,General Software Development,2
asphalt 6,435,Games,-2
reportpanic,3,Uncategorized,0
twitter.com,2,General Social Networking,-2
Notes,953,Email,0
wikihow.com,609,Search,0
pog.com,38,Games,-2
miniclip.com,232,Games,-2
businessinsider.com,530,General News & Opinion,-2
summer.rpi.edu,249,General Reference & Learning,1
en.wiktionary.org,9,Search,0
artofmanliness.com,219,General News & Opinion,-2
captive network assistant,478,General Utilities,1
blog.tianya.cn,65,General News & Opinion,-2
bluestacks app player,951,General Social Networking,-2
uhd-agent,47,Uncategorized,0
diskimagemounter,12,General Utilities,1
virtualbox,615,Virtualization,0
virtualbox vm,2662,General Software Development,2
microsoft powerpoint,10,Presentation,2
accounts.google.com,82,General Communication & Scheduling,0
macrumors.com,2490,General News & Opinion,-2
deerfield.edu,826,General Reference & Learning,1
evernote,1145,Intelligence,2
evernote helper,4,General Reference & Learning,1
eastoftheweb.com,21,General Reference & Learning,1
tips.apple.com,173,Engineering & Technology,1
teachingenglish.org.uk,124,General Reference & Learning,1
thevirtualneal.wikispaces.com,51,Intelligence,2
roalddahlfans.com,11,Uncategorized,0
havefunwithlit.blogspot.com,8,General Business,2
mrshovan.weebly.com,4,Presentation,2
iflscience.com,6,General Reference & Learning,1
forums.macrumors.com,121,General News & Opinion,-2
kickass.to,108,File Sharing,-2
store.finaldraft.com,96,Writing,2
mackeeperapp2.zeobit.com,14,Uncategorized,0
hints.macworld.com,25,Engineering & Technology,1
documentsnap.com,44,Office,2
maps,149,Maps & Regional,1
voices.yahoo.com,38,General News & Opinion,-2
systemuiserver,4,General Utilities,1
registration.noc.harvard.edu,362,Uncategorized,0
system information,128,General Utilities,0
reference.iam.harvard.edu,19,General Reference & Learning,1
pin1.harvard.edu,9,General Reference & Learning,1
pin.harvard.edu,2,General Reference & Learning,1
speedtest.net,244,Internet Utilities,1
google earth,979,Maps & Regional,1
globalnerdy.com,40,General News & Opinion,-2
img0.pconline.com.cn,23,Electronics,-2
pbs.twimg.com,26,General Social Networking,-2
survey6.spss-asp.com,642,General Business,2
buzzfeed.com,1303,General News & Opinion,-2
education.jlab.org,27,General News & Opinion,-2
baidu.com,32,Search,2
brattleblog.brattlefilm.org,1638,Uncategorized,0
final cut pro,567,Video Editing,2
boomerang data recovery,378,Uncategorized,0
9to5google.com,108,Science & Technology,-1
lowerprices.us,4,Uncategorized,0
parrot.com,734,General Shopping,-2
purposegames.com,1669,Games,-2
clashofclans.wikia.com,715,Games,-2
login.skype.com,9,Voice Chat,1
api.asm.skype.com,4,Instant Message,-1
wolframalpha.com,68,Search,1
store.apple.com,168,Electronics,-2
icloud.com,778,General Software Development,2
translate.google.com,34,Search,1
Wikipedia,12,General Reference & Learning,1
10fastfingers.com,1429,General Reference & Learning,1
darwinawards.com,516,General News & Opinion,-2
video.ytower.com.tw,23,General News & Opinion,-2
upload.wikimedia.org,4,Search,0
united.com,545,Travel & Outdoors,-2
fitbit.com,222,Health & Medicine,1
lowel.com,1471,Uncategorized,0
dalearn.deerfield.edu,65,General Reference & Learning,2
dainfo.deerfield.edu,126,General Reference & Learning,1
bhphotovideo.com,1265,General Shopping,-2
microcenter.com,37,General Shopping,-2
nikonusa.com,841,Search,-2
ppmag.com,227,Uncategorized,0
vimeo.com,268,General Entertainment,-2
imore.com,354,Science & Technology,-1
ipod.about.com,86,Video Editing,2
news.yahoo.com,133,General News & Opinion,-2
oovoo,135,Voice Chat,1
azlyrics.com,157,General Entertainment,-2
themetapicture.com,28,Photos,-2
browser.primatelabs.com,202,Browsers,-1
att.com,555,General Business,2
members.shaw.ca,71,General News & Opinion,-2
mediafire.com,22,General Entertainment,-2
installer,190,General Utilities,1
handbrake,118,Video Editing,2
mpeg streamclip,196,Video Editing,2
wondershare video converter ultimate,45,Uncategorized,0
greatambitions.files.wordpress.com,45,Uncategorized,0
m.harvard.edu,12,General Reference & Learning,1
