App,Time Spent (Hours),Category,Productivity
microsoft word,32074,Writing,2
Finder,39070,General Utilities,0
Skype,103291,General Social Networking,-2
Dictionary,340,General Reference & Learning,1
alfred,242,General Utilities,2
ee.surrey.ac.uk,1693,General Reference & Learning,1
Mail,9736,Email,2
google.com,681,Search,2
allaboutvision.com,14,General Utilities,1
en.wikipedia.org,2191,General Reference & Learning,1
Adobe Photoshop,25827,Graphic Design,2
clker.com,102,Graphic Design,2
pages,991,Presentation,2
ranklogos.com,29,Uncategorized,0
ietf.org,82,General News & Opinion,-2
bing.com,4084,Search,2
eclipse,9256,Editing & IDEs,2
searchassociates.com,44,General Business,2
isb.bj.edu.cn,35,General Reference & Learning,1
javamex.com,40,General Reference & Learning,1
perkinswill.com,128,Uncategorized,0
Preview,3639,General Reference & Learning,2
ehow.com,315,Search,0
dummies.com,72,General News & Opinion,-2
customink.com,2294,General Business,2
System Preferences,3771,General Utilities,0
Safari,8723,Browsers,2
systemuiserver,521,General Utilities,1
Dropbox,273,File Sharing,-2
RescueTime,143,Intelligence,0
messages,7127,General Social Networking,-2
9to5mac.com,6382,General News & Opinion,-2
contacts,1970,Customer Relations,2
MS Excel,18739,General Business,2
apple.com,7731,Engineering & Technology,-1
macrumors.com,4582,General News & Opinion,-2
cplusplus.com,529,General Reference & Learning,1
aham.org,257,Uncategorized,0
cn.bing.com,935,Search,0
Activity Monitor,2260,General Utilities,0
developer.apple.com,1489,Engineering & Technology,1
app store,2768,General Shopping,-2
subclipse.tigris.org,47,General Software Development,2
net.tsinghua.edu.cn,371,General Reference & Learning,1
loginwindow,177,General Utilities,0
readwrite.com,267,Science & Technology,-1
s.taobao.com,9,General Shopping,-2
item.taobao.com,235,General Shopping,-1
TextEdit,1261,Writing,2
iTunes,1490,Music,0
support.apple.com,244,Search,0
forums.macrumors.com,833,General News & Opinion,-2
dainfo.deerfield.edu,179,General Reference & Learning,1
iWork Numbers,186,General Business,2
elearning.isb.bj.edu.cn,250,General Reference & Learning,2
wikihow.com,153,Search,0
quicktime player,13168,General Entertainment,-1
install os x 10.10 developer preview,20,Uncategorized,0
coreservicesuiagent,109,General Utilities,0
download java components,2923,General Utilities,1
problem reporter,580,General News & Opinion,-2
applications,3128,General Business,2
network diagnostics,46,General Utilities,1
keychain access,6,Systems Operations,2
daisydisk,698,General Utilities,0
SecurityAgent,117,Systems Operations,0
Stuffit Expander,15,Internet Utilities,1
users,42,General Software Development,2
plants vs. zombies,330,Games,-2
facetime,690,Voice Chat,-2
picrazy2.com,1147,Uncategorized,2
amazon.com,4842,General Shopping,-1
tincta,211,General Software Development,2
Amazon AWS Console,2,General Software Development,2
aiseesoft mxf converter for mac,817,Uncategorized,0
chinese - simplified,10,Uncategorized,0
calendar,2111,Calendars,1
Notes,215,Email,0
usernotificationcenter,568,General Utilities,0
bluetoothuiserver,116,General Utilities,1
discussions.apple.com,302,Science & Technology,-1
science.opposingviews.com,61,General News & Opinion,-2
cloudkeychainproxy,2,Uncategorized,0
feedback assistant,47,Uncategorized,0
appleseed.apple.com,53,Engineering & Technology,1
9gag.com,4525,Comedy,-2
VLC Media Player,679,Video,-2
Xcode,299,Editing & IDEs,2
unmountassistantagent,28,General Utilities,1
virtualbox vm,61117,General Software Development,2
virtualbox,535,Virtualization,0
