App,Time Spent (Seconds),Category,Productivity
Mail,13989,Email,2
loginwindow,3248,General Utilities,0
dalearn.deerfield.edu,5307,General Reference & Learning,2
khanacademy.org,1448,General Reference & Learning,2
final cut pro,33979,Video Editing,2
yahoo.com,247,Search,0
grapher,2368,General Reference & Learning,1
facebook.com,95260,General Social Networking,-2
dainfo.deerfield.edu,1581,General Reference & Learning,1
Safari,2613,Browsers,2
Finder,19876,General Utilities,0
Skype,24973,General Social Networking,-2
robotc.net,72,Uncategorized,0
microsoft word,71479,Writing,2
microsoft autoupdate,66,General Utilities,1
Google Docs,2685,Writing,2
cdn.robotc.net,10,Uncategorized,0
deerfield.edu,4732,General Reference & Learning,1
google.com,8031,Search,2
docs.oracle.com,11,Engineering & Technology,1
pages,4290,Presentation,2
Hosted Google Docs,38317,Writing,2
Google Drive - Google Apps,270,General Business,2
baike.baidu.com,15,Search,0
MS Excel,3743,General Business,2
eclipse,6744,Editing & IDEs,2
Preview,3985,General Reference & Learning,2
chinagourmetma.com,391,Uncategorized,0
keychain access,151,Systems Operations,2
SecurityAgent,65,Systems Operations,0
python.org,32,General Software Development,2
alfred 2,5925,General Utilities,1
engineeringtoolbox.com,115,Intelligence,2
en.wikipedia.org,19897,General Reference & Learning,1
answers.yahoo.com,1705,Search,0
sparknotes.com,766,Search,2
hyperphysics.phy-astr.gsu.edu,6,General Reference & Learning,1
wolframalpha.com,4996,Search,1
maingui,47,Uncategorized,0
wiki.python.org,41,General Software Development,2
anh.cs.luc.edu,46,General Reference & Learning,1
docs.python.org,141,General Software Development,2
idle,3434,Editing & IDEs,2
coreservicesuiagent,53,General Utilities,0
stackoverflow.com,28,General Software Development,2
drive.google.com,172,General Business,2
github.com,59,General Software Development,2
google chrome,2,Browsers,0
kwizzu.com,56,Uncategorized,0
google drive,276,General Business,2
screensaverengine,48,General Utilities,0
iTunes,2377,Music,0
System Preferences,1462,General Utilities,0
mathtype,270,Engineering & Technology,1
usernotificationcenter,2714,General Utilities,0
9to5mac.com,1890,General News & Opinion,-2
Dictionary,3089,General Reference & Learning,1
blogs.isb.bj.edu.cn,509,General Reference & Learning,2
youtube.com,4364,Video,-2
install adobe flash player,63,Internet Utilities,1
get.adobe.com,179,General News & Opinion,-2
video.wgby.org,13,Uncategorized,0
diskimages ui agent,6,General Utilities,1
VLC Media Player,1005,Video,-2
problem reporter,161,General News & Opinion,-2
Dropbox,222,File Sharing,-2
daisydisk,373,General Utilities,0
disk utility,49,General Utilities,1
technotification.com,94,Uncategorized,0
awesomescreenshot.com,16,General Software Development,2
l.facebook.com,4,General Social Networking,-2
aiseesoft mxf converter for mac,438,Uncategorized,0
adobe flash player install manager,9,General Utilities,1
history.stackexchange.com,338,Engineering & Technology,1
dropbox.com,118,File Sharing,2
var,2,General Utilities,1
archive utility,2,General Utilities,1
ams.deerfield.edu,672,General Reference & Learning,1
mpeg streamclip,47,Video Editing,2
quicktime player,440,General Entertainment,-1
macrumors.com,3366,General News & Opinion,-2
hjedesign.com,969,Graphic Design,2
installer,239,General Utilities,1
support.office.com,18,Engineering & Technology,1
applications,362,General Business,2
app store,5,General Shopping,-2
RescueTime,48,Intelligence,0
auth.deerfield.edu,90,General Reference & Learning,1
apple.com,953,Engineering & Technology,-1
google earth,1379,Maps & Regional,1
myhealthbeijing.com,66,Uncategorized,0
purposegames.com,1634,Games,-2
10fastfingers.com,218,General Reference & Learning,1
bhphotovideo.com,136,General Shopping,-2
amazon.com,3611,General Shopping,-1
secure.bhphotovideo.com,15,Search,-1
messages,3750,General Social Networking,-2
stephanieblue.com,7,Uncategorized,0
icloud.com,5427,General Software Development,2
media.web.britannica.com,52,Uncategorized,0
photonics.byu.edu,44,General Reference & Learning,1
sites.google.com,32,Internet Utilities,1
chemspider.com,66,Engineering & Technology,1
digitalcommons.colby.edu,21,General Reference & Learning,1
faculty.srhs.net,118,Uncategorized,0
kaffee.50webs.com,52,General Business,2
ncsu.edu,4,General Reference & Learning,1
www2.vernier.com,4,General Reference & Learning,1
