App,Time Spent (Seconds),Category,Productivity
adobe premiere pro cc 2015,57903,Video Editing,2
Mail,19749,Email,2
microsoft onenote,5254,Intelligence,2
usernotificationcenter,99,General Utilities,0
loginwindow,2849,General Utilities,0
Finder,29737,General Utilities,0
unmountassistantagent,81,General Utilities,1
Preview,2884,General Reference & Learning,2
messages,5775,General Social Networking,-2
bhphotovideo.com,16561,General Shopping,-2
dainfo.deerfield.edu,829,General Reference & Learning,1
screensaverengine,88,General Utilities,0
Safari,2372,Browsers,2
microsoft word,40071,Writing,2
microsoft error reporting,14,Science & Technology,-1
photoshop cc,818,General Design & Composition,2
youtube.com,35370,Video,-2
helpx.adobe.com,36,General Software Development,2
google.com,2122,Search,2
sparknotes.com,287,Search,2
adage.com,16,Search,0
mileskimball.com,79,General Shopping,-2
pzrservices.typepad.com,42,General News & Opinion,-2
polarblairsden.com,115,Uncategorized,0
nhsdesigns.com,68,Uncategorized,0
1.bp.blogspot.com,35,General News & Opinion,-2
31.media.tumblr.com,39,General Entertainment,-2
data.whicdn.com,33,Uncategorized,0
vintageadbrowser.com,64,Uncategorized,0
file.vintageadbrowser.com,43,Uncategorized,0
Dictionary,960,General Reference & Learning,1
deerfield.edu,1407,General Reference & Learning,1
admission.emory.edu,9,General Reference & Learning,1
suite.targetx.com,6,Uncategorized,0
libguides.library.deerfield.edu,342,Uncategorized,0
library.deerfield.edu,18,General Reference & Learning,1
facebook.com,15481,General Social Networking,-2
photos,113,Photos,0
disk utility,697,General Utilities,1
9gag.com,277,Comedy,-2
9to5mac.com,3761,General News & Opinion,-2
applications,281,General Business,2
mygoodiespizza.com,338,Uncategorized,0
dalearn.deerfield.edu,210,General Reference & Learning,2
translate.google.com,756,Search,1
bing.com,20,Search,2
yahoo.com,6,Search,0
in.yahoo.com,5,Email,0
everything.yahoo.com,5,Search,0
facetime,859,Voice Chat,-2
Skype,4509,General Social Networking,-2
creative cloud,499,General Design & Composition,2
google drive,745,General Business,2
soodela.wikispaces.com,24,Intelligence,2
easybib.com,449,Search,2
richardshear.wordpress.com,5,General News & Opinion,-2
pinterest.com,38,General Social Networking,-2
vintag.es,29,Uncategorized,0
jezebel.com,8,General News & Opinion,-2
flash player (safari internet plug-in),1106,Video,-2
mackeeperapp.mackeeper.com,3,General Utilities,1
hp color laserjet cp1515n,92,Uncategorized,0
printerproxy,3,General Business,2
rescuetime.com,649,Intelligence,0
System Preferences,1007,General Utilities,0
SecurityAgent,42,Systems Operations,0
RescueTime,163,Intelligence,0
artofproblemsolving.com,464,Engineering & Technology,2
deerfield.instructure.com,1060,General Reference & Learning,1
problem reporter,71,General News & Opinion,-2
d.umn.edu,22,General Reference & Learning,1
en.wikipedia.org,3887,General Reference & Learning,1
captive network assistant,19,General Utilities,1
Google Documents - Google Apps,62,Writing,2
drive.google.com,2265,General Business,2
accounts.google.com,46,General Communication & Scheduling,0
auth.deerfield.edu,46,General Reference & Learning,1
Google Documents,60213,Writing,2
amazon.com,10167,General Shopping,-1
system information,89,General Utilities,0
browser.primatelabs.com,180,Browsers,-1
dock,1,General Utilities,1
secure.bhphotovideo.com,1288,Search,-1
nikonusa.com,211,Search,-2
dji.com,1276,General Shopping,-2
store.dji.com,301,General Shopping,-2
moonconnection.com,161,General Reference & Learning,1
jacksgap.com,820,General Entertainment,-2
socialstudieshelp.com,44,Uncategorized,0
americaslibrary.gov,20,Maps & Regional,1
en.wikisource.org,11,Search,0
answers.com,42,Search,0
handbrake,1738,Video Editing,2
cn.tripadvisor.com,44,Travel & Outdoors,-2
travelchinaguide.com,810,Travel & Outdoors,-2
tripadvisor.com,22,Travel & Outdoors,-2
chengduplaces.com,34,Uncategorized,0
chinahighlights.com,4,General Reference & Learning,1
vimeo.com,1059,General Entertainment,-2
quicktime player,14965,General Entertainment,-1
net.lib.byu.edu,301,General Reference & Learning,1
avalon.law.yale.edu,41,Legal & Gov't,1
java updater,2,General Utilities,1
TextEdit,3,Writing,2
support.google.com,193,General News & Opinion,2
united.com,5205,Travel & Outdoors,-2
thinktankphoto.com,20,General Shopping,-1
app store,345,General Shopping,-2
ichacha.net,23,General Reference & Learning,1
kindle,35,General Reference & Learning,2
wwwapps.ups.com,15,General Shopping,-2
tools.google.com,3,Search,0
login.microsoftonline.com,54,Email,0
stores.office.com,32,General Business,2
login.live.com,13,Email,0
products.office.com,11,Administration,2
diskimages ui agent,20,General Utilities,1
dropbox.com,4,File Sharing,2
coreservicesuiagent,127,General Utilities,0
Dropbox,191,File Sharing,-2
installer,34,General Utilities,1
dropbox installer,7,General Utilities,1
adobe application manager,226,General Utilities,1
skype.com,9,General Communication & Scheduling,0
calendar,17,Calendars,1
history.com,18,General News & Opinion,-2
creative.adobe.com,28,General Design & Composition,2
accounts.adobe.com,348,General Design & Composition,2
adobeid-na1.services.adobe.com,8,General Design & Composition,2
MS Excel,7872,General Business,2
images2.powerreviews.com,44,Uncategorized,0
lightroom,682,Presentation,2
secure.bankofamerica.com,55,Accounting,2
bankofamerica.com,10,General Business,2
gofundme.com,1,General Social Networking,-2
meaww.com,31,Uncategorized,0
hyperphysics.phy-astr.gsu.edu,10,General Reference & Learning,1
microsoft autoupdate,43,General Utilities,1
ikelite.com,55,Uncategorized,0
Blank Web Browser,1,Internet Utilities,0
afe.easia.columbia.edu,49,General Reference & Learning,1
Activity Monitor,478,General Utilities,0
en.blobla.com,14,General Entertainment,-2
buzzfeed.com,433,General News & Opinion,-2
self.com,76,Health & Medicine,1
washingtonpost.com,63,General News & Opinion,-2
mail.deerfield.edu,564,General Reference & Learning,1
travelsentry.org,32,Uncategorized,0
puzzles.about.com,146,Search,0
nytimes.com,24,General News & Opinion,-2
arkansasonline.com,42,General News & Opinion,-2
showtime.arkansasonline.com,30,General News & Opinion,-2
users,7,General Software Development,2
imdb.com,15,Video,-2
picrazy2.com,87,Uncategorized,2
photo booth,24,General Entertainment,0
iloveyoulikeafatladylovesapples.com,4,Uncategorized,0
astrill.com,289,General Utilities,1
members.astrill.com,154,General Utilities,1
astrill,35,General Utilities,1
cn.bing.com,427,Search,0
the-difference-between.com,27,General Reference & Learning,1
global.bing.com,173,General Reference & Learning,1
wolframalpha.com,5,Search,1
10fastfingers.com,324,General Reference & Learning,1
systemuiserver,56,General Utilities,1
Keynote,44,Presentation,2
