App,Time Spent (Seconds),Category,Productivity
loginwindow,4840,General Utilities,0
en.wikipedia.org,11306,General Reference & Learning,1
Skype,2244,General Social Networking,-2
apply.commonapp.org,2,General Reference & Learning,1
google.com,12439,Search,2
chinawhisper.com,23,Uncategorized,0
lostlaowai.com,10,Uncategorized,0
tv.cctv.com,676,General News & Opinion,-2
baidu.com,312,Search,2
Mail,25290,Email,2
buzzfeed.com,136,General News & Opinion,-2
Safari,1797,Browsers,2
expressvpn,125,General Utilities,1
matlab,104237,General Software Development,2
mathworks.com,14784,Engineering & Technology,1
matlab.wikia.com,8,Search,0
Finder,4374,General Utilities,0
Preview,4486,General Reference & Learning,2
watchtheofficeonline.com,47,Video,-2
stackoverflow.com,1911,General Software Development,2
cn.mathworks.com,41,Engineering & Technology,1
global.bing.com,19,General Reference & Learning,1
google chrome,9,Browsers,0
cn.bing.com,91,Search,0
it.mathworks.com,6,Engineering & Technology,1
colorpicker.com,117,Graphic Design,2
people.duke.edu,41,General Reference & Learning,1
cyclismo.org,38,General Reference & Learning,1
System Preferences,444,General Utilities,0
google drive,120,General Business,2
RescueTime,25,Intelligence,0
creative cloud,76,General Design & Composition,2
chrome-signin,33,Browsers,0
dalearn.deerfield.edu,156,General Reference & Learning,2
settings,42,General Utilities,1
facebook.com,3481,General Social Networking,-2
microsoft word,94342,Writing,2
microsoft autoupdate,14,General Utilities,1
governor.collegeboard.org,48,General Reference & Learning,1
Notes,10633,Writing,2
9to5mac.com,2573,General News & Opinion,-2
usa.canon.com,45,Video Editing,-2
get.adobe.com,80,General News & Opinion,-2
osghcinemas.com,872,Uncategorized,0
apscore.collegeboard.org,112,General Reference & Learning,1
facetime,28,Voice Chat,-2
captive network assistant,313,General Utilities,1
news.com.au,69,General News & Opinion,-2
popularmechanics.com,261,General News & Opinion,-2
railjournal.com,1,Uncategorized,0
baike.baidu.com,1614,Search,0
secure.bankofamerica.com,67,Accounting,2
bankofamerica.com,9,General Business,2
messages,4353,General Social Networking,-2
cnn.com,1336,General News & Opinion,2
telegraph.co.uk,129,General News & Opinion,-2
huffingtonpost.com,288,General News & Opinion,-2
businesstraveller.com,3,Uncategorized,0
gaoloumi.com,66,Regional,-2
gov.163.com,37,General News & Opinion,-2
tieba.baidu.com,326,Games,-2
skyscrapercity.com,435,General News & Opinion,-2
hok.com,100,General Business,2
sinooceanland.com,20,Uncategorized,0
beijingrelocation.com,590,Uncategorized,0
wtpartnership.com,18,Uncategorized,0
cnki.com.cn,13,General Reference & Learning,1
usgbc.org,2,Presentation,2
som.com,201,Uncategorized,0
bing.com,195,Search,2
cctv.com,163,General News & Opinion,-2
architectmagazine.com,32,Uncategorized,0
skyscrapercenter.com,1452,General Reference & Learning,-2
ctbuh.org,375,Uncategorized,0
jrp-group.com,38,Uncategorized,0
pinterest.com,43,General Social Networking,-2
biad.com.cn,47,Uncategorized,0
map.baidu.com,173,Maps & Regional,-2
connection.naviance.com,145,General Design & Composition,2
keychain access,63,Systems Operations,2
naviance.com,7,General Reference & Learning,1
SecurityAgent,59,Systems Operations,0
install adobe flash player,9,Internet Utilities,1
diskimages ui agent,12,General Utilities,1
coreservicesuiagent,39,General Utilities,0
tmhelperagent,2,General Utilities,1
MS Excel,22393,General Business,2
colleges.usnews.rankingsandreviews.com,383,General Reference & Learning,1
usnews.com,172,General News & Opinion,-2
cleaningformac.com,9,Uncategorized,0
amazon.com,1354,General Shopping,-1
microsoft error reporting,188,Science & Technology,-1
travelchinaguide.com,941,Travel & Outdoors,-2
drive.google.com,1407,General Business,2
accounts.google.com,22,General Communication & Scheduling,0
auth.deerfield.edu,56,General Reference & Learning,1
quicktime player,2153,General Entertainment,-1
colleges.niche.com,45,General Reference & Learning,1
careeradvancement.uchicago.edu,130,General Reference & Learning,1
uchicago.edu,80,General Reference & Learning,1
collegecatalog.uchicago.edu,12,General Reference & Learning,1
galton.uchicago.edu,9,General Reference & Learning,1
lstscorereports.com,56,Uncategorized,0
collegeadmissions.uchicago.edu,35,General Reference & Learning,1
nces.ed.gov,421,Search,0
northwestern.edu,596,General Reference & Learning,1
mccormick.northwestern.edu,23,General Reference & Learning,1
microsoft onenote,34,Intelligence,2
research.northwestern.edu,61,General Reference & Learning,1
collegechoice.net,82,General Reference & Learning,1
bestcollegereviews.org,58,General Reference & Learning,1
collegeraptor.com,17,Uncategorized,0
talk.collegeconfidential.com,191,Search,0
washingtonmonthly.com,2,General News & Opinion,-2
secure.usnews.com,118,General News & Opinion,-2
premium.usnews.com,220,General Reference & Learning,1
northwestern.collegiatelink.net,72,Uncategorized,0
nurecreation.com,9,Uncategorized,0
housing.uchicago.edu,171,General Reference & Learning,1
websso.it.northwestern.edu,4,General Reference & Learning,1
grad-schools.usnews.rankingsandreviews.com,18,Search,0
stanford.edu,35,General Reference & Learning,1
facts.stanford.edu,25,General Reference & Learning,1
rde.stanford.edu,159,General Reference & Learning,1
systemuiserver,24,General Utilities,1
applications,626,General Business,2
sba.gov,996,General Business,2
parkcentralsanfrancisco.hotelwifi.com,4,Uncategorized,0
vimeo.com,1089,General Entertainment,-2
deerfield.edu,849,General Reference & Learning,1
derfield.edu,11,Uncategorized,0
myprofile.partners.org,272,General Business,2
authn4.partners.org,87,General Business,2
hsfilmfest.com,419,Uncategorized,0
auth4.partners.org,3,General Business,2
login.healthstream.com,76,General Business,2
healthstream.com,39,General Business,2
partners.org,329,General Business,2
allamericahighschoolfilmfestival.submittable.com,316,General Business,2
commonapp.org,104,General Reference & Learning,1
youtube.com,18783,Video,-2
usernotificationcenter,99,General Utilities,0
eaptlstrust,498,General Utilities,1
rc.partners.org,109,General Business,2
nmr.mgh.harvard.edu,4498,General Reference & Learning,1
system information,4,General Utilities,0
installer,94,General Utilities,1
peas.partners.org:8443,81,Uncategorized,0
self service,74,General Software Development,2
microsoft outlook,71,Email,2
portal.office.com,122,General Business,2
securelogon.partners.org,70,General Business,2
office.live.com,28,General Utilities,1
login.microsoftonline.com,39,Email,0
signup.live.com,7,Email,0
saasportal.partners.org,10,General Business,2
products.office.com,5,Administration,2
app store,304,General Shopping,-2
medical-dictionary.thefreedictionary.com,18,General News & Opinion,-2
repair.nikonusa.com,218,Search,0
nikonusa.com,332,Search,-2
ups.com,176,General Business,2
wwwapps.ups.com,442,General Shopping,-2
baystategames.org,228,Uncategorized,0
sga2015.com,114,Uncategorized,0
teamusa.org,1234,Uncategorized,0
bwf.tournamentsoftware.com,59,General Entertainment,-2
manager.submittable.com,76,General Business,2
withoutabox.com,1189,Society,-2
gofilmfestival.com,11,Uncategorized,0
slate.com,72,General News & Opinion,-2
economist.com,22,General News & Opinion,-2
translate.google.com,174,Search,1
film-festival.org,79,Uncategorized,0
isffhollywood.org,187,Uncategorized,0
loyolafilmfest.com,40,Uncategorized,0
filmfestival.wm.edu,31,General Reference & Learning,1
unmountassistantagent,3,General Utilities,1
Google Documents,6677,Writing,2
surfer.nmr.mgh.harvard.edu,1514,General Reference & Learning,1
mail.nmr.mgh.harvard.edu,311,General Reference & Learning,1
washingtonpost.com,295,General News & Opinion,-2
bbc.com,1683,General News & Opinion,-2
askubuntu.com,255,Engineering & Technology,1
freeos.com,358,Search,0
linuxcommand.org,17,General Reference & Learning,1
linux.com,183,Search,0
adobe premiere pro cc 2015,3387,Video Editing,2
cyberciti.biz,322,Engineering & Technology,1
tldp.org,202,Search,0
unix.stackexchange.com,623,General Reference & Learning,1
help.ubuntu.com,43,General Business,2
ubuntuforums.org,277,Search,0
gnu.org,329,General Utilities,1
support.google.com,37,General News & Opinion,2
newsoffice.duke.edu,104,General Reference & Learning,1
alumni.duke.edu,14,General Reference & Learning,1
dukebadminton.org,25,Uncategorized,0
duke.collegiatelink.net,12,Uncategorized,0
studentaffairs.duke.edu,69,General Reference & Learning,1
origin.www.uscc.gov,76,Uncategorized,0
howtogeek.com,354,General News & Opinion,-2
unix.com,224,Search,0
calendar,403,Calendars,1
quickleft.com,232,Uncategorized,0
xray0.princeton.edu,95,Operations,2
unity3d.com,7,Presentation,2
ryanstutorials.net,2084,Engineering & Technology,1
linuxconfig.org,88,Engineering & Technology,1
raleighusa.com,326,General Shopping,-2
jamisbikes.com,78,General Shopping,-2
cobramoto.com,7,Uncategorized,0
road-bikes.gearsuite.com,158,Uncategorized,0
nytimes.com,240,General News & Opinion,-2
cs.duke.edu,325,General Reference & Learning,1
npr.org,98,General News & Opinion,-2
authn.partners.org,56,General Business,2
peoplesoftportal.partners.org,10,General Business,2
login.live.com,60,Email,0
get.videolan.org,21,General Entertainment,-2
videolan.org,3,General Entertainment,-2
support.office.com,19,Engineering & Technology,1
VLC Media Player,45,Video,-2
Dictionary,12,General Reference & Learning,1
outlook.partners.org,227,Email,0
history,8,Browsers,0
www-cs.canisius.edu,7,General Reference & Learning,1
imo-official.org,1064,General Reference & Learning,1
access.redhat.com,23,Engineering & Technology,1
tripadvisor.com,2123,Travel & Outdoors,-2
linuxquestions.org,160,Search,0
web.csulb.edu,55,General Reference & Learning,1
tutorialspoint.com,129,General Reference & Learning,1
princeton.service-now.com,56,Design & Planning,2
thegeekstuff.com,153,Science & Technology,-1
filext.com,10,Search,0
extension.nirsoft.net,15,Engineering & Technology,1
shanghaiist.com,401,International,-2
sewardhighcounseling.wordpress.com,32,General News & Opinion,-2
problem reporter,3,General News & Opinion,-2
hainanairlines.com,83,Uncategorized,0
agtech.com,50,Uncategorized,0
chinahighlights.com,66,General Reference & Learning,1
numbeo.com,2328,General Reference & Learning,1
youku.com,106,General Entertainment,-2
aws.amazon.com,27,General Software Development,2
portal.aws.amazon.com,286,Systems Operations,2
grymoire.com,155,Engineering & Technology,1
stat.rice.edu,12,General Reference & Learning,1
supportweb.cs.bham.ac.uk,51,Video Editing,2
linux-tutorial.info,243,Search,0
tournamentsoftware.com,802,General Entertainment,-2
rio2016.com,305,General News & Opinion,-2
ingressos.rio2016.com,51,General News & Opinion,-2
bestbuy.com,55,General Shopping,-2
us-west-2.console.aws.amazon.com,57,Systems Operations,2
Amazon AWS Console,1,General Software Development,2
isunshare.com,117,Uncategorized,0
Microsoft OneDrive,307,General Utilities,1
support.microsoft.com,26,Search,0
account.live.com,14,Science & Technology,-1
pcworld.com,72,Science & Technology,-1
microsoft.com,158,Engineering & Technology,1
kb.uwp.edu,4,General Reference & Learning,1
makeuseof.com,200,General News & Opinion,-2
cinemablend.com,335,General News & Opinion,-2
screensaverengine,27,General Utilities,0
